Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g1,Active Power,Mode 1,0.6062,-0.08,5,0.2733628565862607,0.2782381235263904,0.33676191155849355
g1,Current,Mode 1,0.6062,-0.08,5,0.2666545991016757,0.2661520447375595,0.2903814167540784
g1,Reactive Power,Mode 1,0.6062,-0.08,5,0.2799667740544749,0.2831934546507576,0.474180581875349
g1,Reactive Power,Mode 4,1.1211,-0.3373,1,0.13389628216277863,0.13389628216277863,0.13389628216277863
g1,Voltage,Mode 1,0.6062,-0.08,3,0.2559035005928795,0.2559035005928795,0.2559035005928795
g10,Active Power,Mode 1,0.6062,-0.08,2,0.23987763380420016,0.23987763380420016,0.24885698104269052
g10,Active Power,Mode 2,0.9497,-0.1065,1,0.08676488271254923,0.08676488271254923,0.08676488271254923
g10,Active Power,Mode 4,1.1211,-0.3373,1,0.06966608055934631,0.06966608055934631,0.06966608055934631
g10,Current,Mode 1,0.6062,-0.08,5,0.2262718089821637,0.24766307651606287,0.5069190185586689
g10,Current,Mode 3,1.0312,-0.2558,1,0.01197142919836525,0.01197142919836525,0.01197142919836525
g10,Current,Mode 4,1.1211,-0.3373,2,0.06779415638594624,0.06779415638594624,0.07959444910815218
g10,Reactive Power,Mode 1,0.6062,-0.08,8,0.375888074027945,0.36510688083589704,0.50109150484815
g10,Reactive Power,Mode 4,1.1211,-0.3373,1,0.1976794002478853,0.1976794002478853,0.1976794002478853
g10,Voltage,Mode 1,0.6062,-0.08,11,0.4309399048274401,0.38604618178424843,0.5191733623520777
g10,Voltage,Mode 4,1.1211,-0.3373,3,0.23840715865312037,0.2475728553612249,0.26590424877743396
g8,Active Power,Mode 1,0.6062,-0.08,3,0.12871230334501108,0.17284160018919378,0.2614255082564079
g8,Active Power,Mode 4,1.1211,-0.3373,1,0.32540726562116506,0.32540726562116506,0.32540726562116506
g8,Active Power,Mode 7,1.4953,-0.7033,1,0.2377784978275878,0.2377784978275878,0.2377784978275878
g8,Current,Mode 1,0.6062,-0.08,4,0.2290475823802302,0.27833080487058626,0.4962890617022378
g8,Current,Mode 4,1.1211,-0.3373,1,0.390820623232739,0.390820623232739,0.390820623232739
g8,Current,Mode 7,1.4953,-0.7033,1,0.20953436004622172,0.20953436004622172,0.20953436004622172
g8,Reactive Power,Mode 1,0.6062,-0.08,3,0.2295185223405061,0.23204735804661936,0.2371050294588459
g8,Voltage,Mode 1,0.6062,-0.08,7,0.5236258788103136,0.44388707594221877,0.5827462571633141
g8,Voltage,Mode 4,1.1211,-0.3373,2,0.2479617454162734,0.2479617454162734,0.2479617454162734
g9,Active Power,Mode 1,0.6062,-0.08,3,0.2501499594680746,0.24789056775435084,0.26392115383617254
g9,Active Power,Mode 2,0.9497,-0.1065,2,0.08770423265500697,0.08770423265500697,0.10051839052549631
g9,Active Power,Mode 4,1.1211,-0.3373,4,0.19105910835556866,0.1664925266073824,0.22562892095636608
g9,Current,Mode 1,0.6062,-0.08,6,0.2713556189435174,0.3292354392720442,0.848775594422298
g9,Current,Mode 4,1.1211,-0.3373,5,0.19592488037553263,0.18045023663160223,0.22562958684224182
g9,Reactive Power,Mode 1,0.6062,-0.08,10,0.4497061135640107,0.3913842065664829,0.7106120818649325
g9,Reactive Power,Mode 4,1.1211,-0.3373,4,0.24472497414568686,0.19404186186102956,0.2621097003249563
g9,Voltage,Mode 1,0.6062,-0.08,8,0.3551361820111952,0.3995784223902825,0.7618927674479016
g9,Voltage,Mode 3,1.0312,-0.2558,1,0.17231858296645738,0.17231858296645738,0.17231858296645738
g9,Voltage,Mode 4,1.1211,-0.3373,4,0.2166262276685114,0.2166262276685114,0.26891566195501065
