k,Cluster,Frequency,Damping,Size
1,1,0.5940817131614805,-0.3498246779508742,114
2,1,0.7296885371945201,-0.3977595611602857,87
2,2,0.1571263912772422,-0.19536783205388145,27
3,1,0.1571263912772422,-0.19536783205388145,27
3,2,0.7617892263659735,-0.3671322624848314,78
3,3,0.4514825643752575,-0.6631961496808896,9
4,1,1.031328349842704,-0.47381826901439367,24
4,2,0.1571263912772422,-0.19536783205388145,27
4,3,0.6621432191105978,-0.33709494546704294,56
4,4,0.23585743850069646,-0.622303774063572,7
5,1,0.1571263912772422,-0.19536783205388145,27
5,2,1.0154336084705662,-0.4435908876210202,22
5,3,0.6621432191105978,-0.33709494546704294,56
5,4,0.23585743850069646,-0.622303774063572,7
5,5,1.2061705049362212,-0.8063194643415015,2
6,1,0.6586238344141973,-0.3335051734294101,54
6,2,0.15787856655060067,-0.17645318304583163,24
6,3,0.9962531615734691,-0.45217389952202475,25
6,4,0.30732979069331773,-0.7469742886683717,3
6,5,1.3598845687149974,-0.9353285492610875,1
6,6,0.1689056663851493,-0.45075123211353263,7
7,1,0.6584895750334473,-0.32310576726494816,50
7,2,0.1689056663851493,-0.45075123211353263,7
7,3,1.024146150686638,-0.4506168998815263,22
7,4,0.30732979069331773,-0.7469742886683717,3
7,5,0.15787856655060067,-0.17645318304583163,24
7,6,1.3598845687149974,-0.9353285492610875,1
7,7,0.7166174329892819,-0.46353809894253967,7
8,1,0.653300894307702,-0.32282811046936427,49
8,2,0.15787856655060067,-0.17645318304583163,24
8,3,0.9713414493579344,-0.5599724394849541,5
8,4,1.0235801848060628,-0.41963992946885,19
8,5,0.30732979069331773,-0.7469742886683717,3
8,6,0.6925902530868517,-0.45367143048449926,6
8,7,0.1689056663851493,-0.45075123211353263,7
8,8,1.3598845687149974,-0.9353285492610875,1
9,1,1.0235801848060628,-0.41963992946885,19
9,2,0.13166553500996586,-0.2574263192721957,12
9,3,0.653300894307702,-0.32282811046936427,49
9,4,0.17749507629106304,-0.14572104227922994,15
9,5,0.30732979069331773,-0.7469742886683717,3
9,6,0.9713414493579344,-0.5599724394849541,5
9,7,0.18225317435623056,-0.5288008881099721,4
9,8,1.3598845687149974,-0.9353285492610875,1
9,9,0.6925902530868517,-0.45367143048449926,6
10,1,0.6478250866749783,-0.3337405580907927,44
10,2,0.13112495334962943,-0.2624722236461929,11
10,3,0.9713414493579344,-0.5599724394849541,5
10,4,0.18225317435623056,-0.5288008881099721,4
10,5,0.6925902530868517,-0.45367143048449926,6
10,6,1.0235801848060628,-0.41963992946885,19
10,7,0.15252925206039397,-0.15077226241905692,15
10,8,1.3598845687149974,-0.9353285492610875,1
10,9,0.30732979069331773,-0.7469742886683717,3
10,10,0.6699232173520094,-0.21002432101079863,6
