Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,1,0.19864626665747911,0.19864626665747911,0.19864626665747911
Order 4,Mode 1,0.6062,-0.08,7,0.3831313781110333,0.3606623663572588,0.5005216397096693
Order 6,Mode 1,0.6062,-0.08,8,0.33196131678363183,0.34896538275237865,0.645493258404663
Order 6,Mode 3,1.0312,-0.2558,1,0.5114203883939322,0.5114203883939322,0.5114203883939322
Tau 0.01,Mode 1,0.6062,-0.08,11,0.2632882028161564,0.34057976535924295,0.7382430017711966
Tau 0.01,Mode 3,1.0312,-0.2558,3,0.10735317896123044,0.09402473419581987,0.10811386559211815
Tau 0.01,Mode 4,1.1211,-0.3373,6,0.17629777408133657,0.17429558476020612,0.20696778015555445
Tau 0.1,Mode 1,0.6062,-0.08,9,0.2692176904899523,0.32623522252091297,0.645493258404663
Tau 0.1,Mode 4,1.1211,-0.3373,2,0.18015805575332555,0.18015805575332555,0.18089357846600648
Tau 1,Mode 1,0.6062,-0.08,6,0.3127708376085333,0.34336759392735344,0.645493258404663
