Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
load03,g2,Voltage,Order 2,7.316278082062572e-20,-0.13135423126067847,4.172114532146399e-05,-4.908915090202261e-18
load03,g2,Voltage,Order 4,0.6520655615575219,-0.39977955838805596,8.189885917872431e-05,1.2775187014398688
load03,g2,Voltage,Order 4,1.5157726312771403e-15,-0.2589366115288126,0.00028039912285928256,-3.1415926535895737
load03,g2,Voltage,Order 6,0.6275641835759551,-0.3636764783498835,7.994315009438247e-05,1.534562404983731
load03,g2,Voltage,Order 6,0.10024999204680057,-0.48084427911350625,6.394534513293448e-05,2.0908254860266178
load03,g2,Voltage,Order 6,0.006052391422838498,0.0036903935472339237,7.029189836690969e-06,0.29393761940169444
load03,g2,Voltage,Tau 1,0.6275641835759551,-0.3636764783498835,7.994315009438247e-05,1.534562404983731
load03,g2,Voltage,Tau 1,0.10024999204680057,-0.48084427911350625,6.394534513293448e-05,2.0908254860266178
load03,g2,Voltage,Tau 1,0.006052391422838498,0.0036903935472339237,7.029189836690969e-06,0.29393761940169444
load03,g2,Voltage,Tau 0.1,0.6275641835759551,-0.3636764783498835,7.994315009438247e-05,1.534562404983731
load03,g2,Voltage,Tau 0.1,0.10024999204680057,-0.48084427911350625,6.394534513293448e-05,2.0908254860266178
load03,g2,Voltage,Tau 0.1,0.006052391422838498,0.0036903935472339237,7.029189836690969e-06,0.29393761940169444
load03,g2,Voltage,Tau 0.01,1.0977642527950229,-0.2534096545811709,3.920931130774349e-06,1.5072574621849566
load03,g2,Voltage,Tau 0.01,0.9899445192229727,-0.4974059083377773,1.0527265401559014e-05,-0.2652448698955523
load03,g2,Voltage,Tau 0.01,0.6320128185702529,-0.29283184964535236,6.833288593606763e-05,1.52025097704944
load03,g2,Voltage,Tau 0.01,0.10518791083350604,-0.6222080930539234,7.033052109076639e-05,2.152855186095559
load03,g2,Voltage,Tau 0.01,0.16126978329291938,-0.16113815064044112,3.799894384184884e-06,1.290914981041987
load03,g2,Voltage,Tau 0.01,0.09959406731878612,-0.10628139226301722,2.3788844286608467e-06,0.8946053008135523
load03,g2,Voltage,Tau 0.01,0.006286070196746653,0.004523815487731067,6.700722826961808e-06,0.2394824388352781
load03,g2,Current,Order 2,0.019540294153478608,-0.10115102036951257,0.0004965098834089183,-2.328188013735089
load03,g2,Current,Order 4,0.2226294248822873,-0.22440385880326033,0.00010052722562118082,0.7851401097291737
load03,g2,Current,Order 4,0.012201717149915914,-0.09918678675602255,0.0006398814970516627,-2.0622481224411966
load03,g2,Current,Order 6,0.636972010977493,-0.4172356864100472,0.00032194469042838515,-1.3139749774329512
load03,g2,Current,Order 6,0.0164316199580648,-0.24387415881404084,0.0006096066935419911,3.057656641235204
load03,g2,Current,Order 6,4.81264737498607e-16,0.03750402280428131,3.366854414875599e-05,3.1415926535895817
load03,g2,Current,Tau 1,0.6402066281862695,-0.45080030679928046,0.00034485304087032996,-1.3424820138634497
load03,g2,Current,Tau 1,0.01450886649131399,-0.14592545798323162,0.0009740854358924614,-2.0610671348805973
load03,g2,Current,Tau 0.1,0.9730888439293216,-0.438715694255586,0.00011096520928419988,-2.061748917629668
load03,g2,Current,Tau 0.1,0.637346197626579,-0.3326416230560751,0.0002450698469620304,-1.4045672005521965
load03,g2,Current,Tau 0.1,0.01156365032474362,-0.39492019543987156,0.0025468082724803298,1.8104769546532147
load03,g2,Current,Tau 0.1,0.002333371439976168,-0.01835369960205225,0.0004896951936961602,1.1021624043826626
load03,g2,Current,Tau 0.01,0.9730888439293216,-0.438715694255586,0.00011096520928419988,-2.061748917629668
load03,g2,Current,Tau 0.01,0.637346197626579,-0.3326416230560751,0.0002450698469620304,-1.4045672005521965
load03,g2,Current,Tau 0.01,0.01156365032474362,-0.39492019543987156,0.0025468082724803298,1.8104769546532147
load03,g2,Current,Tau 0.01,0.002333371439976168,-0.01835369960205225,0.0004896951936961602,1.1021624043826626
load03,g2,Active Power,Order 2,0.018001338635405383,-0.1020634364978374,0.3072428149450949,-2.2726403495797465
load03,g2,Active Power,Order 4,0.1627850192695926,-0.3121746469395583,0.10152072906016862,1.3234756385790833
load03,g2,Active Power,Order 4,0.016622635370382423,-0.08052538185081402,0.2358424643571134,-2.2358234211928414
load03,g2,Active Power,Order 6,0.6648713925622578,-0.612667153206519,0.21564319289595502,-1.381342118370641
load03,g2,Active Power,Order 6,0.016460143481884838,-0.0814530683709857,0.2301564046400682,-2.1511295987497983
load03,g2,Active Power,Order 6,7.223467326098131e-16,0.06513924787832207,0.0021554565128412417,3.141592653589774
load03,g2,Active Power,Tau 1,0.018001338635405383,-0.1020634364978374,0.3072428149450949,-2.2726403495797465
load03,g2,Active Power,Tau 0.1,0.6496547846006733,-0.4733550486723951,0.181514157855928,-1.3157070886927809
load03,g2,Active Power,Tau 0.1,1.745186161858955e-15,-0.08063493047242755,0.5952813274641824,-2.686822131081966e-13
load03,g2,Active Power,Tau 0.01,1.0990800473463582,-0.17263147106424143,0.007710619667440486,-0.8436695216495896
load03,g2,Active Power,Tau 0.01,0.9825847561366674,-0.4245888521015318,0.08375612057596975,-2.2031111666257455
load03,g2,Active Power,Tau 0.01,0.6371398625294431,-0.3314780027815297,0.12101863109678182,-1.3326373179345525
load03,g2,Active Power,Tau 0.01,1.6440624803561209e-15,-0.7047448254277076,0.34535395517559386,-2.1163534720825464e-13
load03,g2,Active Power,Tau 0.01,0.00442293423952644,-0.006120598002927177,0.11754042697052731,0.6453306976751488
load03,g2,Reactive Power,Order 2,0.014374043040368564,-0.1406128694838724,0.48544806364926213,-2.052601782184885
load03,g2,Reactive Power,Order 4,0.04374737447512021,-0.5201534611258062,0.7053669737136927,1.8924024731668003
load03,g2,Reactive Power,Order 4,0.008361368707046807,-0.013506227820417912,0.06085815971850486,-0.11634520843472046
load03,g2,Reactive Power,Order 6,0.6362727601611943,-0.29228394564151755,0.030671068046181506,-1.0952561661181675
load03,g2,Reactive Power,Order 6,0.05991306461938459,-0.604450966967765,0.6505799552720126,1.8750856432066314
load03,g2,Reactive Power,Order 6,0.007100997884366529,0.012380970588448266,0.03584679845688528,0.020467097628093886
load03,g2,Reactive Power,Tau 1,0.04374737447512021,-0.5201534611258062,0.7053669737136927,1.8924024731668003
load03,g2,Reactive Power,Tau 1,0.008361368707046807,-0.013506227820417912,0.06085815971850486,-0.11634520843472046
load03,g2,Reactive Power,Tau 0.1,0.6362727601611943,-0.29228394564151755,0.030671068046181506,-1.0952561661181675
load03,g2,Reactive Power,Tau 0.1,0.05991306461938459,-0.604450966967765,0.6505799552720126,1.8750856432066314
load03,g2,Reactive Power,Tau 0.1,0.007100997884366529,0.012380970588448266,0.03584679845688528,0.020467097628093886
load03,g2,Reactive Power,Tau 0.01,0.63740117117558,-0.2946087769831988,0.03737786551237999,-1.051329734015846
load03,g2,Reactive Power,Tau 0.01,8.581934626805549e-15,-0.722219303921925,1.0924071234511088,-3.633748764899798e-13
load03,g2,Reactive Power,Tau 0.01,0.0859894257570301,-0.12216077272584316,0.014315920180916793,-3.110828017226659
load03,g2,Reactive Power,Tau 0.01,6.056680163884462e-16,-0.4393952763952687,1.6149615667431139,3.1415926535894854
load03,g2,Reactive Power,Tau 0.01,2.5110412689882106e-14,-0.020051155090477158,0.3521720242982769,8.390295512271172e-12
load03,g3,Voltage,Order 2,0.6235096849770009,-0.27789066188921424,6.781042923640212e-05,1.5647334801453332
load03,g3,Voltage,Order 4,0.6513860519564649,-0.3352569351189222,7.653541374636834e-05,1.2868377858404054
load03,g3,Voltage,Order 4,0.07735707160461056,-0.09026220372650247,6.897544375332365e-06,-1.9745728270369076
load03,g3,Voltage,Order 6,0.6350686331607205,-0.4343080043747405,8.611223273582317e-05,1.4089843298631208
load03,g3,Voltage,Order 6,0.08596094107765019,-0.15285204157724036,9.307508290092186e-06,-1.9575060568064133
load03,g3,Voltage,Order 6,0.023038298602499896,0.026796373800781714,4.200387607740847e-07,2.1639957128036067
load03,g3,Voltage,Tau 1,0.6235096849770009,-0.27789066188921424,6.781042923640212e-05,1.5647334801453332
load03,g3,Voltage,Tau 0.1,0.6513860519564649,-0.3352569351189222,7.653541374636834e-05,1.2868377858404054
load03,g3,Voltage,Tau 0.1,0.07735707160461056,-0.09026220372650247,6.897544375332365e-06,-1.9745728270369076
load03,g3,Voltage,Tau 0.01,0.6566582430841528,-0.4039770506523775,8.513753025127898e-05,1.2676202485758965
load03,g3,Voltage,Tau 0.01,0.14906725693225645,-0.28486609888695325,1.355078301589213e-05,2.337879396301632
