Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g1,Active Power,Mode 1,0.6062,-0.08,4,0.2516542081939934,0.2716873598638082,0.3317868148732525
g1,Current,Mode 1,0.6062,-0.08,4,0.2517842918961753,0.27085125864508797,0.328052158891826
g1,Reactive Power,Mode 1,0.6062,-0.08,7,0.2900529212361954,0.3300925969079088,0.48343294155887256
g1,Reactive Power,Mode 3,1.0312,-0.2558,1,0.14203400063319188,0.14203400063319188,0.14203400063319188
g1,Voltage,Mode 1,0.6062,-0.08,3,0.251126576350744,0.251126576350744,0.251126576350744
g10,Active Power,Mode 1,0.6062,-0.08,2,0.2672686553175925,0.2672686553175925,0.2672686553175925
g10,Active Power,Mode 3,1.0312,-0.2558,1,0.14345924347794448,0.14345924347794448,0.14345924347794448
g10,Active Power,Mode 4,1.1211,-0.3373,2,0.07360310269350799,0.07360310269350799,0.07360310269350799
g10,Current,Mode 1,0.6062,-0.08,6,0.37616440332473905,0.3757232241616934,0.49857104875132663
g10,Current,Mode 4,1.1211,-0.3373,2,0.11917130348509772,0.11917130348509772,0.12007199272356857
g10,Reactive Power,Mode 1,0.6062,-0.08,7,0.4651960992410927,0.38730137877857124,0.5105210762461179
g10,Reactive Power,Mode 4,1.1211,-0.3373,1,0.1823851468278127,0.1823851468278127,0.1823851468278127
g10,Voltage,Mode 1,0.6062,-0.08,12,0.4824579273176579,0.38892703112958343,0.5186395147649474
g10,Voltage,Mode 4,1.1211,-0.3373,2,0.1697286470401168,0.1697286470401168,0.1720812922505596
g2,Active Power,Mode 1,0.6062,-0.08,3,0.39574804184070606,0.38321461123253525,0.5005216397096693
g2,Active Power,Mode 3,1.0312,-0.2558,2,0.3093867836775813,0.3093867836775813,0.5114203883939322
g2,Active Power,Mode 4,1.1211,-0.3373,1,0.16372481938826985,0.16372481938826985,0.16372481938826985
g2,Current,Mode 1,0.6062,-0.08,5,0.33863671515069754,0.32599078663627895,0.40985224231838085
g2,Current,Mode 4,1.1211,-0.3373,2,0.17942253304064462,0.17942253304064462,0.17942253304064462
g2,Reactive Power,Mode 1,0.6062,-0.08,3,0.2144034619143158,0.21522398384413025,0.21686502770375912
g2,Voltage,Mode 1,0.6062,-0.08,10,0.38765999049138467,0.45178737021762333,0.7382430017711966
g2,Voltage,Mode 3,1.0312,-0.2558,1,0.06660715803411105,0.06660715803411105,0.06660715803411105
g2,Voltage,Mode 4,1.1211,-0.3373,1,0.20696778015555445,0.20696778015555445,0.20696778015555445
