Gen,Signal,Method,R2,RMSE,Poles
g1,Voltage,Order 2,0.5441112578097974,2.905901699006699e-05,1
g1,Voltage,Order 4,0.9838915273961392,5.462339212091476e-06,2
g1,Voltage,Order 6,0.9715420338704279,7.260280736067526e-06,3
g1,Voltage,Tau 1,0.5441112578097974,2.905901699006699e-05,1
g1,Voltage,Tau 0.1,0.9715420338704279,7.260280736067526e-06,3
g1,Voltage,Tau 0.01,0.9715420338704279,7.260280736067526e-06,3
g1,Current,Order 2,0.7197358374426968,5.581015410765111e-05,1
g1,Current,Order 4,0.7779689314073658,4.967482116731416e-05,2
g1,Current,Order 6,0.9952507974056204,7.265069712008282e-06,3
g1,Current,Tau 1,0.7197358374426968,5.581015410765111e-05,1
g1,Current,Tau 0.1,0.9952507974056204,7.265069712008282e-06,3
g1,Current,Tau 0.01,0.9952507974056204,7.265069712008282e-06,3
g1,Active Power,Order 2,0.7750073560377276,0.5345151888875747,1
g1,Active Power,Order 4,0.7864788966999505,0.5207104500072922,2
g1,Active Power,Order 6,0.9985810552592723,0.042448136813984745,3
g1,Active Power,Tau 1,0.7750073560377276,0.5345151888875747,1
g1,Active Power,Tau 0.1,0.9985810552592723,0.042448136813984745,3
g1,Active Power,Tau 0.01,0.9985810552592723,0.042448136813984745,3
g1,Reactive Power,Order 2,0.4016085032443034,0.09897750396356554,1
g1,Reactive Power,Order 4,0.7514225990543735,0.06379323295279328,2
g1,Reactive Power,Order 6,0.9840358320332486,0.016166534559899054,3
g1,Reactive Power,Tau 1,0.9840358320332486,0.016166534559899054,3
g1,Reactive Power,Tau 0.1,0.9932318313842391,0.01052638804002989,4
g1,Reactive Power,Tau 0.01,0.9983990735798508,0.005119522743076815,5
g2,Voltage,Order 2,-1.3380798395441467,3.8916389208185413e-05,1
g2,Voltage,Order 4,-15.773364835909234,0.00010423485492966941,2
g2,Voltage,Order 6,0.9888902020921994,2.6826001782601212e-06,3
g2,Voltage,Tau 1,0.9888902020921994,2.6826001782601212e-06,3
g2,Voltage,Tau 0.1,0.9888902020921994,2.6826001782601212e-06,3
g2,Voltage,Tau 0.01,0.9958826750550082,1.6330912103453313e-06,7
g2,Current,Order 2,0.7962507490984099,7.89859615493805e-05,1
g2,Current,Order 4,0.7663015670548483,8.459209859649359e-05,2
g2,Current,Order 6,-1.6358883304169294,0.00028409618565853245,3
g2,Current,Tau 1,0.9283318050278169,4.68452037668407e-05,2
g2,Current,Tau 0.1,0.9986569224899339,6.412870021498336e-06,4
g2,Current,Tau 0.01,0.9986569224899339,6.412870021498336e-06,4
g2,Active Power,Order 2,0.8111898286056997,0.04383623989920215,1
g2,Active Power,Order 4,0.8220767222010773,0.042553666649802493,2
g2,Active Power,Order 6,0.7757905533203195,0.04776915458142891,3
g2,Active Power,Tau 1,0.8111898286056997,0.04383623989920215,1
g2,Active Power,Tau 0.1,-20.33691056125908,0.46600048655812454,2
g2,Active Power,Tau 0.01,-3.6446252865061117,0.21741822351842402,5
g2,Reactive Power,Order 2,0.9192011708830878,0.02595771105233903,1
g2,Reactive Power,Order 4,0.9885396309477745,0.009776044318746846,2
g2,Reactive Power,Order 6,0.9848559101473102,0.011237907394408561,3
g2,Reactive Power,Tau 1,0.9885396309477745,0.009776044318746846,2
g2,Reactive Power,Tau 0.1,0.9848559101473102,0.011237907394408561,3
g2,Reactive Power,Tau 0.01,-15.559603574682132,0.37161122851939665,5
g3,Voltage,Order 2,0.9161001571493671,5.555686530693253e-06,1
g3,Voltage,Order 4,0.9683175216312251,3.414025285442963e-06,2
g3,Voltage,Order 6,0.9640658030652167,3.635893315116515e-06,3
g3,Voltage,Tau 1,0.9161001571493671,5.555686530693253e-06,1
g3,Voltage,Tau 0.1,0.9683175216312251,3.414025285442963e-06,2
g3,Voltage,Tau 0.01,0.9004760019450793,6.050915203534679e-06,3
g3,Current,Order 2,0.6728059353279698,8.935763300420658e-05,1
g3,Current,Order 4,0.7810881044887816,7.309095367236222e-05,2
g3,Current,Order 6,-0.026513887536217196,0.00015827465020525506,2
