Gen,Signal,Method,R2,RMSE,Poles
g2,Voltage,Order 2,-1.3380798395441467,3.8916389208185413e-05,1
g2,Voltage,Order 4,-15.773364835909234,0.00010423485492966941,2
g2,Voltage,Order 6,0.9888902020921994,2.6826001782601212e-06,3
g2,Voltage,Tau 1,0.9888902020921994,2.6826001782601212e-06,3
g2,Voltage,Tau 0.1,0.9888902020921994,2.6826001782601212e-06,3
g2,Voltage,Tau 0.01,0.9958826750550082,1.6330912103453313e-06,7
g2,Current,Order 2,0.7962507490984099,7.89859615493805e-05,1
g2,Current,Order 4,0.7663015670548483,8.459209859649359e-05,2
g2,Current,Order 6,-1.6358883304169294,0.00028409618565853245,3
g2,Current,Tau 1,0.9283318050278169,4.68452037668407e-05,2
g2,Current,Tau 0.1,0.9986569224899339,6.412870021498336e-06,4
g2,Current,Tau 0.01,0.9986569224899339,6.412870021498336e-06,4
g2,Reactive Power,Order 2,0.9192011708830878,0.02595771105233903,1
g2,Reactive Power,Order 4,0.9885396309477745,0.009776044318746846,2
g2,Reactive Power,Order 6,0.9848559101473102,0.011237907394408561,3
g2,Reactive Power,Tau 1,0.9885396309477745,0.009776044318746846,2
g2,Reactive Power,Tau 0.1,0.9848559101473102,0.011237907394408561,3
g2,Reactive Power,Tau 0.01,-15.559603574682132,0.37161122851939665,5
g3,Voltage,Order 2,0.9161001571493671,5.555686530693253e-06,1
g3,Voltage,Order 4,0.9683175216312251,3.414025285442963e-06,2
g3,Voltage,Order 6,0.9640658030652167,3.635893315116515e-06,3
g3,Voltage,Tau 1,0.9161001571493671,5.555686530693253e-06,1
g3,Voltage,Tau 0.1,0.9683175216312251,3.414025285442963e-06,2
g3,Voltage,Tau 0.01,0.9004760019450793,6.050915203534679e-06,3
g3,Current,Order 2,0.6728059353279698,8.935763300420658e-05,1
g3,Current,Order 4,0.7810881044887816,7.309095367236222e-05,2
g3,Current,Order 6,-0.026513887536217196,0.00015827465020525506,2
g3,Current,Tau 1,0.9064864423271674,4.777120955672885e-05,2
g3,Current,Tau 0.1,0.9992185445601374,4.366978533844872e-06,4
g3,Current,Tau 0.01,0.9992185445601374,4.366978533844872e-06,4
g3,Reactive Power,Order 2,0.7356637363923901,0.019316137133946795,1
g3,Reactive Power,Order 4,0.808990792003331,0.016419845199399503,2
g3,Reactive Power,Order 6,0.896879125283141,0.012064663146859788,3
g3,Reactive Power,Tau 1,0.896879125283141,0.012064663146859788,3
g3,Reactive Power,Tau 0.1,0.896879125283141,0.012064663146859788,3
g3,Reactive Power,Tau 0.01,-14.737965195756942,0.1490445831673273,5
g5,Voltage,Order 2,0.8529150419838718,9.569458613561872e-06,1
g5,Voltage,Order 4,0.9816806435202944,3.37721216494383e-06,2
g5,Voltage,Order 6,0.9773542463805933,3.7548848838777986e-06,3
g5,Voltage,Tau 1,0.9816806435202944,3.37721216494383e-06,2
g5,Voltage,Tau 0.1,0.9286644004353788,6.664328495032479e-06,3
g5,Voltage,Tau 0.01,0.9995890835181925,5.058013901612741e-07,7
g5,Current,Order 2,0.4821260236691841,0.00010565808068631574,1
g5,Current,Order 4,0.9182052102430792,4.1990736651893886e-05,2
g5,Current,Order 6,0.8792398911974323,5.102140587077333e-05,3
g5,Current,Tau 1,0.4821260236691841,0.00010565808068631574,1
g5,Current,Tau 0.1,0.9991551019093576,4.2676897295049715e-06,4
g5,Current,Tau 0.01,0.9996498085681211,2.747536252178706e-06,5
g5,Reactive Power,Order 2,0.6023235802104069,0.017070519085932677,1
g5,Reactive Power,Order 4,0.9217586712832747,0.007571813631340359,2
g5,Reactive Power,Order 6,0.9761316890558245,0.0041820830290178485,3
g5,Reactive Power,Tau 1,0.9761316890558245,0.0041820830290178485,3
g5,Reactive Power,Tau 0.1,0.9761316890558245,0.0041820830290178485,3
g5,Reactive Power,Tau 0.01,0.9978900526608584,0.0012434193324748458,5
g6,Voltage,Order 2,0.7743504130198917,2.0375941060786247e-05,1
g6,Voltage,Order 4,0.9489181753282052,9.694682829635715e-06,2
g6,Voltage,Order 6,0.9958152592624158,2.774819147347182e-06,3
g6,Voltage,Tau 1,0.7743504130198917,2.0375941060786247e-05,1
g6,Voltage,Tau 0.1,0.7743504130198917,2.0375941060786247e-05,1
g6,Voltage,Tau 0.01,0.9995896090112562,8.689590532873364e-07,5
g6,Current,Order 2,0.5971597639039491,0.00010933465872592249,1
g6,Current,Order 4,0.9305747365170922,4.538895678815934e-05,2
g6,Current,Order 6,0.9768723674047486,2.6197329501391223e-05,3
g6,Current,Tau 1,0.915753997168337,4.999954876525787e-05,3
g6,Current,Tau 0.1,0.998890871803288,5.736966394287966e-06,4
g6,Current,Tau 0.01,0.998890871803288,5.736966394287966e-06,4
g6,Reactive Power,Order 2,-77.7614482242325,1.3425970879655182,1
g6,Reactive Power,Order 4,0.9646611506066105,0.028439048171784456,2
g6,Reactive Power,Order 6,0.9942869092043056,0.011434690585620192,3
g6,Reactive Power,Tau 1,0.9942869092043056,0.011434690585620192,3
g6,Reactive Power,Tau 0.1,0.9942869092043056,0.011434690585620192,3
g6,Reactive Power,Tau 0.01,0.9994492816469824,0.003550206618083269,4
g7,Voltage,Order 2,0.3347744502956831,2.027583748621972e-05,1
g7,Voltage,Order 4,0.9395853744251871,6.1103401222995255e-06,2
g7,Voltage,Order 6,0.9941072230711242,1.908333796462405e-06,3
g7,Voltage,Tau 1,0.9776946604978576,3.712776102323937e-06,2
g7,Voltage,Tau 0.1,0.9937331249387946,1.9679762790114422e-06,4
g7,Voltage,Tau 0.01,0.9937331249387946,1.9679762790114422e-06,4
g7,Current,Order 2,0.639270160432299,8.99635906724733e-05,1
g7,Current,Order 4,0.915805494394316,4.3462792065368126e-05,2
g7,Current,Order 6,0.9840333751743616,1.892702286931755e-05,3
g7,Current,Tau 1,0.8754371871608833,5.2865208568058674e-05,3
g7,Current,Tau 0.1,0.8754371871608833,5.2865208568058674e-05,3
g7,Current,Tau 0.01,-12.47164658416874,0.0005497763923112398,4
g7,Reactive Power,Order 2,0.6908270145472132,0.021051645388895545,1
g7,Reactive Power,Order 4,0.436511629509285,0.0284202408867018,2
g7,Reactive Power,Order 6,0.7042223848691005,0.02059054905563431,4
g7,Reactive Power,Tau 1,0.7042223848691005,0.02059054905563431,4
g7,Reactive Power,Tau 0.1,0.8233374256694354,0.015913201180530318,5
g7,Reactive Power,Tau 0.01,0.8309047767845616,0.015568649652515653,6
