Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase,Reference_Mode,Reference_Frequency,Reference_Damping,Distance_to_Reference
load03,g1,Voltage,Order 6,0.6401489696718009,-0.3286254211649796,2.114031698718705e-05,1.7920143485857234,Mode 1,0.6062,-0.08,0.2509325259730997
load03,g1,Voltage,Tau 0.1,0.6401489696718009,-0.3286254211649796,2.114031698718705e-05,1.7920143485857234,Mode 1,0.6062,-0.08,0.2509325259730997
load03,g1,Voltage,Tau 0.01,0.6401489696718009,-0.3286254211649796,2.114031698718705e-05,1.7920143485857234,Mode 1,0.6062,-0.08,0.2509325259730997
load03,g1,Current,Order 4,0.290502257414198,-0.2066681833858759,5.165969280186715e-05,-2.461426747354674,Mode 1,0.6062,-0.08,0.3401615694872793
load03,g1,Current,Order 6,0.638712925491793,-0.3429834536992046,0.0001725661653276,2.036556018032858,Mode 1,0.6062,-0.08,0.2649856359193769
load03,g1,Current,Tau 0.1,0.638712925491793,-0.3429834536992046,0.0001725661653276,2.036556018032858,Mode 1,0.6062,-0.08,0.2649856359193769
load03,g1,Current,Tau 0.01,0.638712925491793,-0.3429834536992046,0.0001725661653276,2.036556018032858,Mode 1,0.6062,-0.08,0.2649856359193769
load03,g1,Active Power,Order 4,0.2863453617333766,-0.2056232184077095,0.5460490250125651,-2.4442374942563334,Mode 1,0.6062,-0.08,0.3436396115464333
load03,g1,Active Power,Order 6,0.6387757309179863,-0.3424512254665037,1.8341535495292849,2.031493299098277,Mode 1,0.6062,-0.08,0.26446516593629227
load03,g1,Active Power,Tau 0.1,0.6387757309179863,-0.3424512254665037,1.8341535495292849,2.031493299098277,Mode 1,0.6062,-0.08,0.26446516593629227
load03,g1,Active Power,Tau 0.01,0.6387757309179863,-0.3424512254665037,1.8341535495292849,2.031493299098277,Mode 1,0.6062,-0.08,0.26446516593629227
load03,g1,Reactive Power,Order 4,0.6095917539525203,-0.454827672534489,0.4597548728982638,-1.0344003461001567,Mode 1,0.6062,-0.08,0.37484301793216923
load03,g1,Reactive Power,Order 6,0.641523621742138,-0.3210014791053504,0.3434030337030864,-1.2268587260764376,Mode 1,0.6062,-0.08,0.2435764175447785
load03,g1,Reactive Power,Tau 1,0.641523621742138,-0.3210014791053504,0.3434030337030864,-1.2268587260764376,Mode 1,0.6062,-0.08,0.2435764175447785
load03,g1,Reactive Power,Tau 0.1,0.6412057123036192,-0.3295432434385243,0.3537979439658015,-1.2187388928910463,Mode 1,0.6062,-0.08,0.2519865675779214
load03,g1,Reactive Power,Tau 0.1,0.1366119980930488,-0.2069936417551803,0.0526482103044755,-0.3176712517388119,Mode 1,0.6062,-0.08,0.48645685993847987
load03,g1,Reactive Power,Tau 0.01,0.6388119274530152,-0.3297837357617214,0.3518433770300775,-1.168338037107458,Mode 1,0.6062,-0.08,0.2519036571058113
load03,g1,Reactive Power,Tau 0.01,0.9758712377804486,-0.4634255277488894,0.0285845980575146,2.003934531429436,Mode 4,1.1211,-0.3373,0.19235135072506995
load03,g1,Reactive Power,Tau 0.01,0.1367157747784249,-0.1754046485655328,0.0401773179953116,-0.2740391992777957,Mode 1,0.6062,-0.08,0.47907983123881914
load03,g8,Voltage,Order 6,0.647407484597235,-0.2890897878615067,4.703035885917621e-05,1.4791672604705248,Mode 1,0.6062,-0.08,0.21311169882200562
load03,g8,Voltage,Tau 0.1,0.647407484597235,-0.2890897878615067,4.703035885917621e-05,1.4791672604705248,Mode 1,0.6062,-0.08,0.21311169882200562
load03,g8,Voltage,Tau 0.01,0.639803513324204,-0.3252138899919424,5.140372260455713e-05,1.686921324800727,Mode 1,0.6062,-0.08,0.24750565236517402
load03,g8,Voltage,Tau 0.01,0.9732810353028104,-0.4918384432148102,1.7326201752833606e-05,-1.4896368339000132,Mode 4,1.1211,-0.3373,0.21385176350782356
load03,g8,Voltage,Tau 0.01,0.1345912612881302,-0.1743226407664533,2.024864509982577e-05,2.790458743243412,Mode 1,0.6062,-0.08,0.4809486074317692
load03,g8,Current,Order 4,0.1705098978382348,-0.174217089358981,5.4007036220585945e-05,1.4484257605789033,Mode 1,0.6062,-0.08,0.4457608383976856
load03,g8,Current,Order 6,0.6735870452474076,-0.2327852679330635,0.0001161745704909,-1.6002337379342717,Mode 1,0.6062,-0.08,0.16698608314633342
load03,g8,Current,Tau 0.1,0.6428650145047464,-0.3704922737510354,0.0001849373982594,-1.144557486047574,Mode 1,0.6062,-0.08,0.2927970020298701
load03,g8,Current,Tau 0.1,1.1499178690478775,-0.552549998611313,8.764790084732742e-05,0.9128800002349602,Mode 4,1.1211,-0.3373,0.2171705124519231
load03,g8,Current,Tau 0.01,0.6429076570657339,-0.3598573981289621,0.0001795195396592,-1.1374827431838408,Mode 1,0.6062,-0.08,0.2822545223282843
load03,g8,Current,Tau 0.01,1.148864657232236,-0.5546581218815846,8.819434282570195e-05,0.9415267353672394,Mode 4,1.1211,-0.3373,0.21912423266063785
load03,g8,Current,Tau 0.01,0.1062822116122133,-0.1063380285237116,9.769754970453816e-06,1.4108896516000389,Mode 1,0.6062,-0.08,0.5006111134334231
load03,g8,Active Power,Order 6,0.6834073293364218,-0.2260218524051972,0.0612355010548162,-1.606446065267978,Mode 1,0.6062,-0.08,0.16517673287454232
load03,g8,Active Power,Tau 1,0.6518627784654193,-0.3332877654607603,0.0953241692140955,-1.159921120385605,Mode 1,0.6062,-0.08,0.2573709025303503
load03,g8,Active Power,Tau 0.1,0.6518627784654193,-0.3332877654607603,0.0953241692140955,-1.159921120385605,Mode 1,0.6062,-0.08,0.2573709025303503
load03,g8,Active Power,Tau 0.01,1.3666444660084598,-0.9486694949017388,0.0547800415601773,-0.8448334551757747,Mode 7,1.4953,-0.7033,0.27705312749540073
load03,g8,Active Power,Tau 0.01,0.639766854938789,-0.3442663303254235,0.0949875055367582,-0.9759780481374454,Mode 1,0.6062,-0.08,0.2663896152145341
load03,g8,Active Power,Tau 0.01,1.0588166367579703,-0.6611296726338647,0.0572844706697053,2.047676981958334,Mode 4,1.1211,-0.3373,0.3297648771699233
load03,g8,Reactive Power,Order 6,0.6441674020092626,-0.3165869564401647,0.0504704669235212,-1.1209552439872128,Mode 1,0.6062,-0.08,0.23961408884486185
load03,g8,Reactive Power,Tau 0.01,0.6401438407644207,-0.3371583282844889,0.0522387338155105,-0.9914540504529078,Mode 1,0.6062,-0.08,0.2593888781962582
load03,g8,Reactive Power,Tau 0.01,0.9867081742208024,-0.4201996503656929,0.0158007986254925,1.806230525127672,Mode 4,1.1211,-0.3373,0.1579034985901843
load03,g8,Reactive Power,Tau 0.01,0.1249392826164667,-0.3219072691271032,0.0356181050731089,2.2702383729825084,Mode 1,0.6062,-0.08,0.538638102024955
load03,g9,Voltage,Order 2,0.6735270338987223,-0.2921493368775547,0.0001282478629993,1.242676023017139,Mode 1,0.6062,-0.08,0.2225764377268759
load03,g9,Voltage,Order 4,0.8688907229912168,-0.4458064392112225,0.000101053128093,-0.7299824348396914,Mode 3,1.0312,-0.2558,0.24989347399410383
load03,g9,Voltage,Order 4,0.5905792478296017,-0.4400838067381515,0.0001428961736846,2.3179031697664456,Mode 1,0.6062,-0.08,0.36042246846361764
load03,g9,Voltage,Order 6,0.6394402595225481,-0.3607594908643206,0.0001469874347877,1.7418246942796902,Mode 1,0.6062,-0.08,0.2827203681440707
load03,g9,Voltage,Order 6,0.9832502108368496,-0.4416371398056841,9.39941788861113e-05,-1.673937488475996,Mode 4,1.1211,-0.3373,0.17288378499777207
load03,g9,Voltage,Order 6,0.1252265081846644,-0.3305162807261394,4.4028422115881575e-05,-1.964226509056592,Mode 1,0.6062,-0.08,0.5423042566105254
load03,g9,Voltage,Tau 1,0.6735270338987223,-0.2921493368775547,0.0001282478629993,1.242676023017139,Mode 1,0.6062,-0.08,0.2225764377268759
load03,g9,Voltage,Tau 0.1,0.9855739092238444,-0.459729109674411,9.845214052763712e-05,-1.6907519263217066,Mode 4,1.1211,-0.3373,0.18263682042987864
load03,g9,Voltage,Tau 0.1,0.6388772001692038,-0.3464354906731596,0.0001411421967698,1.7814922774052626,Mode 1,0.6062,-0.08,0.2684318723645639
load03,g9,Voltage,Tau 0.1,0.2446662164401797,-0.7575741665581797,7.150430661751068e-05,2.6967588216830887,Mode 1,0.6062,-0.08,0.7679931170538514
load03,g9,Voltage,Tau 0.01,0.9773305219793657,-0.5259369993660027,0.0001105799819595,-1.5203646208941182,Mode 4,1.1211,-0.3373,0.23717837241227321
load03,g9,Voltage,Tau 0.01,0.6378937679430722,-0.3348286954822053,0.0001349909952043,1.804001214638264,Mode 1,0.6062,-0.08,0.25679205394169
load03,g9,Voltage,Tau 0.01,0.2639175877468041,-0.7492315113384784,5.047336168218558e-05,2.7727038129562094,Mode 1,0.6062,-0.08,0.7516834875838705
load03,g9,Voltage,Tau 0.01,1.1144513662770212,-0.359826019466634,1.1051995007591594e-05,1.967332195271677,Mode 4,1.1211,-0.3373,0.0234867171693599
load03,g9,Voltage,Tau 0.01,0.1383888996776482,-0.1888803826154934,9.043695710997202e-06,-1.777928944286555,Mode 1,0.6062,-0.08,0.48031465031092446
load03,g9,Current,Order 4,0.744673095456781,-0.2495993899349324,0.0002588258960382,-2.4216107327082,Mode 1,0.6062,-0.08,0.21894919783293115
load03,g9,Current,Order 6,0.8313548832134026,-0.3390739171403754,0.0003115968233196,-3.133202802434288,Mode 3,1.0312,-0.2558,0.21650084521625043
load03,g9,Current,Order 6,0.2817078182950547,-0.5638322111349141,0.0002601561185546,1.0770095369077344,Mode 1,0.6062,-0.08,0.582570840773322
load03,g9,Current,Tau 0.1,0.9827438703060858,-0.454771035455447,0.0003834119047204,1.7116354464783043,Mode 4,1.1211,-0.3373,0.18149893331602282
load03,g9,Current,Tau 0.1,0.6411404427209053,-0.3441284450994691,0.0003524363500247,-1.166914772418707,Mode 1,0.6062,-0.08,0.26642948419459156
load03,g9,Current,Tau 0.01,0.9748541892944448,-0.5423875256356608,0.0004507938163203,1.8988425972964784,Mode 4,1.1211,-0.3373,0.2518903140660294
load03,g9,Current,Tau 0.01,0.638405223176341,-0.3279903857603538,0.0003306499743217,-1.1070652647698895,Mode 1,0.6062,-0.08,0.25007280505766116
load03,g9,Current,Tau 0.01,1.1073084917653802,-0.4223746076310329,5.893974486208418e-05,-0.9182742137456053,Mode 4,1.1211,-0.3373,0.08618523401929006
load03,g9,Active Power,Order 4,0.778570539649947,-0.2274152831987388,0.1703514112241909,-2.647575411562051,Mode 2,0.9497,-0.1065,0.2095371038998381
load03,g9,Active Power,Order 6,0.858234330429757,-0.3342682797349371,0.2496691948111219,2.980021690783616,Mode 3,1.0312,-0.2558,0.18993260324242062
load03,g9,Active Power,Order 6,0.1764347367445459,-0.5962951142055413,0.4064075357643198,1.6159628021765626,Mode 1,0.6062,-0.08,0.6717580118268354
load03,g9,Active Power,Tau 0.1,0.9845473678273106,-0.4510784663425374,0.3131117758816382,1.732726235381736,Mode 4,1.1211,-0.3373,0.17774183738374524
load03,g9,Active Power,Tau 0.1,0.6417376732494409,-0.3588552927281727,0.2665697661540914,-1.0786375421055632,Mode 1,0.6062,-0.08,0.28111065526318796
load03,g9,Active Power,Tau 0.01,0.977284740261429,-0.5214772690220955,0.3568872117370443,1.8862017508777784,Mode 4,1.1211,-0.3373,0.2336751920040079
load03,g9,Active Power,Tau 0.01,0.6380108700322601,-0.3380126089165319,0.2472192757806056,-0.9936389371044624,Mode 1,0.6062,-0.08,0.2599662243679447
load03,g9,Active Power,Tau 0.01,1.1137013875358073,-0.3469061022309808,0.0323848766547121,-0.8936353127345014,Mode 4,1.1211,-0.3373,0.01212504294703165
load03,g9,Reactive Power,Order 4,0.1356151135504369,-0.0976948640885864,0.0189084584457565,-0.9574901687878196,Mode 1,0.6062,-0.08,0.4709174487846694
load03,g9,Reactive Power,Order 6,0.5102197760330941,-0.2063475755630211,0.019203499667258,1.2483636035755648,Mode 1,0.6062,-0.08,0.15866919437430424
load03,g9,Reactive Power,Order 6,0.1121731221202025,-0.0823577465826474,0.0141798825903387,-0.1294097285660713,Mode 1,0.6062,-0.08,0.49403250402843774
load03,g9,Reactive Power,Tau 1,0.7640963033321253,-0.4693420902425133,0.0497806392770729,-1.068587866171358,Mode 3,1.0312,-0.2558,0.3419716495249067
load03,g9,Reactive Power,Tau 1,0.1649709461657852,-0.3694314023645259,0.0796312147911602,-1.7091625020960972,Mode 1,0.6062,-0.08,0.5276870423102432
load03,g9,Reactive Power,Tau 0.1,0.9770633088270372,-0.4200416581718892,0.0320714442189107,-2.4268186941152394,Mode 4,1.1211,-0.3373,0.16611065709667525
load03,g9,Reactive Power,Tau 0.1,0.6381710923549119,-0.3957710059259556,0.0393740450552221,-0.0051584366675554,Mode 1,0.6062,-0.08,0.3173853791998872
load03,g9,Reactive Power,Tau 0.1,0.1376308213581416,-0.3256498302049203,0.0994189268738274,-1.0208545969656972,Mode 1,0.6062,-0.08,0.529056626697759
load03,g9,Reactive Power,Tau 0.01,0.9817893328587396,-0.4462451621289559,0.0340828486988919,-2.499862509591797,Mode 4,1.1211,-0.3373,0.17685166193917298
load03,g9,Reactive Power,Tau 0.01,0.6341291089586137,-0.3531196987627756,0.0349509854356407,0.1357648474576016,Mode 1,0.6062,-0.08,0.27454399461560147
load03,g9,Reactive Power,Tau 0.01,0.1282858445198399,-0.2400509634743955,0.0661990641645618,-0.2140634135283418,Mode 1,0.6062,-0.08,0.5040022330480262
load03,g9,Reactive Power,Tau 0.01,0.4079148005299017,-0.6171330073034792,0.0128112545807889,0.8396561641317964,Mode 1,0.6062,-0.08,0.5725634356678535
load03,g10,Voltage,Order 2,0.1164953838545686,-0.2565090044875485,7.417944372802058e-05,-2.995314173705118,Mode 1,0.6062,-0.08,0.5205439844425538
load03,g10,Voltage,Order 4,0.645062882376537,-0.2894585091681225,4.658152671255531e-05,1.6104114430102925,Mode 1,0.6062,-0.08,0.21303330887338956
load03,g10,Voltage,Order 4,0.1184964479184051,-0.1855085760556883,5.332956704755295e-05,-3.0898727887541804,Mode 1,0.6062,-0.08,0.498985785703665
load03,g10,Voltage,Order 6,0.6474615264882504,-0.3154113373619885,5.041779676289491e-05,1.600837966274657,Mode 1,0.6062,-0.08,0.23900002369602508
load03,g10,Voltage,Order 6,0.1291336378964767,-0.1965281446913149,5.346493510041661e-05,2.9011199259673788,Mode 1,0.6062,-0.08,0.4910917657178646
load03,g10,Voltage,Tau 1,0.1164953838545686,-0.2565090044875485,7.417944372802058e-05,-2.995314173705118,Mode 1,0.6062,-0.08,0.5205439844425538
load03,g10,Voltage,Tau 0.1,0.6386805022235286,-0.3339281906371534,5.2367291428734486e-05,1.7703456439305012,Mode 1,0.6062,-0.08,0.25599708792279485
load03,g10,Voltage,Tau 0.1,0.9817784872747416,-0.4851158082316315,1.459245712334708e-05,-1.5721293272754693,Mode 4,1.1211,-0.3373,0.20312556971298515
load03,g10,Voltage,Tau 0.1,0.1283771711849727,-0.2004768438375872,5.493405346783503e-05,2.9305928594548174,Mode 1,0.6062,-0.08,0.4927771561647934
load03,g10,Voltage,Tau 0.01,0.6386805022235286,-0.3339281906371534,5.2367291428734486e-05,1.7703456439305012,Mode 1,0.6062,-0.08,0.25599708792279485
load03,g10,Voltage,Tau 0.01,0.9817784872747416,-0.4851158082316315,1.459245712334708e-05,-1.5721293272754693,Mode 4,1.1211,-0.3373,0.20312556971298515
load03,g10,Voltage,Tau 0.01,0.1283771711849727,-0.2004768438375872,5.493405346783503e-05,2.9305928594548174,Mode 1,0.6062,-0.08,0.4927771561647934
load03,g10,Current,Order 4,0.1599292353012754,-0.2068833307725752,0.0001699664253254,1.8786114399124056,Mode 1,0.6062,-0.08,0.46395794534928175
load03,g10,Current,Order 6,0.6911317151743611,-0.3849321468802346,0.0002414485515229,-1.5377109842810548,Mode 1,0.6062,-0.08,0.31653911360754106
load03,g10,Current,Tau 1,0.6844237296203582,-0.3259241820038083,0.0002094846927071,-1.5124939607564756,Mode 1,0.6062,-0.08,0.25806521495536966
load03,g10,Current,Tau 0.1,1.0980098647208951,-0.4460080762732896,0.0001446803465866,2.200685599510239,Mode 4,1.1211,-0.3373,0.1111332542232374
