k,Cluster,Frequency,Damping,Size
1,1,0.6376865128064559,-0.3364377852517544,55
2,1,0.6389879592700964,-0.3290371329242033,37
2,2,0.6329124793551152,-0.4503688960819105,18
3,1,1.0992013609126947,-0.2042250265803038,6
3,2,0.6387216681070799,-0.3305497439411888,31
3,3,0.6329124793551152,-0.4503688960819105,18
4,1,0.637944459807399,-0.3320418741593147,29
4,2,1.0992013609126947,-0.2042250265803038,6
4,3,0.973506472722553,-0.4375903250808517,11
4,4,0.24544068625255866,-0.3243949050889188,9
5,1,0.2311284341339146,-0.3076331640553797,6
5,2,1.0992013609126947,-0.2042250265803038,6
5,3,0.9826185405096164,-0.4391501844756277,7
5,4,0.6387216681070799,-0.3305497439411888,25
5,5,0.6329124793551152,-0.4503688960819105,11
6,1,0.10785971614517686,-0.4837324532869294,3
6,2,0.2311284341339146,-0.3076331640553797,6
6,3,1.0992013609126947,-0.2042250265803038,6
6,4,0.9826185405096164,-0.4391501844756277,7
6,5,0.6387216681070799,-0.3305497439411888,25
6,6,0.6343398659534799,-0.4311854541552294,8
7,1,0.10785971614517686,-0.4837324532869294,3
7,2,0.13566112601258795,-0.1697555970017406,2
7,3,0.2311284341339146,-0.3076331640553797,4
7,4,1.0992013609126947,-0.2042250265803038,6
7,5,0.9826185405096164,-0.4391501844756277,7
7,6,0.6387216681070799,-0.3305497439411888,25
7,7,0.6343398659534799,-0.4311854541552294,8
8,1,0.10785971614517686,-0.4837324532869294,3
8,2,0.13566112601258795,-0.1697555970017406,2
8,3,0.2311284341339146,-0.3076331640553797,4
8,4,1.0992013609126947,-0.2042250265803038,6
8,5,0.9826185405096164,-0.4391501844756277,7
8,6,0.6354066480940144,-0.3007288368216104,5
8,7,0.637894778902312,-0.3333284282175024,20
8,8,0.6343398659534799,-0.4311854541552294,8
9,1,0.10785971614517686,-0.4837324532869294,3
9,2,0.13566112601258795,-0.1697555970017406,2
9,3,0.2311284341339146,-0.3076331640553797,4
9,4,1.0992013609126947,-0.2042250265803038,6
9,5,0.9826185405096164,-0.4391501844756277,7
9,6,0.6354066480940144,-0.3007288368216104,5
9,7,0.6322473244794176,-0.4104468660080112,3
9,8,0.637894778902312,-0.3333284282175024,20
9,9,0.6329124793551152,-0.4503688960819105,5
10,1,0.10785971614517686,-0.4837324532869294,3
10,2,1.0980154686260328,-0.2967470680687749,1
10,3,0.13566112601258795,-0.1697555970017406,2
10,4,0.2311284341339146,-0.3076331640553797,4
10,5,1.0992013609126947,-0.2042250265803038,5
10,6,0.9826185405096164,-0.4391501844756277,7
10,7,0.6354066480940144,-0.3007288368216104,5
10,8,0.6322473244794176,-0.4104468660080112,3
10,9,0.637894778902312,-0.3333284282175024,20
10,10,0.6329124793551152,-0.4503688960819105,5
