Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase,Reference_Mode,Reference_Frequency,Reference_Damping,Distance_to_Reference
load03,g1,Voltage,Order 6,0.6401489696717929,-0.3286254211648256,2.114031698722008e-05,1.792014348585948,Mode 1,0.6062,-0.08,0.250932525972946
load03,g1,Voltage,Tau 0.1,0.6401489696717929,-0.3286254211648256,2.114031698722008e-05,1.792014348585948,Mode 1,0.6062,-0.08,0.250932525972946
load03,g1,Voltage,Tau 0.01,0.6401489696717929,-0.3286254211648256,2.114031698722008e-05,1.792014348585948,Mode 1,0.6062,-0.08,0.250932525972946
load03,g1,Current,Order 4,0.2905022574140902,-0.2066681833859106,5.165969280193729e-05,-2.4614267473547544,Mode 1,0.6062,-0.08,0.3401615694873923
load03,g1,Current,Order 6,0.6387129254917876,-0.3429834536991948,0.0001725661653275,2.0365560180329223,Mode 1,0.6062,-0.08,0.2649856359193665
load03,g1,Current,Tau 0.1,0.6387129254917876,-0.3429834536991948,0.0001725661653275,2.0365560180329223,Mode 1,0.6062,-0.08,0.2649856359193665
load03,g1,Current,Tau 0.01,0.6387129254917876,-0.3429834536991948,0.0001725661653275,2.0365560180329223,Mode 1,0.6062,-0.08,0.2649856359193665
load03,g1,Active Power,Order 4,0.2863453617331074,-0.20562321840774,0.5460490250132425,-2.444237494254052,Mode 1,0.6062,-0.08,0.34363961154669503
load03,g1,Active Power,Order 6,0.6387757309179961,-0.3424512254663786,1.834153549528328,2.031493299098149,Mode 1,0.6062,-0.08,0.2644651659361693
load03,g1,Active Power,Tau 0.1,0.6387757309179961,-0.3424512254663786,1.834153549528328,2.031493299098149,Mode 1,0.6062,-0.08,0.2644651659361693
load03,g1,Active Power,Tau 0.01,0.6387757309179961,-0.3424512254663786,1.834153549528328,2.031493299098149,Mode 1,0.6062,-0.08,0.2644651659361693
load03,g1,Reactive Power,Order 4,0.6095917539525181,-0.4548276725344224,0.4597548728982135,-1.0344003461000906,Mode 1,0.6062,-0.08,0.3748430179321026
load03,g1,Reactive Power,Order 6,0.6415236217421546,-0.3210014791051901,0.3434030337029286,-1.2268587260766182,Mode 1,0.6062,-0.08,0.24357641754462234
load03,g1,Reactive Power,Tau 1,0.6415236217421546,-0.3210014791051901,0.3434030337029286,-1.2268587260766182,Mode 1,0.6062,-0.08,0.24357641754462234
load03,g1,Reactive Power,Tau 0.1,0.6412057123036241,-0.3295432434383669,0.3537979439656474,-1.2187388928911056,Mode 1,0.6062,-0.08,0.2519865675777662
load03,g1,Reactive Power,Tau 0.1,0.1366119980930502,-0.2069936417552469,0.0526482103042538,-0.3176712517383085,Mode 1,0.6062,-0.08,0.4864568599384959
load03,g1,Reactive Power,Tau 0.01,0.6388119274530218,-0.329783735761675,0.3518433770299836,-1.16833803710746,Mode 1,0.6062,-0.08,0.25190365710576623
load03,g1,Reactive Power,Tau 0.01,0.9758712377804546,-0.4634255277485966,0.0285845980575538,2.003934531429749,Mode 4,1.1211,-0.3373,0.19235135072487342
load03,g1,Reactive Power,Tau 0.01,0.1367157747784141,-0.1754046485653999,0.0401773179951083,-0.2740391992756172,Mode 1,0.6062,-0.08,0.47907983123880327
load03,g8,Voltage,Order 6,0.6474074845972303,-0.2890897878616081,4.7030358859179327e-05,1.4791672604705144,Mode 1,0.6062,-0.08,0.2131116988221042
load03,g8,Voltage,Tau 0.1,0.6474074845972303,-0.2890897878616081,4.7030358859179327e-05,1.4791672604705144,Mode 1,0.6062,-0.08,0.2131116988221042
load03,g8,Voltage,Tau 0.01,0.6398035133242077,-0.3252138899919972,5.140372260454565e-05,1.6869213248007084,Mode 1,0.6062,-0.08,0.2475056523652288
load03,g8,Voltage,Tau 0.01,0.973281035302804,-0.4918384432147903,1.7326201752849995e-05,-1.489636833899606,Mode 4,1.1211,-0.3373,0.21385176350781365
load03,g8,Voltage,Tau 0.01,0.1345912612881357,-0.1743226407667199,2.0248645099787885e-05,2.790458743243048,Mode 1,0.6062,-0.08,0.4809486074318161
load03,g8,Current,Order 4,0.1705098978373841,-0.1742170893593719,5.400703622119694e-05,1.4484257605847042,Mode 1,0.6062,-0.08,0.4457608383985997
load03,g8,Current,Order 6,0.673587045247426,-0.2327852679331811,0.0001161745704909,-1.6002337379344818,Mode 1,0.6062,-0.08,0.1669860831464484
load03,g8,Current,Tau 0.1,0.64286501450475,-0.3704922737511906,0.0001849373982594,-1.1445574860476877,Mode 1,0.6062,-0.08,0.2927970020300245
load03,g8,Current,Tau 0.1,1.1499178690478535,-0.5525499986115369,8.764790084734904e-05,0.912880000235072,Mode 4,1.1211,-0.3373,0.21717051245214175
load03,g8,Current,Tau 0.01,0.6429076570657395,-0.3598573981292952,0.0001795195396593,-1.1374827431840044,Mode 1,0.6062,-0.08,0.28225452232861525
