Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g1,Active Power,Mode 1,0.6062,-0.08,4,0.2644651659361693,0.2842587773388007,0.34363961154669503
g1,Current,Mode 1,0.6062,-0.08,4,0.2649856359193665,0.28377961931137297,0.3401615694873923
g1,Reactive Power,Mode 1,0.6062,-0.08,7,0.2519865675777662,0.33306039555459704,0.4864568599384959
g1,Reactive Power,Mode 4,1.1211,-0.3373,1,0.19235135072487342,0.19235135072487342,0.19235135072487342
g1,Voltage,Mode 1,0.6062,-0.08,3,0.250932525972946,0.250932525972946,0.250932525972946
g10,Active Power,Mode 3,1.0312,-0.2558,1,0.24429886926279876,0.24429886926279876,0.24429886926279876
g10,Current,Mode 1,0.6062,-0.08,7,0.31653911360767006,0.36561318609084575,0.4991040031044881
g10,Current,Mode 4,1.1211,-0.3373,2,0.11350016390712833,0.11350016390712833,0.11586707359095945
g10,Reactive Power,Mode 1,0.6062,-0.08,7,0.46720658994517955,0.385942357727528,0.5009946630701908
g10,Reactive Power,Mode 4,1.1211,-0.3373,1,0.19601559506787994,0.19601559506787994,0.19601559506787994
g10,Voltage,Mode 1,0.6062,-0.08,10,0.49193446094130255,0.39807473410508215,0.5205439844426807
g10,Voltage,Mode 4,1.1211,-0.3373,2,0.20312556971309997,0.20312556971309997,0.20312556971309997
g8,Active Power,Mode 1,0.6062,-0.08,4,0.25737090253026296,0.23657703828743215,0.2663896152146981
g8,Active Power,Mode 4,1.1211,-0.3373,1,0.3297648771698991,0.3297648771698991,0.3297648771698991
g8,Active Power,Mode 7,1.4953,-0.7033,1,0.2770531274951351,0.2770531274951351,0.2770531274951351
g8,Current,Mode 1,0.6062,-0.08,5,0.2927970020300245,0.33768191186742536,0.5006111134334391
g8,Current,Mode 4,1.1211,-0.3373,2,0.2181473725564479,0.2181473725564479,0.21912423266075404
g8,Reactive Power,Mode 1,0.6062,-0.08,3,0.25938887819633544,0.3458803563553559,0.5386381020249782
g8,Reactive Power,Mode 4,1.1211,-0.3373,1,0.15790349859023783,0.15790349859023783,0.15790349859023783
g8,Voltage,Mode 1,0.6062,-0.08,4,0.23030867559366652,0.28866941436031335,0.4809486074318161
g8,Voltage,Mode 4,1.1211,-0.3373,1,0.21385176350781365,0.21385176350781365,0.21385176350781365
g9,Active Power,Mode 1,0.6062,-0.08,3,0.2811106552629784,0.4042782971524019,0.6717580118265704
g9,Active Power,Mode 2,0.9497,-0.1065,1,0.20953710389979824,0.20953710389979824,0.20953710389979824
g9,Active Power,Mode 3,1.0312,-0.2558,1,0.18993260324230615,0.18993260324230615,0.18993260324230615
g9,Active Power,Mode 4,1.1211,-0.3373,3,0.1777418373836447,0.14118069077829917,0.2336751920038994
g9,Current,Mode 1,0.6062,-0.08,4,0.2582511446261315,0.3295055819646155,0.5825708407732207
g9,Current,Mode 3,1.0312,-0.2558,1,0.2165008452161728,0.2165008452161728,0.2165008452161728
g9,Current,Mode 4,1.1211,-0.3373,3,0.1814989333159925,0.1731914938004682,0.25189031406609286
g9,Reactive Power,Mode 1,0.6062,-0.08,9,0.49403250402838267,0.42765087319190254,0.5725634356680043
g9,Reactive Power,Mode 3,1.0312,-0.2558,1,0.34197164952488435,0.34197164952488435,0.34197164952488435
g9,Reactive Power,Mode 4,1.1211,-0.3373,2,0.1714811595178485,0.1714811595178485,0.1768516619390186
g9,Voltage,Mode 1,0.6062,-0.08,10,0.32157141830466307,0.4155815149922815,0.7679931170523
g9,Voltage,Mode 3,1.0312,-0.2558,1,0.2498934739935034,0.2498934739935034,0.2498934739935034
g9,Voltage,Mode 4,1.1211,-0.3373,4,0.17776030271357038,0.15404642375185207,0.23717837241191267
