Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,2,0.3715602110848422,0.3715602110848422,0.5205439844426807
Order 4,Mode 1,0.6062,-0.08,11,0.3748430179321026,0.3816252529378797,0.4989857857040165
Order 4,Mode 2,0.9497,-0.1065,1,0.20953710389979824,0.20953710389979824,0.20953710389979824
Order 4,Mode 3,1.0312,-0.2558,1,0.2498934739935034,0.2498934739935034,0.2498934739935034
Order 6,Mode 1,0.6062,-0.08,19,0.2644651659361693,0.3333450657573588,0.6717580118265704
Order 6,Mode 3,1.0312,-0.2558,3,0.2165008452161728,0.21691077257375924,0.24429886926279876
Order 6,Mode 4,1.1211,-0.3373,1,0.17288378499725685,0.17288378499725685,0.17288378499725685
Tau 0.01,Mode 1,0.6062,-0.08,26,0.2704668049151443,0.3728461631806344,0.7516834875843768
Tau 0.01,Mode 4,1.1211,-0.3373,15,0.19601559506787994,0.17662643303876457,0.3297648771698991
Tau 0.01,Mode 7,1.4953,-0.7033,1,0.2770531274951351,0.2770531274951351,0.2770531274951351
Tau 0.1,Mode 1,0.6062,-0.08,20,0.2674306782794499,0.3481101026029083,0.7679931170523
Tau 0.1,Mode 4,1.1211,-0.3373,7,0.1814989333159925,0.17705965494496262,0.21717051245214175
Tau 1,Mode 1,0.6062,-0.08,6,0.2577180587428006,0.33830333325168227,0.5276870423101856
Tau 1,Mode 3,1.0312,-0.2558,1,0.34197164952488435,0.34197164952488435,0.34197164952488435
