Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
load03,g1,Voltage,Order 6,0.6401489696717929,-0.3286254211648256,2.114031698722008e-05,1.792014348585948
load03,g1,Voltage,Tau 0.1,0.6401489696717929,-0.3286254211648256,2.114031698722008e-05,1.792014348585948
load03,g1,Voltage,Tau 0.01,0.6401489696717929,-0.3286254211648256,2.114031698722008e-05,1.792014348585948
load03,g1,Current,Order 4,0.2905022574140902,-0.2066681833859106,5.165969280193729e-05,-2.4614267473547544
load03,g1,Current,Order 6,0.6387129254917876,-0.3429834536991948,0.0001725661653275,2.0365560180329223
load03,g1,Current,Tau 0.1,0.6387129254917876,-0.3429834536991948,0.0001725661653275,2.0365560180329223
load03,g1,Current,Tau 0.01,0.6387129254917876,-0.3429834536991948,0.0001725661653275,2.0365560180329223
load03,g1,Active Power,Order 4,0.2863453617331074,-0.20562321840774,0.5460490250132425,-2.444237494254052
load03,g1,Active Power,Order 6,0.6387757309179961,-0.3424512254663786,1.834153549528328,2.031493299098149
load03,g1,Active Power,Tau 0.1,0.6387757309179961,-0.3424512254663786,1.834153549528328,2.031493299098149
load03,g1,Active Power,Tau 0.01,0.6387757309179961,-0.3424512254663786,1.834153549528328,2.031493299098149
load03,g1,Reactive Power,Order 4,0.6095917539525181,-0.4548276725344224,0.4597548728982135,-1.0344003461000906
load03,g1,Reactive Power,Order 6,0.6415236217421546,-0.3210014791051901,0.3434030337029286,-1.2268587260766182
load03,g1,Reactive Power,Tau 1,0.6415236217421546,-0.3210014791051901,0.3434030337029286,-1.2268587260766182
load03,g1,Reactive Power,Tau 0.1,0.6412057123036241,-0.3295432434383669,0.3537979439656474,-1.2187388928911056
load03,g1,Reactive Power,Tau 0.1,0.1366119980930502,-0.2069936417552469,0.0526482103042538,-0.3176712517383085
load03,g1,Reactive Power,Tau 0.01,0.6388119274530218,-0.329783735761675,0.3518433770299836,-1.16833803710746
load03,g1,Reactive Power,Tau 0.01,0.9758712377804546,-0.4634255277485966,0.0285845980575538,2.003934531429749
