k,Cluster,Frequency,Damping,Size
1,1,0.6091702974260566,-0.4145208337041363,112
2,1,0.9614661577336774,-0.698128933631246,20
2,2,0.5325842408374434,-0.35286689893737333,92
3,1,0.9969361571709399,-0.6937287708569071,19
3,2,0.6215372729064855,-0.3474971189670192,75
3,3,0.14833282541578152,-0.39906682255864384,18
4,1,0.9969361571709399,-0.6937287708569071,19
4,2,0.6253693947032825,-0.3521814805276096,74
4,3,0.14144680618025834,-0.574000813883291,8
4,4,0.1705796970895916,-0.23564096895205358,11
5,1,0.6253693947032825,-0.3521814805276096,74
5,2,0.989224607157358,-0.7193013936909318,17
5,3,0.14144680618025834,-0.574000813883291,8
5,4,0.1705796970895916,-0.23564096895205358,11
5,5,1.062484332286385,-0.4763614767676967,2
6,1,0.14144680618025834,-0.574000813883291,8
6,2,0.6253845202959353,-0.33221584595786086,55
6,3,0.989224607157358,-0.7193013936909318,17
6,4,0.1705796970895916,-0.23564096895205358,11
6,5,1.062484332286385,-0.4763614767676967,2
6,6,0.6253256100929718,-0.40997673849267174,19
7,1,0.6253256100929718,-0.40997673849267174,19
7,2,0.989224607157358,-0.7193013936909318,17
7,3,0.1596088826545412,-0.2756206144700598,9
7,4,0.2199483620473187,-0.055732564121025396,2
7,5,0.14144680618025834,-0.574000813883291,8
7,6,0.6253845202959353,-0.33221584595786086,55
7,7,1.062484332286385,-0.4763614767676967,2
8,1,0.6253845202959353,-0.33221584595786086,55
8,2,0.989224607157358,-0.7193013936909318,17
8,3,0.18250800663846556,-0.3291693361341129,5
8,4,0.12057689728805382,-0.5443249263889492,7
8,5,0.1606394391321967,-0.15770066296700413,6
8,6,1.062484332286385,-0.4763614767676967,2
8,7,0.2875361684256906,-0.7817320263436832,1
8,8,0.6253256100929718,-0.40997673849267174,19
9,1,0.6253845202959353,-0.33221584595786086,55
9,2,0.989224607157358,-0.7193013936909318,17
9,3,0.18250800663846556,-0.3291693361341129,5
9,4,0.12057689728805382,-0.5443249263889492,7
9,5,0.12517527496993403,-0.18906992286373922,5
9,6,0.6253256100929718,-0.40997673849267174,19
9,7,1.062484332286385,-0.4763614767676967,2
9,8,0.2875361684256906,-0.7817320263436832,1
9,9,0.33796025994351,-0.000854363483328624,1
10,1,0.6329473343802331,-0.3363998153946648,53
10,2,0.989224607157358,-0.7193013936909318,17
10,3,0.1457612207389598,-0.33345949082260185,4
10,4,0.12057689728805382,-0.5443249263889492,7
10,5,0.33796025994351,-0.000854363483328624,1
10,6,0.6249904362743474,-0.4120294229462001,18
10,7,1.062484332286385,-0.4763614767676967,2
10,8,0.2875361684256906,-0.7817320263436832,1
10,9,0.12517527496993403,-0.18906992286373922,5
10,10,0.4526984457971966,-0.2819296118686081,4
