k,Cluster,Frequency,Damping,Size
1,1,0.6363152985826634,-0.3426376380411092,112
2,1,0.9801035459498624,-0.7146536427719127,20
2,2,0.6334896132753554,-0.3368973492875247,92
3,1,0.637936043617809,-0.3357147366627844,75
3,2,0.1341508305814051,-0.3741312843397115,18
3,3,0.9945721263889388,-0.7084579698428706,19
4,1,0.1242332557506785,-0.5729178157767593,8
4,2,0.637936043617809,-0.3357147366627844,74
4,3,0.13360940402024024,-0.21997028127654708,11
4,4,0.9945721263889388,-0.7084579698428706,19
5,1,0.6387009155505831,-0.3342965124980103,55
5,2,0.1242332557506785,-0.5729178157767593,8
5,3,0.13360940402024024,-0.21997028127654708,11
5,4,0.6312103937976368,-0.4095270446486303,19
5,5,0.9945721263889388,-0.7084579698428706,19
6,1,0.6387009155505831,-0.3342965124980103,55
6,2,0.9801035459498624,-0.7146536427719127,17
6,3,0.1242332557506785,-0.5729178157767593,8
6,4,1.1156669856229031,-0.4818038151414407,2
6,5,0.13360940402024024,-0.21997028127654708,11
6,6,0.6312103937976368,-0.4095270446486303,19
7,1,0.6387009155505831,-0.3342965124980103,55
7,2,0.9801035459498624,-0.7146536427719127,17
7,3,0.2150792325184691,-0.3439742982340487,4
7,4,0.1242332557506785,-0.5729178157767593,8
7,5,1.1156669856229031,-0.4818038151414407,2
7,6,0.6312103937976368,-0.4095270446486303,19
7,7,0.13379214745188484,-0.2194684350241613,7
8,1,0.6387009155505831,-0.3342965124980103,55
8,2,0.9801035459498624,-0.7146536427719127,17
8,3,0.2150792325184691,-0.3439742982340487,4
8,4,0.1242332557506785,-0.5729178157767593,8
8,5,1.1156669856229031,-0.4818038151414407,2
8,6,0.33796025994351,-0.000854363483328624,1
8,7,0.6312103937976368,-0.4095270446486303,19
8,8,0.13379214745188484,-0.2194684350241613,6
9,1,0.6387009155505831,-0.3342965124980103,55
9,2,0.9801035459498624,-0.7146536427719127,17
9,3,0.2150792325184691,-0.3439742982340487,4
9,4,0.1242332557506785,-0.5729178157767593,7
9,5,1.1156669856229031,-0.4818038151414407,2
9,6,0.2875361684256906,-0.7817320263436832,1
9,7,0.33796025994351,-0.000854363483328624,1
9,8,0.6312103937976368,-0.4095270446486303,19
9,9,0.13379214745188484,-0.2194684350241613,6
10,1,0.4574563502988653,-0.3024618119861928,4
10,2,0.6387009155505831,-0.3342965124980103,49
10,3,0.9801035459498624,-0.7146536427719127,17
10,4,0.6276123627966058,-0.3884970066293581,12
10,5,0.1242332557506785,-0.5729178157767593,8
10,6,1.1156669856229031,-0.4818038151414407,2
10,7,0.33796025994351,-0.000854363483328624,1
10,8,0.10770035326214844,-0.3312078866692132,4
10,9,0.6282959485051772,-0.4281329859891563,10
10,10,0.13379214745188484,-0.2194684350241613,5
