Gen,Signal,Method,R2,RMSE,Poles
g1,Voltage,Order 2,0.9693855737096064,7.2892997306124865e-06,1
g1,Voltage,Order 4,0.9838874699246785,5.288160359706802e-06,2
g1,Voltage,Order 6,0.9998240108791199,5.526697020931827e-07,3
g1,Voltage,Tau 1,0.968534447126185,7.389931782221442e-06,1
g1,Voltage,Tau 0.1,0.9998240108791199,5.526697020931827e-07,3
g1,Voltage,Tau 0.01,0.9998240108791199,5.526697020931827e-07,3
g1,Current,Order 2,0.7742581226053441,4.9516725558774464e-05,1
g1,Current,Order 4,0.793350068656619,4.7376555724783535e-05,2
g1,Current,Order 6,0.9996949423685259,1.8202741374797345e-06,3
g1,Current,Tau 1,0.7742581226053441,4.9516725558774464e-05,1
g1,Current,Tau 0.1,0.9996949423685259,1.8202741374797345e-06,3
g1,Current,Tau 0.01,0.9996949423685259,1.8202741374797345e-06,3
g1,Active Power,Order 2,0.7766458211902311,0.526258380837746,1
g1,Active Power,Order 4,0.7949123841999103,0.5042799512969431,2
g1,Active Power,Order 6,0.9997223982858221,0.018552953488830994,3
g1,Active Power,Tau 1,0.7766458211902311,0.526258380837746,1
g1,Active Power,Tau 0.1,0.9997223982858221,0.018552953488830994,3
g1,Active Power,Tau 0.01,0.9997223982858221,0.018552953488830994,3
g1,Reactive Power,Order 2,0.3794387517602722,0.09943778801147807,1
g1,Reactive Power,Order 4,0.805809192473072,0.055625440441311846,2
g1,Reactive Power,Order 6,0.9927430042757235,0.010753196016293737,3
g1,Reactive Power,Tau 1,0.9927430042757235,0.010753196016293737,3
g1,Reactive Power,Tau 0.1,0.9983352616721349,0.005150295151447162,4
g1,Reactive Power,Tau 0.01,0.9998204445407849,0.001691447162665186,5
g2,Voltage,Order 4,0.6811497594595566,1.4314719165544545e-05,1
g2,Voltage,Order 6,0.9974292772313007,1.285337208188731e-06,3
g2,Voltage,Tau 1,0.9974292772313007,1.285337208188731e-06,3
g2,Voltage,Tau 0.1,0.9974292772313007,1.285337208188731e-06,3
g2,Voltage,Tau 0.01,0.9280622980414005,6.799355331729284e-06,5
g2,Current,Order 2,0.7921587515766827,7.863988447338782e-05,1
g2,Current,Order 4,0.8177708942587629,7.363526728905635e-05,2
g2,Current,Order 6,0.9869220053660818,1.9726388090816513e-05,3
g2,Current,Tau 1,0.7921587515766827,7.863988447338782e-05,1
g2,Current,Tau 0.1,-1.0386485895126905,0.00024629079531854526,3
g2,Current,Tau 0.01,-1.0522681647743202,0.00024711212183148204,4
g2,Active Power,Order 2,0.8093755131563185,0.04337277526179405,1
g2,Active Power,Order 4,0.8347786663842491,0.040379499331761375,2
g2,Active Power,Order 6,0.9795702448621295,0.014199055241865762,3
g2,Active Power,Tau 1,0.8093755131563185,0.04337277526179405,1
g2,Active Power,Tau 0.1,0.8837673422688274,0.033868187254923576,2
g2,Active Power,Tau 0.01,-1.3309691178969971,0.1516687571687808,4
g2,Reactive Power,Order 2,0.9251908524201262,0.024674357829716116,1
g2,Reactive Power,Order 4,0.9898273218628848,0.009098842706768294,2
g2,Reactive Power,Order 6,0.9990788887271302,0.0027379439564854226,3
g2,Reactive Power,Tau 1,0.9898273218628848,0.009098842706768294,2
g2,Reactive Power,Tau 0.1,0.9990788887271302,0.0027379439564854226,3
g2,Reactive Power,Tau 0.01,0.023148507620206704,0.08916261100332669,2
