Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
load03,g2,Voltage,Order 2,0.6025738669046604,-0.26202532404617335,4.103323360293231e-05,-2.2116206610309983
load03,g2,Voltage,Order 4,0.6462542968196451,-0.4384647299737843,6.951080896164372e-05,-2.399205645528524
load03,g2,Voltage,Order 4,1.7730250781523807e-17,-0.6876585853156102,0.00011342931878145218,3.1415926535897825
load03,g2,Voltage,Order 4,2.3403280088137962e-20,-0.07271110768713873,1.3998891127489085e-05,-6.837307481575067e-15
load03,g2,Voltage,Order 6,0.6596118200458811,-0.2633196673873909,5.105774892915913e-05,-2.6573271143692225
load03,g2,Voltage,Order 6,0.09768654915084701,-0.48730644991622507,4.157689382920885e-05,2.4711158298698517
load03,g2,Voltage,Order 6,0.010701676757331215,0.01724371163873868,2.068686149128646e-06,-0.770461616510182
load03,g2,Voltage,Tau 1,0.6025738669046604,-0.26202532404617335,4.103323360293231e-05,-2.2116206610309983
load03,g2,Voltage,Tau 0.1,0.6271355839468546,-0.38694572926804877,6.673897754199716e-05,-2.304428506666362
load03,g2,Voltage,Tau 0.1,0.13869596560795952,-0.14502924112591162,5.2047508897518304e-06,-2.271989933484905
load03,g2,Voltage,Tau 0.1,0.09358902116950438,-0.3953789270160489,4.393266346571534e-05,2.64843471221042
load03,g2,Voltage,Tau 0.1,0.011071376892861208,0.019894864179975706,1.804465649404373e-06,-0.8791942883802202
load03,g2,Voltage,Tau 0.01,1.0933467985328154,-0.20242084262312313,3.4091864336603254e-06,-0.03887254117492282
load03,g2,Voltage,Tau 0.01,0.9696424806820603,-0.3927048548948869,8.093899127058365e-06,-1.6803077618629474
load03,g2,Voltage,Tau 0.01,0.651272232196757,-0.4121415135781832,6.967150124689477e-05,-2.546132796836639
load03,g2,Voltage,Tau 0.01,0.1496605313071676,-0.18053241756135233,1.0690559239052876e-05,2.725948647647846
load03,g2,Voltage,Tau 0.01,0.09232655298398425,-0.14045497437284124,8.28666278682524e-06,2.609981724871295
load03,g2,Voltage,Tau 0.01,3.000392669556015e-15,-0.43638996262872903,4.6545997730650135e-05,-3.141592653589675
load03,g2,Voltage,Tau 0.01,0.006466045090311291,0.009882975260462577,3.6394970060666018e-06,0.18375386914961356
load03,g2,Current,Order 2,0.004163212728081235,-0.1482205397317604,0.0029371191189123814,-1.7117857818197435
load03,g2,Current,Order 4,0.012820507803885377,-0.04999062616221318,0.00022903277761834965,-1.448973694790138
