Gen,Signal,Method,R2,RMSE,Poles
g2,Voltage,Order 2,0.5403882094019302,9.439562954181466e-06,1
g2,Voltage,Order 4,0.34934334940887235,1.1231357290162532e-05,2
g2,Voltage,Order 6,0.8218891788724003,5.8762661728870905e-06,3
g2,Voltage,Tau 1,0.8218891788724003,5.8762661728870905e-06,3
g2,Voltage,Tau 0.1,0.8218891788724003,5.8762661728870905e-06,3
g2,Voltage,Tau 0.01,0.9296318766254492,3.6935526248158187e-06,6
g2,Current,Order 2,0.8262000163781024,4.894313243280344e-05,1
g2,Current,Order 4,0.8684493284252166,4.258076214877715e-05,2
g2,Current,Order 6,0.6864368931729745,6.573995087652913e-05,3
g2,Current,Tau 1,0.8654387734717394,4.306523925449244e-05,2
g2,Current,Tau 0.1,-18.1547224356641,0.0005138126914600141,2
g2,Current,Tau 0.01,-18.1547224356641,0.0005138126914600141,2
g2,Reactive Power,Order 2,0.93372479099381,0.014677829158386346,1
g2,Reactive Power,Order 4,0.9771834812292594,0.008612137732128594,2
g2,Reactive Power,Order 6,-0.9676666479992178,0.07997643433003476,4
g2,Reactive Power,Tau 1,-12.872324715031555,0.21235422123062664,1
g2,Reactive Power,Tau 0.1,-0.4211798677359795,0.06796898723326492,2
g2,Reactive Power,Tau 0.01,-0.4211798677359795,0.06796898723326492,2
g3,Voltage,Order 2,0.8464740079471693,4.5467931953276885e-06,1
g3,Voltage,Order 4,0.9675417637718234,2.0906277153312706e-06,2
g3,Voltage,Order 6,0.9742736555067286,1.8612438921847648e-06,3
g3,Voltage,Tau 1,0.9675417637718234,2.0906277153312706e-06,2
g3,Voltage,Tau 0.1,0.9675417637718234,2.0906277153312706e-06,2
g3,Voltage,Tau 0.01,0.9976603016992446,5.612988791652327e-07,7
g3,Current,Order 2,0.806937470364365,4.670093399435396e-05,1
g3,Current,Order 4,0.8451195257199601,4.182875179853308e-05,2
g3,Current,Order 6,-5.73778375033298,0.0002758894568881545,3
g3,Current,Tau 1,0.806937470364365,4.670093399435396e-05,1
g3,Current,Tau 0.1,0.8644309317865881,3.913423744194257e-05,2
g3,Current,Tau 0.01,0.9994115961215401,2.578186520860372e-06,4
g3,Reactive Power,Order 2,-6.661338147750939e-15,0.028827100346271478,2
g3,Reactive Power,Order 4,0.8440076327545984,0.011385513805278495,2
g3,Reactive Power,Order 6,0.950219774975461,0.006431753441894008,3
