Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
load03,g2,Voltage,Order 2,0.6181392675341321,-0.31128781360943797,2.898972901483544e-05,0.42232964533577094
load03,g2,Voltage,Order 4,0.611923986808102,-0.4827758388220812,3.615979008666914e-05,0.4680448288440816
load03,g2,Voltage,Order 4,0.018879945359066223,0.010422689836765727,7.158990904945368e-07,-2.6281202309476472
load03,g2,Voltage,Order 6,0.637494523002905,-0.36726958632134943,3.120435549402195e-05,0.13440536736676562
load03,g2,Voltage,Order 6,0.12563416446495096,-0.4393628846305118,1.1455144258734932e-05,-2.590715101609249
load03,g2,Voltage,Order 6,0.02089610510523213,0.002805060258904214,9.275657762867667e-07,-3.0135140621567063
load03,g2,Voltage,Tau 1,0.6181392675341321,-0.31128781360943797,2.898972901483544e-05,0.42232964533577094
load03,g2,Voltage,Tau 0.1,0.6181392675341321,-0.31128781360943797,2.898972901483544e-05,0.42232964533577094
load03,g2,Voltage,Tau 0.01,1.0559487842757511,-0.2171895039721528,1.9879047560775454e-06,-2.2965268441881683
load03,g2,Voltage,Tau 0.01,0.6316234636963124,-0.26190465279520747,2.599807406893667e-05,0.189705693297352
load03,g2,Voltage,Tau 0.01,0.5044811641703301,0.026648753043064796,4.820539623165885e-08,0.5499204370970967
load03,g2,Voltage,Tau 0.01,0.14456085850763645,-0.23440690660306865,8.144357642978546e-06,-1.5886671779942592
load03,g2,Voltage,Tau 0.01,0.09785577368537993,-0.18233021741192434,7.0591063752999266e-06,-2.9771679463158485
load03,g2,Voltage,Tau 0.01,4.899639864496229e-15,-0.18250805274749315,8.97685171803558e-06,3.1415926535897887
load03,g2,Voltage,Tau 0.01,0.009321062255144324,0.03062736884403967,6.205011287468167e-07,-0.5213638393185227
load03,g2,Current,Order 2,0.022136220731856174,-0.1529342782717958,0.00035851737898942804,-2.2439380398441844
load03,g2,Current,Order 4,4.468326807239309e-16,-1.1454345811384434,0.0004959565062440893,3.1415926535896546
load03,g2,Current,Order 4,0.03368370904557594,-0.04926816974199589,6.749404926102785e-05,-3.0040633078638304
load03,g2,Current,Order 6,0.6418812075976928,-0.40774591803903865,0.00011803500578140106,-2.7774473379273226
load03,g2,Current,Order 6,0.01649384001005445,-0.1105892830035181,0.0002759580870468307,-1.8647157297809422
load03,g2,Current,Order 6,7.161375074377216e-16,0.012571628802612877,1.2815064041306714e-05,-3.1415926535896253
load03,g2,Current,Tau 1,0.004834157297840005,-0.1265176078915694,0.0019412934969674043,-1.6089120169408417
load03,g2,Current,Tau 0.1,0.6416295666789337,-0.4029986408767316,0.00011746482291167335,-2.7493696634279163
load03,g2,Current,Tau 0.1,0.005601798329163718,-0.025917628054574815,0.00013648489308835384,0.534858969291395
load03,g2,Current,Tau 0.01,1.0377049638651274,-0.2623649805151585,2.138235631734792e-05,1.5006992697389752
load03,g2,Current,Tau 0.01,0.8625782001517405,-0.49965164820214913,1.5450880093016534e-05,-2.4465178890190233
load03,g2,Current,Tau 0.01,0.6386322305025054,-0.3561566377298588,0.00010266154979041858,-2.78034079787051
load03,g2,Current,Tau 0.01,3.0147473347583806e-14,-0.050497913347016116,0.0009353094275055977,1.0495549938280089e-11
load03,g2,Reactive Power,Order 2,0.030192639080682634,-0.1467118102165324,0.12281394066996804,-2.4388400968079385
load03,g2,Reactive Power,Order 4,2.319239047861173e-15,-0.18797860470653852,0.1798583350827877,-4.3001885295677867e-13
load03,g2,Reactive Power,Order 4,0.016103610967589072,-0.007921881745512322,0.010029792830613386,-1.2972650735190534
load03,g2,Reactive Power,Order 6,0.6091855724799348,-0.31677845125357057,0.018519999360274954,-1.830571477695149
load03,g2,Reactive Power,Order 6,3.076066262425982e-17,-0.6260011034290269,0.3149583584315932,-3.1415926535896634
load03,g2,Reactive Power,Order 6,0.009824961971624946,-0.04930686640878543,0.03178623947472109,-1.0703246947422336
load03,g2,Reactive Power,Tau 1,8.872107615968775e-16,-0.42055225712377214,0.29585952595624526,-3.1415926535896856
load03,g2,Reactive Power,Tau 1,0.008595423823331684,-0.020109032402422546,0.02884217877786269,5.4352908231474556e-05
load03,g2,Reactive Power,Tau 0.1,8.872107615968775e-16,-0.42055225712377214,0.29585952595624526,-3.1415926535896856
load03,g2,Reactive Power,Tau 0.1,0.008595423823331684,-0.020109032402422546,0.02884217877786269,5.4352908231474556e-05
load03,g2,Reactive Power,Tau 0.01,8.872107615968775e-16,-0.42055225712377214,0.29585952595624526,-3.1415926535896856
load03,g2,Reactive Power,Tau 0.01,0.008595423823331684,-0.020109032402422546,0.02884217877786269,5.4352908231474556e-05
load03,g3,Voltage,Order 2,0.6439756120329806,-0.4919461054916441,3.577583467901097e-05,-0.005355938583700549
load03,g3,Voltage,Order 4,0.6133962332803895,-0.13771630673529253,1.676157684631509e-05,0.4007820409871761
load03,g3,Voltage,Order 4,0.03733070163296854,-0.1279454448469012,1.0615527544318855e-05,0.728396421665303
load03,g3,Voltage,Order 6,0.6408350022231,-0.4834279746399287,3.625724124291436e-05,0.07481655731177257
load03,g3,Voltage,Order 6,0.11599836873652668,-0.299922008506774,1.0562423115203405e-05,-1.1461803633483745
