k,Cluster,Frequency,Damping,Size
1,1,0.6361833983880109,-0.3427641701157691,274
2,1,0.633395832567509,-0.332363753554048,221
2,2,0.9899120186803612,-0.5339553201423022,53
3,1,0.637278540814505,-0.3309915175275658,171
3,2,0.1481861303245227,-0.2979873922747273,50
3,3,0.9899120186803612,-0.5339553201423022,53
4,1,0.637278540814505,-0.3309915175275658,172
4,2,0.16574923772314898,-0.7224141131878816,19
4,3,0.9790732951900084,-0.4933429948465447,49
4,4,0.13140398518364804,-0.2269596601149785,34
5,1,1.0141891737021609,-0.6590069700258362,22
5,2,0.990872282503555,-0.4207757322444104,29
5,3,0.16574923772314898,-0.7224141131878816,19
5,4,0.6372571109039474,-0.3333156933110693,170
5,5,0.13140398518364804,-0.2269596601149785,34
6,1,1.024322939370809,-0.5925782871435407,19
6,2,0.990872282503555,-0.4207757322444104,28
6,3,0.16574923772314898,-0.7224141131878816,19
6,4,1.4935027219015369,-1.001815757462461,4
6,5,0.6372571109039474,-0.3333156933110693,170
6,6,0.13140398518364804,-0.2269596601149785,34
7,1,1.024322939370809,-0.5925782871435407,19
7,2,0.6375166118427686,-0.3463700159909429,107
7,3,0.990872282503555,-0.4207757322444104,28
7,4,0.16574923772314898,-0.7224141131878816,19
7,5,1.4935027219015369,-1.001815757462461,4
7,6,0.6301002668764546,-0.3023975529400413,63
7,7,0.13140398518364804,-0.2269596601149785,34
8,1,0.1042953089485481,-0.5060886622624731,12
8,2,1.024322939370809,-0.5925782871435407,19
8,3,0.990872282503555,-0.4207757322444104,28
8,4,0.6385716098334743,-0.3445337005687673,115
8,5,0.1831910552745869,-0.7310382849844295,12
8,6,1.4935027219015369,-1.001815757462461,4
8,7,0.6315785394421741,-0.2972150766753981,55
8,8,0.13255246001234633,-0.2174296640950304,29
9,1,0.1042953089485481,-0.5060886622624731,12
9,2,1.024322939370809,-0.5925782871435407,19
9,3,0.990872282503555,-0.4207757322444104,28
9,4,0.6385716098334743,-0.3445337005687673,115
9,5,0.16574923772314898,-0.7224141131878816,8
9,6,1.4935027219015369,-1.001815757462461,4
9,7,0.2695636289546215,-1.0631770458979906,4
9,8,0.6315785394421741,-0.2972150766753981,55
9,9,0.13255246001234633,-0.2174296640950304,29
10,1,0.637278540814505,-0.3309915175275658,80
10,2,0.1042953089485481,-0.5060886622624731,12
10,3,1.024322939370809,-0.5925782871435407,19
10,4,0.990872282503555,-0.4207757322444104,28
10,5,0.16574923772314898,-0.7224141131878816,8
10,6,1.4935027219015369,-1.001815757462461,4
10,7,0.2695636289546215,-1.0631770458979906,4
10,8,0.6259632991680523,-0.2877100426670313,39
10,9,0.6359961570538469,-0.3651275401301523,51
10,10,0.13255246001234633,-0.2174296640950304,29
