Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
load29,g2,Voltage,Order 2,0.5609294391175322,-0.3710138835419342,7.320242666989367e-05,-1.820254670569011
load29,g2,Voltage,Order 4,0.6330069662174393,-0.2544267561796519,5.875516529574288e-05,-2.593021881611954
load29,g2,Voltage,Order 4,0.132789230156797,-0.5763721136330089,9.299832879183023e-05,0.8393751316946075
load29,g2,Voltage,Order 6,0.6583561522985949,-0.3054195043629765,6.57869001177331e-05,-2.9046677207073874
load29,g2,Voltage,Tau 1,0.6330069662174393,-0.2544267561796519,5.875516529574288e-05,-2.593021881611954
load29,g2,Voltage,Tau 1,0.132789230156797,-0.5763721136330089,9.299832879183023e-05,0.8393751316946075
load29,g2,Voltage,Tau 0.1,0.6404287980260586,-0.2187302865775794,5.34183503046109e-05,-2.700950611114424
load29,g2,Voltage,Tau 0.1,0.1520088308489578,-0.6116446297733975,9.192970396385774e-05,0.7256753477250082
load29,g2,Voltage,Tau 0.01,1.0318213644141143,-0.4064159835860396,1.3212804742623474e-05,-0.0567378503994553
load29,g2,Voltage,Tau 0.01,0.6279116923237686,-0.3292645316579819,6.959793280162575e-05,-2.39907600562434
load29,g2,Voltage,Tau 0.01,0.4947505853329324,-0.418009187786421,1.0252854400380972e-05,-2.8526836072182893
load29,g2,Voltage,Tau 0.01,0.2473296728136524,-0.3002238437371378,4.774910212069847e-06,0.7595327688843893
load29,g2,Voltage,Tau 0.01,0.1232385930687343,-0.4426300285620759,7.083042924087015e-05,0.8263124650923508
load29,g2,Voltage,Tau 0.01,0.1316160154185552,-0.0981660971509489,2.906656137328358e-06,2.5697225158479413
load29,g2,Current,Order 4,0.7204288225557358,-0.2652727555298955,0.0001876183405232,-0.1257006926771104
load29,g2,Current,Order 6,0.7995249848859415,-0.4262189441514594,0.0002573901971475,-0.6341132888093396
load29,g2,Current,Tau 1,0.9910288325931318,-0.3977656572362933,0.0002028736699451,-2.109357532706273
load29,g2,Current,Tau 1,0.6385509891761018,-0.3633977738150939,0.0002375319887399,0.7978025467177582
load29,g2,Current,Tau 0.1,0.994634594504276,-0.3845718396590441,0.000196792454894,-2.1634873783330906
load29,g2,Current,Tau 0.1,0.6387768196495583,-0.3635138737556672,0.0002433475112345,0.8111172041169408
load29,g2,Current,Tau 0.01,0.994634594504276,-0.3845718396590441,0.000196792454894,-2.1634873783330906
load29,g2,Current,Tau 0.01,0.6387768196495583,-0.3635138737556672,0.0002433475112345,0.8111172041169408
load29,g2,Active Power,Order 4,0.8376697283647834,-0.3199904411407202,0.1206611662173205,-0.8171547354075599
load29,g2,Active Power,Order 6,0.8803068323618386,-0.4401227196007094,0.1715286806573736,-1.1056354347830644
load29,g2,Active Power,Tau 0.1,0.99851613211511,-0.412888176289914,0.1490737495524909,-2.2088755281099863
load29,g2,Active Power,Tau 0.1,0.6346755574991363,-0.3774696159765413,0.127068646142503,0.9413531468385536
load29,g2,Active Power,Tau 0.01,1.1115001976258034,-0.4618697665754434,0.0374822585493419,1.806970098290284
load29,g2,Active Power,Tau 0.01,0.9793323441390932,-0.4915658656171507,0.1690400063924956,-1.840810792288481
load29,g2,Active Power,Tau 0.01,0.6366765899135215,-0.3402918286778211,0.1101794561565299,0.9005577968682603
load29,g2,Reactive Power,Order 6,0.6239295142604586,-0.4128452705852566,0.051891734048033,1.4365706735688637
load29,g2,Reactive Power,Tau 0.01,0.9785437496747094,-0.3420580708963515,0.0096934613421802,0.0388077160991731
load29,g2,Reactive Power,Tau 0.01,0.6373068421148207,-0.3477587052390239,0.0399792833816272,1.1740837832940112
load29,g2,Reactive Power,Tau 0.01,0.1338785769485599,-0.488838493609334,0.0893091044593688,0.1219500676792954
load29,g3,Voltage,Order 2,0.6034194583344988,-0.2911870663040277,7.33769500584865e-05,-2.075879383558936
load29,g3,Voltage,Order 4,0.6573304575567421,-0.2623357028260369,6.211030666950338e-05,-2.8804816748335016
load29,g3,Voltage,Order 6,0.6394346840748244,-0.3592008165797839,7.418952675098318e-05,-2.6923034587764825
load29,g3,Voltage,Order 6,0.1210080175700239,-0.6801816990754601,0.0001076351466938,0.9539132974580232
load29,g3,Voltage,Tau 1,0.6034194583344988,-0.2911870663040277,7.33769500584865e-05,-2.075879383558936
load29,g3,Voltage,Tau 0.1,0.6394346840748244,-0.3592008165797839,7.418952675098318e-05,-2.6923034587764825
load29,g3,Voltage,Tau 0.1,0.1210080175700239,-0.6801816990754601,0.0001076351466938,0.9539132974580232
load29,g3,Voltage,Tau 0.01,1.0262837262421176,-0.4388122092121918,1.0545651689032516e-05,0.1961512819960764
load29,g3,Voltage,Tau 0.01,0.6465546478881249,-0.3333015752344373,6.823949776260168e-05,-2.722237237135509
load29,g3,Voltage,Tau 0.01,0.272658919050145,-0.8618788089994289,4.968913562781488e-05,-0.2519545254680806
load29,g3,Voltage,Tau 0.01,0.1494906686517394,-0.2233611991588876,1.5212767854354669e-05,0.5785281962901162
load29,g3,Current,Order 4,0.6830357523659348,-0.3166658761131667,0.0002557637724307,0.2826431759479028
load29,g3,Current,Order 6,0.7453697898561874,-0.3589543578518856,0.0002625205172359,-0.3380143711315335
load29,g3,Current,Tau 1,0.6830357523659348,-0.3166658761131667,0.0002557637724307,0.2826431759479028
load29,g3,Current,Tau 0.1,0.9874771185628708,-0.4367385774073829,0.0001926040837287,-2.01939741863237
load29,g3,Current,Tau 0.1,0.6403151529107164,-0.3448485790618792,0.000256603844986,0.774941094332863
load29,g3,Current,Tau 0.01,1.1177962654477158,-0.3326472002110669,2.4706561387989884e-05,1.785639024131071
load29,g3,Current,Tau 0.01,0.9780795300888744,-0.4947120570673349,0.000209037657717,-1.8420293077536083
load29,g3,Current,Tau 0.01,0.6411442506307548,-0.3461324739856667,0.0002521838443098,0.7607326597992417
load29,g3,Active Power,Order 4,0.7504055542992479,-0.3458921611940082,0.1500776321968573,-0.3041970092845979
load29,g3,Active Power,Order 6,0.8172222404167192,-0.4574111565650611,0.1968772972873934,-0.7320431263797642
load29,g3,Active Power,Tau 1,0.9697493133888836,-0.4734672834406074,0.1727895954729164,-1.7917070337412744
load29,g3,Active Power,Tau 1,0.6405302793574787,-0.2982943991729793,0.1201768428150516,0.7931802360502925
load29,g3,Active Power,Tau 0.1,0.9903918637502076,-0.4496291652840066,0.1602105769776916,-2.046772828127825
load29,g3,Active Power,Tau 0.1,0.6353596996797646,-0.3532603907644578,0.1513726399223668,0.9123504070799772
load29,g3,Active Power,Tau 0.01,0.9903918637502076,-0.4496291652840066,0.1602105769776916,-2.046772828127825
load29,g3,Active Power,Tau 0.01,0.6353596996797646,-0.3532603907644578,0.1513726399223668,0.9123504070799772
load29,g3,Reactive Power,Order 4,0.6220970022485323,-0.2716048390116457,0.0433335256873001,1.3481546881012392
load29,g3,Reactive Power,Order 6,0.626468489322638,-0.3748402965566437,0.0579436956397761,1.3479680033132264
load29,g3,Reactive Power,Tau 1,0.626468489322638,-0.3748402965566437,0.0579436956397761,1.3479680033132264
load29,g3,Reactive Power,Tau 0.1,0.626468489322638,-0.3748402965566437,0.0579436956397761,1.3479680033132264
load29,g3,Reactive Power,Tau 0.01,0.9610224251728224,-0.4668569846392244,0.0148061530455675,1.039053536381425
load29,g3,Reactive Power,Tau 0.01,0.6396218972692486,-0.3553783138652477,0.054234669896477,1.1015241398912048
load29,g3,Reactive Power,Tau 0.01,0.2106991407997163,-0.4945625146966177,0.0219925168355918,-1.119927576142265
