Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,9,0.3216094398026589,0.3570623570565113,0.5331849415474573
Order 4,Mode 1,0.6062,-0.08,36,0.28872192929866686,0.34061567467429116,0.6859322358630149
Order 4,Mode 3,1.0312,-0.2558,3,0.22125112311151027,0.240014162091891,0.2948934014945056
Order 4,Mode 4,1.1211,-0.3373,2,0.24875175768866625,0.24875175768866625,0.2837013999742583
Order 6,Mode 1,0.6062,-0.08,42,0.29440113074897756,0.3638973670995167,0.7717702583796789
Order 6,Mode 3,1.0312,-0.2558,11,0.29399581637802574,0.28454199348626236,0.36090422644852915
Order 6,Mode 4,1.1211,-0.3373,3,0.22873178847552597,0.23634589022980576,0.26132508237928503
Tau 0.01,Mode 1,0.6062,-0.08,79,0.34433929535056645,0.44087603101585676,1.004003048664992
Tau 0.01,Mode 3,1.0312,-0.2558,4,0.07774498554429266,0.0785936140908447,0.1338626742906374
Tau 0.01,Mode 4,1.1211,-0.3373,36,0.2125997303942258,0.19329150984045732,0.3883749150100434
Tau 0.01,Mode 5,1.3155,-0.4033,1,0.2809532028399914,0.2809532028399914,0.2809532028399914
Tau 0.01,Mode 7,1.4953,-0.7033,1,0.5853044127193616,0.5853044127193616,0.5853044127193616
Tau 0.1,Mode 1,0.6062,-0.08,55,0.2856343044914414,0.3655798566510588,1.004003048664992
Tau 0.1,Mode 3,1.0312,-0.2558,5,0.05661096291006227,0.0667544816391893,0.1338626742906374
Tau 0.1,Mode 4,1.1211,-0.3373,20,0.23626054911950672,0.24503784320338004,0.5371083667285297
Tau 0.1,Mode 7,1.4953,-0.7033,1,1.4887484847974062,1.4887484847974062,1.4887484847974062
Tau 1,Mode 1,0.6062,-0.08,40,0.2831537804985498,0.3434540008291589,0.7204251396714934
Tau 1,Mode 3,1.0312,-0.2558,1,0.29828326344392153,0.29828326344392153,0.29828326344392153
Tau 1,Mode 4,1.1211,-0.3373,9,0.23496421022052463,0.22949812651932172,0.2988730515753423
