b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0635,0.765959
0.01,1.0635,0.765959
0.02,1.063501,0.765957
0.03,1.063501,0.765957
0.04,1.063501,0.765957
0.05,1.063502,0.765956
0.06,1.063503,0.765953
0.07,1.063504,0.765948
0.08,1.063507,0.765941
0.09,1.06351,0.765933
0.1,1.063512,0.765925
0.11,1.063514,0.765919
0.12,1.063514,0.765918
0.13,1.063513,0.765921
0.14,1.063511,0.765928
0.15,1.063508,0.765936
0.16,1.063504,0.765944
0.17,1.063502,0.765949
0.18,1.063499,0.76595
0.19,1.063498,0.765945
0.2,1.063499,0.765934
0.21,1.0635,0.765917
0.22,1.063503,0.765896
0.23,1.063507,0.765872
0.24,1.063511,0.765848
0.25,1.063514,0.765828
0.26,1.063516,0.765815
0.27,1.063517,0.765812
0.28,1.063517,0.765818
0.29,1.063515,0.765832
0.3,1.063513,0.765853
0.31,1.063511,0.765879
0.32,1.063508,0.765909
0.33,1.063505,0.765943
0.34,1.063501,0.765979
0.35,1.063496,0.766016
0.36,1.063492,0.766051
0.37,1.063487,0.766081
0.38,1.063483,0.766105
0.39,1.06348,0.766123
0.4,1.063477,0.766134
0.41,1.063474,0.766137
0.42,1.063473,0.766131
0.43,1.063472,0.766119
0.44,1.063472,0.766103
0.45,1.063472,0.766085
0.46,1.063471,0.766068
0.47,1.063471,0.766054
0.48,1.063472,0.76604
0.49,1.063473,0.766025
0.5,1.063476,0.766006
0.51,1.063481,0.765983
0.52,1.063487,0.765956
0.53,1.063494,0.765931
0.54,1.0635,0.76591
0.55,1.063505,0.765898
0.56,1.063508,0.765895
0.57,1.06351,0.7659
0.58,1.06351,0.765912
0.59,1.063509,0.765929
0.6,1.063507,0.765948
0.61,1.063504,0.765967
0.62,1.063502,0.765984
0.63,1.0635,0.765995
0.64,1.063499,0.765999
0.65,1.063498,0.765995
0.66,1.063499,0.765984
0.67,1.0635,0.765968
0.68,1.063502,0.765949
0.69,1.063504,0.765931
0.7,1.063506,0.765916
0.71,1.063507,0.765908
0.72,1.063506,0.765911
0.73,1.063504,0.765923
0.74,1.0635,0.765944
0.75,1.063496,0.765967
0.76,1.063493,0.76599
0.77,1.06349,0.766008
0.78,1.063488,0.76602
0.79,1.063487,0.766026
0.8,1.063487,0.766026
0.81,1.063487,0.766021
0.82,1.063488,0.766012
0.83,1.063489,0.765999
0.84,1.06349,0.765983
0.85,1.063492,0.765964
0.86,1.063495,0.765944
0.87,1.063498,0.765924
0.88,1.063501,0.765904
0.89,1.063504,0.765884
0.9,1.063508,0.765866
0.91,1.063512,0.765849
0.92,1.063515,0.765835
0.93,1.063517,0.765827
0.94,1.063518,0.765823
0.95,1.063518,0.765824
0.96,1.063517,0.765828
0.97,1.063516,0.765837
0.98,1.063514,0.765851
0.99,1.063511,0.76587
1,1.063507,0.765894
1.01,1.063502,0.76592
1.02,1.063498,0.765946
1.03,1.063494,0.765967
1.04,1.063491,0.765982
1.05,1.063489,0.765991
1.06,1.063488,0.765994
1.07,1.063488,0.765989
1.08,1.063489,0.765979
1.09,1.06349,0.765964
1.1,1.063493,0.765947
1.11,1.063495,0.765928
1.12,1.063498,0.765909
1.13,1.063502,0.765889
1.14,1.063506,0.765872
1.15,1.06351,0.76586
1.16,1.063513,0.765856
1.17,1.063515,0.765862
1.18,1.063516,0.765877
1.19,1.063517,0.7659
1.2,1.063517,0.765927
1.21,1.063516,0.765956
1.22,1.063515,0.765984
1.23,1.063514,0.766007
1.24,1.063513,0.766025
1.25,1.063511,0.766038
1.26,1.063509,0.766047
1.27,1.063505,0.766054
1.28,1.063499,0.766061
1.29,1.063492,0.766068
1.3,1.063483,0.766073
1.31,1.063475,0.766077
1.32,1.063467,0.766078
1.33,1.063461,0.766075
1.34,1.063458,0.766069
1.35,1.063457,0.766062
1.36,1.063458,0.766055
1.37,1.063461,0.766049
1.38,1.063465,0.766044
1.39,1.063472,0.76604
1.4,1.063479,0.766035
1.41,1.063487,0.766029
1.42,1.063495,0.76602
1.43,1.063501,0.766009
1.44,1.063506,0.765997
1.45,1.063508,0.765986
1.46,1.063507,0.765975
1.47,1.063504,0.765966
1.48,1.063499,0.765958
1.49,1.063493,0.765953
1.5,1.063487,0.765948
1.51,1.063482,0.765944
1.52,1.063479,0.765939
1.53,1.063476,0.765933
1.54,1.063476,0.765926
1.55,1.063477,0.76592
1.56,1.06348,0.765915
1.57,1.063483,0.765913
1.58,1.063486,0.765916
1.59,1.06349,0.765922
1.6,1.063494,0.765931
1.61,1.063498,0.765942
1.62,1.063502,0.765952
1.63,1.063506,0.765961
1.64,1.063509,0.765966
1.65,1.063511,0.765965
1.66,1.063513,0.765959
1.67,1.063514,0.765949
1.68,1.063514,0.765937
1.69,1.063512,0.765926
1.7,1.063509,0.765917
1.71,1.063504,0.765912
1.72,1.0635,0.765912
1.73,1.063495,0.765917
1.74,1.063491,0.765925
1.75,1.063488,0.765934
1.76,1.063487,0.765941
1.77,1.063488,0.765942
1.78,1.063491,0.765938
1.79,1.063494,0.76593
1.8,1.063499,0.765919
1.81,1.063505,0.765906
1.82,1.06351,0.765896
1.83,1.063515,0.765889
1.84,1.063519,0.765889
1.85,1.063521,0.765896
1.86,1.063522,0.765909
1.87,1.063521,0.765926
1.88,1.06352,0.765946
1.89,1.063517,0.765967
1.9,1.063515,0.765985
1.91,1.063513,0.766
1.92,1.063511,0.766012
1.93,1.063509,0.766021
1.94,1.063508,0.766026
1.95,1.063507,0.766026
1.96,1.063507,0.766023
1.97,1.063507,0.766014
1.98,1.063507,0.766003
1.99,1.063507,0.76599
2,1.063507,0.765976
2.01,1.063507,0.765964
2.02,1.063506,0.765953
2.03,1.063505,0.765945
2.04,1.063504,0.765941
2.05,1.063503,0.76594
2.06,1.063503,0.765941
2.07,1.063503,0.765943
2.08,1.063504,0.765945
2.09,1.063505,0.765947
2.1,1.063506,0.765948
2.11,1.063508,0.765949
2.12,1.06351,0.765949
2.13,1.063511,0.765948
2.14,1.063512,0.765945
2.15,1.063513,0.765941
2.16,1.063513,0.765935
2.17,1.063514,0.765927
2.18,1.063515,0.765917
2.19,1.063515,0.765904
2.2,1.063516,0.76589
2.21,1.063516,0.765875
2.22,1.063517,0.76586
2.23,1.063517,0.765849
2.24,1.063517,0.765843
2.25,1.063517,0.765842
2.26,1.063516,0.765847
2.27,1.063515,0.765857
2.28,1.063514,0.765873
2.29,1.063512,0.765891
2.3,1.063511,0.765913
2.31,1.06351,0.765934
2.32,1.06351,0.765953
2.33,1.063511,0.765967
2.34,1.063513,0.765973
2.35,1.063517,0.765971
2.36,1.063521,0.765962
2.37,1.063525,0.76595
2.38,1.063529,0.765937
2.39,1.063531,0.765928
2.4,1.063531,0.765924
2.41,1.06353,0.765926
2.42,1.063528,0.765934
2.43,1.063525,0.765946
2.44,1.063521,0.76596
2.45,1.063517,0.765975
2.46,1.063512,0.765991
2.47,1.063508,0.766006
2.48,1.063503,0.766018
2.49,1.0635,0.766027
2.5,1.063497,0.766031
2.51,1.063496,0.766031
2.52,1.063495,0.766029
2.53,1.063495,0.766026
2.54,1.063495,0.766025
2.55,1.063495,0.766026
2.56,1.063495,0.76603
2.57,1.063495,0.766035
2.58,1.063496,0.766041
2.59,1.063497,0.766045
2.6,1.063498,0.766046
2.61,1.063499,0.766044
2.62,1.0635,0.766038
2.63,1.0635,0.766031
2.64,1.0635,0.766022
2.65,1.063499,0.766013
2.66,1.063497,0.766005
2.67,1.063496,0.765995
2.68,1.063495,0.765985
2.69,1.063495,0.765975
2.7,1.063494,0.765965
2.71,1.063494,0.765958
2.72,1.063493,0.765951
2.73,1.063492,0.765945
2.74,1.063492,0.765939
2.75,1.063492,0.765931
2.76,1.063492,0.765923
2.77,1.063492,0.765913
2.78,1.063493,0.765902
2.79,1.063494,0.76589
2.8,1.063495,0.765877
2.81,1.063497,0.765862
2.82,1.0635,0.765849
2.83,1.063502,0.765839
2.84,1.063504,0.765834
2.85,1.063506,0.765833
2.86,1.063508,0.765836
2.87,1.063511,0.76584
2.88,1.063513,0.765847
2.89,1.063516,0.765855
2.9,1.063519,0.765864
2.91,1.063521,0.765874
2.92,1.063522,0.765884
2.93,1.063523,0.765893
2.94,1.063524,0.765902
2.95,1.063524,0.765907
2.96,1.063524,0.765911
2.97,1.063524,0.765912
2.98,1.063523,0.765911
2.99,1.063521,0.76591
3,1.06352,0.765908
3.01,1.063519,0.765908
3.02,1.063517,0.765909
3.03,1.063516,0.765914
3.04,1.063514,0.765921
3.05,1.063513,0.76593
3.06,1.063512,0.765942
3.07,1.063511,0.765955
3.08,1.063509,0.765971
3.09,1.063506,0.765989
3.1,1.063503,0.766006
3.11,1.0635,0.76602
3.12,1.063497,0.766027
3.13,1.063495,0.766025
3.14,1.063495,0.766014
3.15,1.063496,0.765998
3.16,1.063497,0.765977
3.17,1.063499,0.765957
3.18,1.0635,0.765939
3.19,1.063501,0.765928
3.2,1.0635,0.765924
3.21,1.063499,0.765927
3.22,1.063497,0.765934
3.23,1.063495,0.765944
3.24,1.063492,0.765955
3.25,1.06349,0.765964
3.26,1.063488,0.76597
3.27,1.063488,0.76597
3.28,1.063489,0.765965
3.29,1.063492,0.765955
3.3,1.063496,0.76594
3.31,1.0635,0.765924
3.32,1.063505,0.765907
3.33,1.063508,0.765895
3.34,1.06351,0.765887
3.35,1.063511,0.765885
3.36,1.063511,0.765889
3.37,1.063509,0.765896
3.38,1.063507,0.765908
3.39,1.063504,0.765921
3.4,1.0635,0.765936
3.41,1.063497,0.765951
3.42,1.063494,0.765963
3.43,1.063491,0.765971
3.44,1.06349,0.765977
3.45,1.063489,0.76598
3.46,1.063488,0.765981
3.47,1.063488,0.76598
3.48,1.063488,0.765977
3.49,1.063489,0.765971
3.5,1.06349,0.765965
3.51,1.063491,0.765958
3.52,1.063492,0.765951
3.53,1.063494,0.765942
3.54,1.063496,0.765934
3.55,1.063498,0.765927
3.56,1.0635,0.765921
3.57,1.063502,0.765917
3.58,1.063504,0.765915
3.59,1.063505,0.765915
3.6,1.063506,0.765918
3.61,1.063506,0.765923
3.62,1.063505,0.765929
3.63,1.063505,0.765934
3.64,1.063504,0.765939
3.65,1.063503,0.765943
3.66,1.063502,0.765947
3.67,1.063499,0.765953
3.68,1.063496,0.765959
3.69,1.063492,0.765963
3.7,1.063489,0.765965
3.71,1.063485,0.765965
3.72,1.063483,0.765964
3.73,1.063481,0.765961
3.74,1.063481,0.765959
3.75,1.063481,0.765956
3.76,1.063483,0.765954
3.77,1.063485,0.76595
3.78,1.063489,0.765946
3.79,1.063493,0.765942
3.8,1.063496,0.765939
3.81,1.063499,0.76594
3.82,1.063501,0.765945
3.83,1.063501,0.765954
3.84,1.0635,0.765967
3.85,1.063498,0.765981
