ModeIndex,Multiplicity,RealPart,ImagPart
1,1,-3.04845349456100354e-02,0.00000000000000000e+00
2,1,-3.33333333333315079e-02,0.00000000000000000e+00
3,1,-3.33333333333315079e-02,0.00000000000000000e+00
4,1,-3.33333333333315079e-02,0.00000000000000000e+00
5,1,-7.44910074690153245e-02,7.76788431320923484e-02
6,1,-7.44910074690153245e-02,-7.76788431320923484e-02
7,1,-7.45395226049009596e-02,7.77433913959177242e-02
8,1,-7.45395226049009596e-02,-7.77433913959177242e-02
9,1,-7.48166388679973871e-02,7.76973218083605172e-02
10,1,-7.48166388679973871e-02,-7.76973218083605172e-02
11,1,-1.27582359416056390e-01,4.30480125101169397e-01
12,1,-1.27582359416056390e-01,-4.30480125101169397e-01
13,1,-1.39874495021712120e-01,0.00000000000000000e+00
14,1,-1.97538663244453822e-01,6.98016610806232407e+00
15,1,-1.97538663244453822e-01,-6.98016610806232407e+00
16,1,-2.00000000000000178e-01,0.00000000000000000e+00
17,1,-2.00000000000000178e-01,0.00000000000000000e+00
18,1,-2.00000000000000178e-01,0.00000000000000000e+00
19,1,-2.00803308726985624e-01,0.00000000000000000e+00
20,1,-2.00805290503273864e-01,0.00000000000000000e+00
21,1,-2.02462841298840457e-01,0.00000000000000000e+00
22,1,-2.27595613965672017e-01,4.90324478204060443e-01
23,1,-2.27595613965672017e-01,-4.90324478204060443e-01
24,1,-2.44511583221029727e-01,8.56675476157616744e-01
25,1,-2.44511583221029727e-01,-8.56675476157616744e-01
26,1,-2.82727298787969650e-01,0.00000000000000000e+00
27,1,-3.11461054230457834e-01,6.40227356115560364e-01
28,1,-3.11461054230457834e-01,-6.40227356115560364e-01
29,1,-4.09972963977311033e-01,1.01286442747841505e+01
30,1,-4.09972963977311033e-01,-1.01286442747841505e+01
31,1,-4.10014120389196823e-01,1.01292866315507286e+01
32,1,-4.10014120389196823e-01,-1.01292866315507286e+01
33,1,-4.10062409774870851e-01,1.01283824720020235e+01
34,1,-4.10062409774870851e-01,-1.01283824720020235e+01
35,1,-4.21153377461174427e-01,6.91054154043194746e+00
36,1,-4.21153377461174427e-01,-6.91054154043194746e+00
37,1,-4.50863843980109036e-01,6.31527770495949259e+00
38,1,-4.50863843980109036e-01,-6.31527770495949259e+00
39,1,-4.54498440828215222e-01,3.97208472199893325e+00
40,1,-4.54498440828215222e-01,-3.97208472199893325e+00
41,1,-6.97205457761477021e-01,8.93800608976676259e+00
42,1,-6.97205457761477021e-01,-8.93800608976676259e+00
43,1,-7.06654881355350817e-01,8.84719892355467152e+00
44,1,-7.06654881355350817e-01,-8.84719892355467152e+00
45,1,-8.04232684318820557e-01,1.75272723140812503e+00
46,1,-8.04232684318820557e-01,-1.75272723140812503e+00
47,1,-8.30443059667513861e-01,3.40808422623772311e-02
48,1,-8.30443059667513861e-01,-3.40808422623772311e-02
49,1,-8.61503531012807855e-01,8.11858713696328782e-01
50,1,-8.61503531012807855e-01,-8.11858713696328782e-01
51,1,-9.47399656652762046e-01,0.00000000000000000e+00
52,1,-9.99999999998676059e-01,0.00000000000000000e+00
53,1,-9.99999999999888756e-01,-9.96723097715174667e-13
54,1,-9.99999999999888756e-01,9.96723097715174667e-13
55,1,-9.99999999999945710e-01,0.00000000000000000e+00
56,1,-1.00000000000023137e+00,0.00000000000000000e+00
57,1,-1.03771525582540369e+00,0.00000000000000000e+00
58,1,-1.19386714335855526e+00,0.00000000000000000e+00
59,1,-1.22503312876400727e+00,0.00000000000000000e+00
60,1,-1.23223422693921503e+00,3.79757361629666501e-02
61,1,-1.23223422693921503e+00,-3.79757361629666501e-02
62,1,-1.24434615092150747e+00,0.00000000000000000e+00
63,1,-1.29157271118644457e+00,0.00000000000000000e+00
64,1,-1.49435193887675943e+00,0.00000000000000000e+00
65,1,-1.52008466856512747e+00,1.19438762469278786e-01
66,1,-1.52008466856512747e+00,-1.19438762469278786e-01
67,1,-1.56489804854537362e+00,0.00000000000000000e+00
68,1,-1.67639133019306730e+00,9.02129319379752909e-02
69,1,-1.67639133019306730e+00,-9.02129319379752909e-02
70,1,-1.68675542113122345e+00,1.20552524326025118e-01
71,1,-1.68675542113122345e+00,-1.20552524326025118e-01
72,1,-1.68860003314312079e+00,1.25178371122909748e-01
73,1,-1.68860003314312079e+00,-1.25178371122909748e-01
74,1,-1.69730992611840059e+00,0.00000000000000000e+00
75,1,-1.72775902954281513e+00,2.43986381964084120e-01
76,1,-1.72775902954281513e+00,-2.43986381964084120e-01
77,1,-1.78196441670221550e+00,0.00000000000000000e+00
78,1,-1.78308436191679731e+00,0.00000000000000000e+00
79,1,-1.78321039099602019e+00,0.00000000000000000e+00
80,1,-1.99999999999977929e+00,-1.25699213545264286e-13
81,1,-1.99999999999977929e+00,1.25699213545264286e-13
82,1,-1.99999999999977973e+00,0.00000000000000000e+00
83,1,-1.99999999999977973e+00,0.00000000000000000e+00
84,1,-1.99999999999977973e+00,0.00000000000000000e+00
85,1,-1.99999999999996803e+00,0.00000000000000000e+00
86,1,-2.00000000000000000e+00,0.00000000000000000e+00
87,1,-2.00000000000000000e+00,0.00000000000000000e+00
88,1,-2.00000000000000000e+00,0.00000000000000000e+00
89,1,-2.00000000000002265e+00,0.00000000000000000e+00
90,1,-2.00000000000103784e+00,0.00000000000000000e+00
91,1,-2.32878005630798546e+00,0.00000000000000000e+00
92,1,-3.23586198502916877e+00,0.00000000000000000e+00
93,1,-4.38794379291784686e+00,0.00000000000000000e+00
94,1,-5.00808398918784015e+00,6.74902315345102533e-02
95,1,-5.00808398918784015e+00,-6.74902315345102533e-02
96,1,-5.03057443088471246e+00,0.00000000000000000e+00
97,1,-5.03794760410022313e+00,0.00000000000000000e+00
98,1,-5.06316843938971495e+00,0.00000000000000000e+00
99,1,-5.07207932963467023e+00,0.00000000000000000e+00
100,1,-5.46111556156931144e+00,0.00000000000000000e+00
101,1,-7.86748788437542679e+00,0.00000000000000000e+00
102,1,-8.27250094544494807e+00,4.21727116188709977e-02
103,1,-8.27250094544494807e+00,-4.21727116188709977e-02
104,1,-8.31181499776326227e+00,2.24257223942344125e-01
105,1,-8.31181499776326227e+00,-2.24257223942344125e-01
106,1,-8.46555382298487658e+00,3.84507067753928566e-01
107,1,-8.46555382298487658e+00,-3.84507067753928566e-01
108,1,-9.91211019328584442e+00,0.00000000000000000e+00
109,1,-9.99999999997669420e+00,0.00000000000000000e+00
110,1,-9.99999999997669420e+00,0.00000000000000000e+00
111,1,-9.99999999997669420e+00,0.00000000000000000e+00
112,1,-1.00174032116644600e+01,0.00000000000000000e+00
113,1,-1.00224519070440383e+01,0.00000000000000000e+00
114,1,-1.00330853251661907e+01,0.00000000000000000e+00
115,1,-1.00391791185579589e+01,0.00000000000000000e+00
116,1,-1.00540571421743277e+01,0.00000000000000000e+00
117,1,-1.00679391129678812e+01,0.00000000000000000e+00
118,1,-1.01089642892023441e+01,0.00000000000000000e+00
119,1,-1.01606618510597855e+01,0.00000000000000000e+00
120,1,-1.01956266832355453e+01,0.00000000000000000e+00
121,1,-1.02884962930029218e+01,0.00000000000000000e+00
122,1,-1.03037734287622289e+01,0.00000000000000000e+00
