ModeIndex,StateIndex,Generator,Area,StateVariable,StateDescription,ModelName,RealPart,ImagPart,ParticipationMagnitude
1,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-0.00011756822864675815,-0.0,0.00011756822864675815
5,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-3.536329228262042e-07,-1.9527332158863313e-06,1.9844957184464716e-06
6,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-3.536329228262042e-07,1.9527332158863313e-06,1.9844957184464716e-06
7,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.144468118738128e-09,-9.313960455896421e-09,9.384011223821626e-09
8,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.144468118738128e-09,9.313960455896421e-09,9.384011223821626e-09
9,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-2.219127052200575e-06,-1.268783953834111e-05,1.288044242347678e-05
10,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-2.219127052200575e-06,1.268783953834111e-05,1.288044242347678e-05
11,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.0360521431463844e-05,-1.5098019757871188e-05,1.831094221881797e-05
12,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.0360521431463844e-05,1.5098019757871188e-05,1.831094221881797e-05
13,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,0.023095329415105028,0.0,0.023095329415105028
14,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,1.4038106374965169e-05,0.00010474144302942294,0.0001056779935392449
15,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,1.4038106374965169e-05,-0.00010474144302942294,0.0001056779935392449
19,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,1.3672479062785084e-07,0.0,1.3672479062785084e-07
20,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,2.438580015046151e-10,0.0,2.438580015046151e-10
21,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-0.003779100722910996,-0.0,0.003779100722910996
22,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,1.2619790793197488e-05,2.8444810343140053e-05,3.1118585365039965e-05
23,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,1.2619790793197488e-05,-2.8444810343140053e-05,3.1118585365039965e-05
24,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.4565381247040143e-05,-0.0001149751659469752,0.00011589408576543548
25,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.4565381247040143e-05,0.0001149751659469752,0.00011589408576543548
26,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,0.009596648529652268,0.0,0.009596648529652268
27,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.5120489607440275e-05,5.377652460307079e-06,1.604831305628589e-05
28,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.5120489607440275e-05,-5.377652460307079e-06,1.604831305628589e-05
29,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,6.392342441480737e-08,8.046396493605737e-08,1.0276504192645795e-07
30,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,6.392342441480737e-08,-8.046396493605737e-08,1.0276504192645795e-07
31,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,3.5400390749850055e-07,4.577681168664994e-07,5.786798902188567e-07
32,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,3.5400390749850055e-07,-4.577681168664994e-07,5.786798902188567e-07
33,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-2.3707533965987017e-09,5.299801799013797e-09,5.8058910406856725e-09
34,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-2.3707533965987017e-09,-5.299801799013797e-09,5.8058910406856725e-09
35,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.6230895150870936e-06,-8.32971399595124e-06,8.486374657551458e-06
36,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.6230895150870936e-06,8.32971399595124e-06,8.486374657551458e-06
37,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,3.146239275103155e-05,-3.853992919461645e-05,4.975146530451352e-05
38,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,3.146239275103155e-05,3.853992919461645e-05,4.975146530451352e-05
39,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-0.0002273792480451703,-0.00031318201165405366,0.0003870197603033557
40,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-0.0002273792480451703,0.00031318201165405366,0.0003870197603033557
41,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-4.37425399919703e-06,-3.966173203808508e-06,5.904627670912016e-06
42,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-4.37425399919703e-06,3.966173203808508e-06,5.904627670912016e-06
43,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.176681852006454e-05,1.2698075125401294e-06,1.1835135369020382e-05
44,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.176681852006454e-05,-1.2698075125401294e-06,1.1835135369020382e-05
45,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,0.0001494281786703744,-0.00010690415110513365,0.0001837315381317388
46,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,0.0001494281786703744,0.00010690415110513365,0.0001837315381317388
47,153,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,5.498688266801789e-06,-1.044066828091537e-06,5.5969320343367385e-06
