ModeIndex,Multiplicity,RealPart,ImagPart,FrequencyHz,Damping,IsElectromechanical,DominantStateVariables,PhiParticipation,SpeedParticipation,PhiSpeedParticipation,OtherMachineStateParticipation,TotalMachineParticipation,PhiSpeedRatio,ParticipatingGenerators,MainGenerators,SecondGeneratorRatioToTop,AllParticipatingGenerators,ParticipatingAreas,MainGeneratorAreas,TopGenerator,TopGeneratorParticipation,PrimaryGeneratorThresholdRatio
1,1,-0.030484534945610035,0.0,0.0,-0.030484534945610035,False,speed; psifd,0.0006314914091139869,0.0968469104470802,0.09747840185619419,0.005288953097857291,0.10276735495405148,0.9485346966434813,g1,g1; g10,0.0884922826638736,g1; g10; g9; g2; g6; g7; g8,area_1,area_1,g1,0.07191178875237633,0.1
2,1,-0.03333333333333151,0.0,0.0,-0.03333333333333151,False,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.1
3,1,-0.03333333333333151,0.0,0.0,-0.03333333333333151,False,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.1
4,1,-0.03333333333333151,0.0,0.0,-0.03333333333333151,False,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.1
5,1,-0.07449100746901532,0.07767884313209235,0.012362971858132423,-0.07449100746901532,False,speed; psifd,3.561349610627679e-07,0.00018626908245245223,0.000186625217413515,9.18877852365476e-05,0.0002785130026500626,0.670077215920867,g1; g2,g1; g2,,g1; g2; g9; g6; g10; g7; g8,area_1; area_2,area_1; area_2,g1,0.0001775933239506295,0.1
6,1,-0.07449100746901532,-0.07767884313209235,0.012362971858132423,-0.07449100746901532,False,speed; psifd,3.561349610627679e-07,0.00018626908245245223,0.000186625217413515,9.18877852365476e-05,0.0002785130026500626,0.670077215920867,g1; g2,g1; g2,,g1; g2; g9; g6; g10; g7; g8,area_1; area_2,area_1; area_2,g1,0.0001775933239506295,0.1
7,1,-0.07453952260490096,0.07774339139591772,0.012373245033388231,-0.07453952260490096,False,speed; psifd,3.9563884389329584e-09,2.4705199355756926e-06,2.4744763240146256e-06,5.051548382324086e-07,2.979631162247034e-06,0.8304639699594714,g1; g6,g1; g6,,g1; g6; g10; g9; g2; g7; g8,area_1; area_3,area_1; area_3,g1,2.030208283272321e-06,0.1
8,1,-0.07453952260490096,-0.07774339139591772,0.012373245033388231,-0.07453952260490096,False,speed; psifd,3.9563884389329584e-09,2.4705199355756926e-06,2.4744763240146256e-06,5.051548382324086e-07,2.979631162247034e-06,0.8304639699594714,g1; g6,g1; g6,,g1; g6; g10; g9; g2; g7; g8,area_1; area_3,area_1; area_3,g1,2.030208283272321e-06,0.1
9,1,-0.07481663886799739,0.07769732180836052,0.012365912830802296,-0.07481663886799739,False,speed; psifd,4.548979022710763e-06,0.0025369188949332234,0.002541467873955934,0.0006569862310886096,0.0031984541050445437,0.7945925720639784,g1; g2; g6; g9; g7,g1; g2; g6; g9; g7,,g1; g2; g6; g9; g7; g10; g8,area_1; area_2; area_3,area_1; area_2; area_3,g1,0.002012916387317799,0.1
10,1,-0.07481663886799739,-0.07769732180836052,0.012365912830802296,-0.07481663886799739,False,speed; psifd,4.548979022710763e-06,0.0025369188949332234,0.002541467873955934,0.0006569862310886096,0.0031984541050445437,0.7945925720639784,g1; g2; g6; g9; g7,g1; g2; g6; g9; g7,,g1; g2; g6; g9; g7; g10; g8,area_1; area_2; area_3,area_1; area_2; area_3,g1,0.002012916387317799,0.1
