Matrix column index,Model name,State variable
1,Grid\DFIG Control\Irot-Ctirl.ElmDsl,"""xd"""
2,Grid\DFIG Control\Irot-Ctirl.ElmDsl,"""xq"""
3,Grid\DFIG Control\OverFrequPwr Reductiom.ElmDsl,"""x"""
4,Grid\DFIG Control\OverFrequPwr Reductiom.ElmDsl,"""x1"""
5,Grid\DFIG Control\PQ Control & synch.ElmDsl,"""xflt"""
6,Grid\DFIG Control\PQ Control & synch.ElmDsl,"""xlim"""
7,Grid\DFIG Control\PQ Control & synch.ElmDsl,"""xpctrl"""
8,Grid\DFIG Control\PQ Control & synch.ElmDsl,"""xqctrl"""
9,Grid\DFIG Control\PQ Control & synch.ElmDsl,"""xr"""
10,Grid\DFIG Control\PQ Control & synch.ElmDsl,"""xu"""
11,Grid\DFIG Control\Pitch Control.ElmDsl,"""xip"""
12,Grid\DFIG Control\Pitch Control.ElmDsl,"""xp"""
13,Grid\DFIG Control\Shaft.ElmDsl,"""dphi12"""
14,Grid\DFIG Control\Shaft.ElmDsl,"""xH"""
15,Grid\DFIG Control\Speed-Controller.ElmDsl,"""xi"""
16,Grid\DFIG Control\Speed-Controller.ElmDsl,"""xpc"""
17,Grid\DFIG Control\SpeedRef.ElmDsl,"""xp"""
18,Grid\DFIG Control\PLL WT.ElmPhi__pll,"""x1"""
19,Grid\DFIG Control\PLL WT.ElmPhi__pll,"""x2"""
20,Grid\DFIG Control\PLL WT.ElmPhi__pll,"""STATE_XS(2)"""
21,Grid\DFIG Control\PLL WT.ElmPhi__pll,"""STATE_XS(3)"""
22,Grid\DFIG Control(1)\Irot-Ctirl.ElmDsl,"""xd"""
23,Grid\DFIG Control(1)\Irot-Ctirl.ElmDsl,"""xq"""
24,Grid\DFIG Control(1)\OverFrequPwr Reductiom.ElmDsl,"""x"""
25,Grid\DFIG Control(1)\OverFrequPwr Reductiom.ElmDsl,"""x1"""
26,Grid\DFIG Control(1)\PQ Control & synch.ElmDsl,"""xflt"""
27,Grid\DFIG Control(1)\PQ Control & synch.ElmDsl,"""xlim"""
28,Grid\DFIG Control(1)\PQ Control & synch.ElmDsl,"""xpctrl"""
29,Grid\DFIG Control(1)\PQ Control & synch.ElmDsl,"""xqctrl"""
30,Grid\DFIG Control(1)\PQ Control & synch.ElmDsl,"""xr"""
31,Grid\DFIG Control(1)\PQ Control & synch.ElmDsl,"""xu"""
32,Grid\DFIG Control(1)\Pitch Control.ElmDsl,"""xip"""
33,Grid\DFIG Control(1)\Pitch Control.ElmDsl,"""xp"""
34,Grid\DFIG Control(1)\Shaft.ElmDsl,"""dphi12"""
