b:tnow in s,s:ut in p.u.,s:cur1 in p.u.
0,1.0475,0.276458
0.01,1.0475,0.276457
0.02,1.0475,0.276457
0.03,1.0475,0.276455
0.04,1.0475,0.276453
0.05,1.0475,0.27645
0.06,1.047501,0.276445
0.07,1.047501,0.276439
0.08,1.047502,0.276431
0.09,1.047503,0.276422
0.1,1.047504,0.276415
0.11,1.047504,0.27641
0.12,1.047505,0.276408
0.13,1.047505,0.27641
0.14,1.047504,0.276417
0.15,1.047503,0.276426
0.16,1.047502,0.276436
0.17,1.047501,0.276445
0.18,1.0475,0.276452
0.19,1.0475,0.276455
0.2,1.0475,0.276453
0.21,1.0475,0.276448
0.22,1.047501,0.276439
0.23,1.047502,0.276427
0.24,1.047503,0.276416
0.25,1.047505,0.276406
0.26,1.047505,0.2764
0.27,1.047506,0.276399
0.28,1.047506,0.276403
0.29,1.047506,0.27641
0.3,1.047505,0.276421
0.31,1.047504,0.276434
0.32,1.047503,0.276448
0.33,1.047502,0.276463
0.34,1.047501,0.276479
0.35,1.0475,0.276496
0.36,1.047498,0.276511
0.37,1.047496,0.276524
0.38,1.047495,0.276534
0.39,1.047494,0.276542
0.4,1.047493,0.276547
0.41,1.047492,0.27655
0.42,1.047492,0.27655
0.43,1.047491,0.276549
0.44,1.047491,0.276547
0.45,1.047491,0.276545
0.46,1.04749,0.276544
0.47,1.04749,0.276543
0.48,1.04749,0.27654
0.49,1.04749,0.276533
0.5,1.047492,0.276523
0.51,1.047493,0.276507
0.52,1.047496,0.276488
0.53,1.047498,0.276469
0.54,1.047501,0.276451
0.55,1.047503,0.276438
0.56,1.047504,0.276429
0.57,1.047505,0.276425
0.58,1.047505,0.276424
0.59,1.047505,0.276425
0.6,1.047504,0.276429
0.61,1.047503,0.276434
0.62,1.047502,0.276439
0.63,1.047501,0.276442
0.64,1.047501,0.276443
0.65,1.047501,0.276441
0.66,1.047501,0.276437
0.67,1.047501,0.276431
0.68,1.047502,0.276426
0.69,1.047503,0.276421
0.7,1.047503,0.276419
0.71,1.047504,0.276421
0.72,1.047503,0.276428
0.73,1.047502,0.276439
0.74,1.047501,0.276451
0.75,1.047499,0.276463
0.76,1.047498,0.276471
0.77,1.047496,0.276476
0.78,1.047495,0.276477
0.79,1.047494,0.276476
0.8,1.047494,0.276473
0.81,1.047494,0.276469
0.82,1.047494,0.276465
0.83,1.047494,0.27646
0.84,1.047495,0.276453
0.85,1.047496,0.276445
0.86,1.047497,0.276436
0.87,1.047498,0.276426
0.88,1.0475,0.276417
0.89,1.047502,0.276408
0.9,1.047503,0.2764
0.91,1.047505,0.276394
0.92,1.047506,0.276391
0.93,1.047507,0.27639
0.94,1.047508,0.276393
0.95,1.047508,0.276398
0.96,1.047508,0.276405
0.97,1.047508,0.276414
0.98,1.047507,0.276424
0.99,1.047506,0.276436
1,1.047505,0.276449
1.01,1.047503,0.276461
1.02,1.047501,0.27647
1.03,1.0475,0.276477
1.04,1.047498,0.276481
1.05,1.047497,0.276482
1.06,1.047496,0.27648
1.07,1.047495,0.276476
1.08,1.047495,0.27647
1.09,1.047496,0.276464
1.1,1.047496,0.276458
1.11,1.047497,0.276453
1.12,1.047498,0.276447
1.13,1.0475,0.276441
1.14,1.047502,0.276436
1.15,1.047503,0.276431
1.16,1.047505,0.276427
1.17,1.047506,0.276426
1.18,1.047507,0.276427
1.19,1.047508,0.276431
1.2,1.047508,0.276436
1.21,1.047508,0.276442
1.22,1.047508,0.276448
1.23,1.047507,0.276452
1.24,1.047507,0.276456
1.25,1.047506,0.276458
1.26,1.047505,0.276459
1.27,1.047504,0.276462
1.28,1.047502,0.276466
1.29,1.047499,0.276472
1.3,1.047496,0.27648
1.31,1.047493,0.276488
1.32,1.047491,0.276496
1.33,1.047488,0.276504
1.34,1.047487,0.276511
1.35,1.047486,0.276518
1.36,1.047486,0.276524
1.37,1.047486,0.27653
1.38,1.047487,0.276534
1.39,1.047489,0.276536
1.4,1.047491,0.276534
1.41,1.047493,0.276529
1.42,1.047495,0.27652
1.43,1.047496,0.276509
1.44,1.047497,0.276497
1.45,1.047498,0.276484
1.46,1.047498,0.276472
1.47,1.047497,0.276462
1.48,1.047496,0.276455
1.49,1.047495,0.276452
1.5,1.047493,0.276452
1.51,1.047492,0.276454
1.52,1.04749,0.276457
1.53,1.04749,0.276461
1.54,1.047489,0.276464
1.55,1.047489,0.276466
1.56,1.047489,0.276468
1.57,1.047489,0.276471
1.58,1.04749,0.276474
1.59,1.047491,0.276477
1.6,1.047492,0.276479
1.61,1.047494,0.27648
1.62,1.047495,0.276478
1.63,1.047497,0.276476
1.64,1.047499,0.276472
1.65,1.0475,0.276467
1.66,1.047501,0.276462
1.67,1.047502,0.276457
1.68,1.047502,0.276453
1.69,1.047502,0.27645
1.7,1.047501,0.276447
1.71,1.0475,0.276446
1.72,1.047498,0.276445
1.73,1.047496,0.276445
1.74,1.047495,0.276446
1.75,1.047494,0.276447
1.76,1.047493,0.276446
1.77,1.047493,0.276442
1.78,1.047494,0.276437
1.79,1.047495,0.276429
1.8,1.047497,0.27642
1.81,1.047499,0.276412
1.82,1.047501,0.276405
1.83,1.047503,0.276402
1.84,1.047505,0.276402
1.85,1.047506,0.276406
1.86,1.047507,0.276412
1.87,1.047507,0.276419
1.88,1.047506,0.276426
1.89,1.047505,0.276432
1.9,1.047505,0.276435
1.91,1.047504,0.276437
1.92,1.047503,0.276438
1.93,1.047503,0.276437
1.94,1.047503,0.276437
1.95,1.047503,0.276436
1.96,1.047503,0.276436
1.97,1.047503,0.276435
1.98,1.047503,0.276434
1.99,1.047503,0.276435
2,1.047503,0.276438
2.01,1.047503,0.276442
2.02,1.047502,0.276448
2.03,1.047502,0.276457
2.04,1.047501,0.276467
2.05,1.0475,0.276478
2.06,1.0475,0.276488
2.07,1.047499,0.276497
2.08,1.047499,0.276503
2.09,1.047499,0.276508
2.1,1.0475,0.276511
2.11,1.0475,0.276512
2.12,1.0475,0.276512
2.13,1.047501,0.276509
2.14,1.047501,0.276504
2.15,1.047502,0.276496
2.16,1.047503,0.276487
2.17,1.047503,0.276476
2.18,1.047504,0.276463
2.19,1.047505,0.27645
2.2,1.047506,0.276437
2.21,1.047507,0.276425
2.22,1.047508,0.276415
2.23,1.047509,0.276408
2.24,1.047509,0.276403
2.25,1.047509,0.276402
2.26,1.047509,0.276403
2.27,1.047509,0.276408
2.28,1.047509,0.276417
2.29,1.047508,0.276427
2.3,1.047507,0.276439
2.31,1.047506,0.276449
2.32,1.047506,0.276457
2.33,1.047506,0.27646
2.34,1.047506,0.27646
2.35,1.047507,0.276455
