ModeIndex,Multiplicity,RealPart,ImagPart
1,1,-2.60416895678618962e-02,0.00000000000000000e+00
2,1,-1.25430112121468262e-01,4.29232058319430898e-01
3,1,-1.25430112121468262e-01,-4.29232058319430898e-01
4,1,-1.58491773362936322e-01,0.00000000000000000e+00
5,1,-1.93054359865858727e-01,6.97368733013657671e+00
6,1,-1.93054359865858727e-01,-6.97368733013657671e+00
7,1,-1.97912797535119200e-01,4.44528867631430624e-01
8,1,-1.97912797535119200e-01,-4.44528867631430624e-01
9,1,-2.20334212544962244e-01,8.36605811170164748e-01
10,1,-2.20334212544962244e-01,-8.36605811170164748e-01
11,1,-2.39144035705061292e-01,5.00241931969162446e-01
12,1,-2.39144035705061292e-01,-5.00241931969162446e-01
13,1,-3.35964354723183756e-01,6.53045467648459277e-01
14,1,-3.35964354723183756e-01,-6.53045467648459277e-01
15,1,-3.75042018845884784e-01,4.28094630480555627e-01
16,1,-3.75042018845884784e-01,-4.28094630480555627e-01
17,1,-3.79913701968434714e-01,0.00000000000000000e+00
18,1,-3.85128702272690804e-01,3.84064861673755464e+00
19,1,-3.85128702272690804e-01,-3.84064861673755464e+00
20,1,-3.98846484002785107e-01,6.59162224736422875e+00
21,1,-3.98846484002785107e-01,-6.59162224736422875e+00
22,1,-4.64306780043278633e-01,6.08075960597043341e+00
23,1,-4.64306780043278633e-01,-6.08075960597043341e+00
24,1,-4.64715809988210049e-01,7.51691490907787063e+00
25,1,-4.64715809988210049e-01,-7.51691490907787063e+00
26,1,-5.86092799787338636e-01,7.45985785787781008e+00
27,1,-5.86092799787338636e-01,-7.45985785787781008e+00
28,1,-6.49722587886836678e-01,0.00000000000000000e+00
29,1,-6.95723815313330607e-01,8.93963169825331505e+00
30,1,-6.95723815313330607e-01,-8.93963169825331505e+00
31,1,-7.09751145144607243e-01,8.85821109708918542e+00
32,1,-7.09751145144607243e-01,-8.85821109708918542e+00
33,1,-7.77546216062579010e-01,6.93477286689464067e-01
34,1,-7.77546216062579010e-01,-6.93477286689464067e-01
35,1,-8.02112187914106212e-01,1.73177098413770447e+00
36,1,-8.02112187914106212e-01,-1.73177098413770447e+00
37,1,-8.16813869122531955e-01,9.11441963421433066e+00
38,1,-8.16813869122531955e-01,-9.11441963421433066e+00
39,1,-8.70781413741421484e-01,1.10576860292446755e+00
40,1,-8.70781413741421484e-01,-1.10576860292446755e+00
41,1,-8.81168879746983880e-01,0.00000000000000000e+00
42,1,-9.48536769447915873e-01,0.00000000000000000e+00
