ModeIndex,StateIndex,Generator,Area,StateVariable,StateDescription,ModelName,RealPart,ImagPart,ParticipationMagnitude
1,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-4.2289292258531755e-05,-0.0,4.2289292258531755e-05
2,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-7.485366873135175e-06,-1.7293861639796956e-05,1.884431924060591e-05
3,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-7.485366873135175e-06,1.7293861639796956e-05,1.884431924060591e-05
4,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,0.021834004125585463,0.0,0.021834004125585463
5,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.164089878070531e-06,6.439568010152354e-05,6.44062009513213e-05
6,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.164089878070531e-06,-6.439568010152354e-05,6.44062009513213e-05
7,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,2.59448717957333e-07,1.7334450815528135e-06,1.7527536872046065e-06
8,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,2.59448717957333e-07,-1.7334450815528135e-06,1.7527536872046065e-06
9,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-2.687955644187966e-05,-0.00012127627758975237,0.00012421934656300067
10,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-2.687955644187966e-05,0.00012127627758975237,0.00012421934656300067
11,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,1.9244934890801236e-05,3.814452931507946e-05,4.2724379874026664e-05
12,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,1.9244934890801236e-05,-3.814452931507946e-05,4.2724379874026664e-05
13,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.952808781120142e-05,-4.765844606120501e-05,5.150411337486338e-05
14,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.952808781120142e-05,4.765844606120501e-05,5.150411337486338e-05
15,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.7903893086682129e-06,1.0181162580562389e-05,1.0337386776571594e-05
16,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.7903893086682129e-06,-1.0181162580562389e-05,1.0337386776571594e-05
17,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,0.0018878778998938544,0.0,0.0018878778998938544
18,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.3128642020661614e-05,-0.00014569850191314916,0.00014628880579539436
19,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,-1.3128642020661614e-05,0.00014569850191314916,0.00014628880579539436
20,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,2.2613606522566208e-07,-3.005821778636188e-06,3.014316188610505e-06
21,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,2.2613606522566208e-07,3.005821778636188e-06,3.014316188610505e-06
22,108,g1,area_1,psi1d,Flux in 1d-damper winding,Grid\G 01.ElmSym,4.515500707883847e-06,9.78625383702935e-06,1.0777778565440617e-05
