ModeIndex,Multiplicity,RealPart,ImagPart,FrequencyHz,Damping,IsElectromechanical,DominantStateVariables,PhiParticipation,SpeedParticipation,PhiSpeedParticipation,OtherMachineStateParticipation,TotalMachineParticipation,PhiSpeedRatio,ParticipatingGenerators,MainGenerators,SecondGeneratorRatioToTop,AllParticipatingGenerators,ParticipatingAreas,MainGeneratorAreas,TopGenerator,TopGeneratorParticipation,PrimaryGeneratorThresholdRatio
1,1,-0.026041689567861896,0.0,0.0,-0.026041689567861896,False,speed; psifd,0.0006572123846132646,0.051785448318181465,0.05244266070279473,0.002042888812329696,0.05448554951512442,0.9625058601682521,g1,g1; g10,0.09879461762178045,g1; g10; g3; g9; g6; g2; g4; g7; g5; g8,area_1,area_1,g1,0.03365944163513844,0.1
2,1,-0.12543011212146826,0.4292320583194309,0.06831440381504612,-0.12543011212146826,False,psifd; psi1d,0.0028410493346774594,0.007877074637289528,0.010718123971966987,1.1313060860254465,1.1420242099974134,0.00938519856071288,g8,g8; g10,0.05322379164106826,g8; g10; g6; g4; g9; g1; g2; g3; g7; g5,area_1,area_1,g8,1.0589661267849595,0.1
3,1,-0.12543011212146826,-0.4292320583194309,0.06831440381504612,-0.12543011212146826,False,psifd; psi1d,0.0028410493346774594,0.007877074637289528,0.010718123971966987,1.1313060860254465,1.1420242099974134,0.00938519856071288,g8,g8; g10,0.05322379164106826,g8; g10; g6; g4; g9; g1; g2; g3; g7; g5,area_1,area_1,g8,1.0589661267849595,0.1
4,1,-0.15849177336293632,0.0,0.0,-0.15849177336293632,False,psifd; speed,0.0019572650752149724,0.3388631401105896,0.3408204051858046,1.0330370030785962,1.3738574082644008,0.2480755303538846,g1,g1; g3,0.011185904892573354,g1; g3; g10; g9; g6; g2; g7; g4; g5; g8,area_1,area_1; area_2,g1,1.2745784259088841,0.1
5,1,-0.19305435986585873,6.973687330136577,1.1098968101685585,-0.19305435986585873,True,phi; speed,1.2050839692912143,0.9664690279560095,2.1715529972472236,0.09732379995208795,2.2688767971993116,0.957104854669842,g10,g10; g8,0.07731075978967548,g10; g8; g9; g1; g2; g3; g6; g5; g7; g4,area_1,area_1,g10,1.8392808880578815,0.1
6,1,-0.19305435986585873,-6.973687330136577,1.1098968101685585,-0.19305435986585873,True,phi; speed,1.2050839692912143,0.9664690279560095,2.1715529972472236,0.09732379995208795,2.2688767971993116,0.957104854669842,g10,g10; g8,0.07731075978967548,g10; g8; g9; g1; g2; g3; g6; g5; g7; g4,area_1,area_1,g10,1.8392808880578815,0.1
7,1,-0.1979127975351192,0.4445288676314306,0.07074896663058503,-0.1979127975351192,False,psifd; psi1d,0.004601010383079962,0.011516929616666751,0.016117939999746714,2.021519289719301,2.037637229719048,0.00791011263666844,g6; g4,g6; g4,,g6; g4; g7; g5; g1; g8; g2; g3; g10; g9,area_3,area_3,g6,1.0466161709365267,0.1
8,1,-0.1979127975351192,-0.4445288676314306,0.07074896663058503,-0.1979127975351192,False,psifd; psi1d,0.004601010383079962,0.011516929616666751,0.016117939999746714,2.021519289719301,2.037637229719048,0.00791011263666844,g6; g4,g6; g4,,g6; g4; g7; g5; g1; g8; g2; g3; g10; g9,area_3,area_3,g6,1.0466161709365267,0.1
9,1,-0.22033421254496224,0.8366058111701647,0.13314995026713652,-0.22033421254496224,False,psifd; speed,0.005797339162607881,0.058759466148937504,0.06455680531154538,1.2972569363781699,1.3618137416897151,0.04740501827470503,g10,g10; g8,0.06300462049732924,g10; g8; g2; g9; g5; g1; g7; g3; g6; g4,area_1,area_1,g10,1.0129019175913343,0.1
10,1,-0.22033421254496224,-0.8366058111701647,0.13314995026713652,-0.22033421254496224,False,psifd; speed,0.005797339162607881,0.058759466148937504,0.06455680531154538,1.2972569363781699,1.3618137416897151,0.04740501827470503,g10,g10; g8,0.06300462049732924,g10; g8; g2; g9; g5; g1; g7; g3; g6; g4,area_1,area_1,g10,1.0129019175913343,0.1
11,1,-0.2391440357050613,0.5002419319691624,0.07961597621473183,-0.2391440357050613,False,psifd; psi1d,0.00876672316069788,0.11558036423923579,0.12434708739993366,2.694926982976734,2.8192740703766677,0.0441060657090782,g4; g6; g7; g5; g2,g4; g6; g7; g5; g2,,g4; g6; g7; g5; g2; g1; g10; g3; g8; g9,area_3; area_2,area_3; area_2,g4,1.1451095914617746,0.1
12,1,-0.2391440357050613,-0.5002419319691624,0.07961597621473183,-0.2391440357050613,False,psifd; psi1d,0.00876672316069788,0.11558036423923579,0.12434708739993366,2.694926982976734,2.8192740703766677,0.0441060657090782,g4; g6; g7; g5; g2,g4; g6; g7; g5; g2,,g4; g6; g7; g5; g2; g1; g10; g3; g8; g9,area_3; area_2,area_3; area_2,g4,1.1451095914617746,0.1
13,1,-0.33596435472318376,0.6530454676484593,0.10393541424001072,-0.33596435472318376,False,psifd; speed,0.014880077541519467,0.12695020964394316,0.14183028718546262,1.8485833829751832,1.9904136701606459,0.07125668865307558,g2; g3; g10,g2; g3; g10,,g2; g3; g10; g7; g6; g5; g1; g4; g9; g8,area_2; area_1,area_2; area_1,g2,1.097741307021176,0.1
14,1,-0.33596435472318376,-0.6530454676484593,0.10393541424001072,-0.33596435472318376,False,psifd; speed,0.014880077541519467,0.12695020964394316,0.14183028718546262,1.8485833829751832,1.9904136701606459,0.07125668865307558,g2; g3; g10,g2; g3; g10,,g2; g3; g10; g7; g6; g5; g1; g4; g9; g8,area_2; area_1,area_2; area_1,g2,1.097741307021176,0.1
15,1,-0.3750420188458848,0.4280946304805556,0.0681333765520788,-0.3750420188458848,False,psifd; psi2q,0.0033851503482979096,0.03842264742203263,0.041807797770330536,1.4630809779226452,1.5048887756929759,0.027781320749820034,g3; g2,g3; g2,,g3; g2; g1; g6; g4; g7; g10; g5; g8; g9,area_2,area_2,g3,1.1582726608130791,0.1
16,1,-0.3750420188458848,-0.4280946304805556,0.0681333765520788,-0.3750420188458848,False,psifd; psi2q,0.0033851503482979096,0.03842264742203263,0.041807797770330536,1.4630809779226452,1.5048887756929759,0.027781320749820034,g3; g2,g3; g2,,g3; g2; g1; g6; g4; g7; g10; g5; g8; g9,area_2,area_2,g3,1.1582726608130791,0.1
17,1,-0.3799137019684347,0.0,0.0,-0.3799137019684347,False,speed; psifd,0.0193497124015508,1.6787534402494362,1.6981031526509869,0.3079800147068925,2.0060831673578794,0.8464769458623598,g1,g1; g10,0.08884402325611535,g1; g10; g6; g9; g3; g4; g2; g7; g5; g8,area_1,area_1,g1,1.2524038945505986,0.1
18,1,-0.3851287022726908,3.8406486167375546,0.611258212032832,-0.3851287022726908,True,speed; phi,1.2747215335557687,1.2964480991917264,2.571169632747495,0.30898375703505687,2.880153389782552,0.8927196870377849,g1; g9; g6; g5,g1; g9; g6; g5,,g1; g9; g6; g5; g7; g4; g3; g10; g2; g8,area_1; area_3,area_1; area_3,g1,1.63183899137048,0.1
