b:tnow in s,s:ut in p.u.,s:cur1 in p.u.,s:Q1 in Mvar,s:P1 in MW
0,1.0123,0.87978,165.763649,508
0.01,1.012097,0.880921,166.017866,508.532863
0.02,1.012086,0.880915,166.00333,508.527891
0.03,1.012077,0.880907,165.991522,508.52178
0.04,1.01207,0.8809,165.981055,508.51647
0.05,1.012064,0.880894,165.971608,508.512453
0.06,1.012059,0.88089,165.962952,508.509984
0.07,1.012055,0.880888,165.954926,508.509161
0.08,1.012053,0.880888,165.947414,508.50998
0.09,1.012051,0.880889,165.940328,508.512372
0.1,1.012049,0.880893,165.933599,508.516228
0.11,1.012049,0.880899,165.927173,508.521412
0.12,1.012048,0.880906,165.921006,508.527778
0.13,1.012049,0.880914,165.915065,508.535168
0.14,1.012049,0.880923,165.909321,508.543423
0.15,1.01205,0.880934,165.90375,508.552383
0.16,1.012051,0.880945,165.898335,508.56189
0.17,1.012053,0.880956,165.893058,508.571789
0.18,1.012055,0.880968,165.887909,508.581928
0.19,1.012057,0.88098,165.882877,508.592162
0.2,1.012059,0.880991,165.877956,508.60235
0.21,1.012062,0.881002,165.87314,508.612358
0.22,1.012064,0.881013,165.868425,508.622058
0.23,1.012067,0.881022,165.863809,508.631329
0.24,1.01207,0.881031,165.859291,508.640058
0.25,1.012074,0.881038,165.854872,508.648139
0.26,1.012077,0.881045,165.850551,508.655473
0.27,1.012081,0.881049,165.846331,508.66197
0.28,1.012085,0.881053,165.842213,508.667548
0.29,1.012089,0.881054,165.838201,508.672132
0.3,1.012093,0.881054,165.834297,508.675656
0.31,1.012098,0.881052,165.830504,508.678063
0.32,1.012102,0.881048,165.826826,508.679304
0.33,1.012107,0.881042,165.823266,508.679337
0.34,1.012112,0.881034,165.819827,508.678131
0.35,1.012117,0.881024,165.816513,508.67566
0.36,1.012123,0.881012,165.813326,508.671908
0.37,1.012128,0.880997,165.81027,508.666867
0.38,1.012134,0.880981,165.807347,508.660535
0.39,1.012139,0.880963,165.804559,508.652919
0.4,1.012145,0.880942,165.80191,508.644033
0.41,1.012151,0.88092,165.7994,508.633897
0.42,1.012157,0.880896,165.797032,508.622539
0.43,1.012163,0.88087,165.794807,508.609993
0.44,1.01217,0.880842,165.792726,508.596296
0.45,1.012176,0.880812,165.790791,508.581496
0.46,1.012182,0.880781,165.789,508.565641
0.47,1.012189,0.880748,165.787356,508.548787
0.48,1.012195,0.880714,165.785858,508.530993
0.49,1.012201,0.880678,165.784506,508.512321
0.5,1.012208,0.880642,165.783299,508.49284
0.51,1.012214,0.880604,165.782237,508.472619
0.52,1.012221,0.880565,165.781319,508.451729
0.53,1.012227,0.880526,165.780544,508.430247
0.54,1.012233,0.880486,165.779912,508.408249
0.55,1.012239,0.880445,165.779419,508.385812
0.56,1.012246,0.880404,165.779066,508.363016
0.57,1.012252,0.880362,165.778851,508.339942
0.58,1.012257,0.880321,165.778772,508.316668
0.59,1.012263,0.880279,165.778826,508.293275
0.6,1.012269,0.880237,165.779013,508.269843
0.61,1.012274,0.880196,165.779331,508.246451
0.62,1.01228,0.880155,165.779777,508.223176
0.63,1.012285,0.880115,165.780349,508.200096
0.64,1.01229,0.880075,165.781045,508.177285
0.65,1.012295,0.880036,165.781864,508.154816
0.66,1.012299,0.879998,165.782802,508.132761
0.67,1.012304,0.879961,165.783858,508.111189
0.68,1.012308,0.879925,165.78503,508.090165
0.69,1.012312,0.879891,165.786316,508.069755
0.7,1.012316,0.879857,165.787712,508.050018
0.71,1.012319,0.879825,165.789217,508.031014
0.72,1.012322,0.879795,165.790829,508.012797
0.73,1.012325,0.879766,165.792545,507.99542
0.74,1.012328,0.879739,165.794363,507.978932
0.75,1.01233,0.879713,165.796281,507.963378
0.76,1.012332,0.87969,165.798296,507.948802
0.77,1.012334,0.879668,165.800406,507.935242
0.78,1.012336,0.879648,165.802609,507.922734
0.79,1.012337,0.87963,165.804901,507.911312
0.8,1.012338,0.879614,165.807281,507.901005
0.81,1.012339,0.879601,165.809746,507.89184
0.82,1.012339,0.879589,165.812294,507.883838
0.83,1.012339,0.87958,165.814921,507.877021
0.84,1.012339,0.879572,165.817625,507.871404
0.85,1.012339,0.879567,165.820404,507.867002
0.86,1.012338,0.879564,165.823254,507.863826
0.87,1.012337,0.879564,165.826174,507.861881
0.88,1.012336,0.879565,165.829158,507.861175
0.89,1.012334,0.879569,165.832206,507.861707
0.9,1.012332,0.879575,165.835313,507.863477
0.91,1.01233,0.879583,165.838477,507.866481
0.92,1.012328,0.879594,165.841694,507.870713
0.93,1.012325,0.879606,165.844961,507.876164
0.94,1.012322,0.879621,165.848274,507.882821
0.95,1.012319,0.879638,165.851631,507.89067
0.96,1.012315,0.879657,165.855028,507.899694
