"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
0.000000,1.009837,0.812445,234.999932,699.999933
0.010000,1.017928,0.748477,217.645068,650.248530
0.020000,1.017870,0.749477,217.910219,651.084870
0.030000,1.017753,0.750407,218.140508,651.822942
0.040000,1.017594,0.751302,218.361652,652.500221
0.050000,1.017405,0.752188,218.591500,653.143217
0.060000,1.017193,0.753080,218.842334,653.770395
0.070000,1.016966,0.753993,219.122504,654.394311
0.080000,1.016724,0.754933,219.437586,655.023181
0.090000,1.016472,0.755905,219.791209,655.662020
0.100000,1.016209,0.756913,220.185636,656.313494
0.110000,1.015937,0.757957,220.622166,656.978534
0.120000,1.015656,0.759038,221.101428,657.656797
0.130000,1.015365,0.760153,221.623574,658.347004
0.140000,1.015065,0.761301,222.188424,659.047193
0.150000,1.014756,0.762480,222.795557,659.754911
0.160000,1.014436,0.763687,223.444381,660.467351
0.170000,1.014106,0.764919,224.134178,661.181469
0.180000,1.013765,0.766173,224.864140,661.894058
0.190000,1.013413,0.767446,225.633388,662.601817
0.200000,1.013050,0.768733,226.440988,663.301402
0.210000,1.012674,0.770032,227.285956,663.989468
0.220000,1.012287,0.771339,228.167268,664.662701
0.230000,1.011887,0.772652,229.083864,665.317845
0.240000,1.011475,0.773965,230.034648,665.951731
0.250000,1.011050,0.775277,231.018492,666.561289
0.260000,1.010612,0.776584,232.034234,667.143574
0.270000,1.010161,0.777883,233.080682,667.695777
0.280000,1.009697,0.779171,234.156614,668.215238
0.290000,1.009220,0.780446,235.260776,668.699460
0.300000,1.008729,0.781703,236.391897,669.146114
0.310000,1.008226,0.782942,237.548699,669.553047
0.320000,1.007708,0.784160,238.729897,669.918281
0.330000,1.007178,0.785354,239.934197,670.240022
0.340000,1.006634,0.786522,241.160290,670.516663
0.350000,1.006078,0.787664,242.406860,670.746788
0.360000,1.005508,0.788776,243.672575,670.929180
0.370000,1.004925,0.789858,244.956092,671.062815
0.380000,1.004330,0.790907,246.256049,671.146866
0.390000,1.003722,0.791924,247.571074,671.180704
0.400000,1.003102,0.792907,248.899792,671.163896
0.410000,1.002469,0.793855,250.240836,671.096201
0.420000,1.001825,0.794768,251.592847,670.977570
0.430000,1.001169,0.795644,252.954477,670.808145
0.440000,1.000501,0.796485,254.324393,670.588251
0.450000,0.999823,0.797289,255.701286,670.318399
0.460000,0.999133,0.798057,257.083871,669.999276
0.470000,0.998433,0.798789,258.470872,669.631733
0.480000,0.997724,0.799486,259.860968,669.216737
0.490000,0.997004,0.800147,261.252820,668.755389
0.500000,0.996275,0.800773,262.645100,668.248933
0.510000,0.995537,0.801365,264.036514,667.698757
0.520000,0.994790,0.801923,265.425831,667.106382
0.530000,0.994035,0.802450,266.811884,666.473485
0.540000,0.993272,0.802945,268.193589,665.801905
0.550000,0.992502,0.803410,269.569927,665.093583
0.560000,0.991725,0.803846,270.939855,664.350515
0.570000,0.990943,0.804254,272.302331,663.574765
0.580000,0.990154,0.804636,273.656332,662.768467
0.590000,0.989361,0.804993,275.000852,661.933819
0.600000,0.988563,0.805327,276.334911,661.073070
0.610000,0.987761,0.805639,277.657548,660.188516
0.620000,0.986955,0.805930,278.967827,659.282487
0.630000,0.986147,0.806201,280.264841,658.357341
0.640000,0.985337,0.806456,281.547715,657.415450
0.650000,0.984525,0.806694,282.815607,656.459191
0.660000,0.983712,0.806918,284.067713,655.490935
0.670000,0.982898,0.807129,285.303270,654.513036
0.680000,0.982085,0.807328,286.521550,653.527805
0.690000,0.981272,0.807517,287.721844,652.537549
0.700000,0.980461,0.807697,288.903469,651.544547
0.710000,0.979651,0.807871,290.065763,650.551025
0.720000,0.978845,0.808038,291.208076,649.559155
0.730000,0.978041,0.808200,292.329781,648.571034
0.740000,0.977241,0.808359,293.430270,647.588690
0.750000,0.976446,0.808516,294.508990,646.614095
0.760000,0.975655,0.808671,295.565437,645.649170
0.770000,0.974870,0.808827,296.599150,644.695733
0.780000,0.974091,0.808982,297.609683,643.755538
0.790000,0.973318,0.809140,298.596605,642.830289
0.800000,0.972552,0.809300,299.559504,641.921584
0.810000,0.971794,0.809463,300.497977,641.030940
0.820000,0.971045,0.809631,301.411632,640.159793
0.830000,0.970304,0.809803,302.300101,639.309496
0.840000,0.969572,0.809980,303.163059,638.481304
0.850000,0.968850,0.810162,304.000217,637.676373
0.860000,0.968138,0.810351,304.811316,636.895763
0.870000,0.967437,0.810545,305.596124,636.140431
0.880000,0.966747,0.810746,306.354433,635.411240
0.890000,0.966069,0.810954,307.086062,634.708952
0.900000,0.965403,0.811168,307.790852,634.034234
0.910000,0.964750,0.811389,308.468667,633.387657
0.920000,0.964110,0.811617,309.119388,632.769697
0.930000,0.963483,0.811851,309.742920,632.180739
0.940000,0.962870,0.812091,310.339181,631.621076
0.950000,0.962271,0.812337,310.908110,631.090916
0.960000,0.961686,0.812589,311.449657,630.590377
0.970000,0.961117,0.812846,311.963789,630.119498
0.980000,0.960563,0.813107,312.450484,629.678236
0.990000,0.960025,0.813373,312.909732,629.266473
1.000000,0.959502,0.813642,313.341535,628.884015
1.010000,0.939707,0.913309,356.238264,685.364953
1.020000,0.938866,0.911925,355.378540,683.715037
1.030000,0.938212,0.910720,354.659511,682.336568
1.040000,0.937704,0.909628,354.010252,681.165696
1.050000,0.937316,0.908598,353.380186,680.156299
1.060000,0.937030,0.907595,352.733320,679.275060
1.070000,0.936831,0.906593,352.044122,678.497903
1.080000,0.936710,0.905573,351.294575,677.807406
1.090000,0.936661,0.904522,350.472065,677.190938
1.100000,0.936681,0.903430,349.567873,676.639298
1.110000,0.936765,0.902289,348.576084,676.145726
1.120000,0.936912,0.901094,347.492815,675.705193
1.130000,0.937122,0.899843,346.315651,675.313875
1.140000,0.937392,0.898531,345.043248,674.968777
1.150000,0.937723,0.897159,343.675043,674.667458
1.160000,0.938115,0.895725,342.211051,674.407834
1.170000,0.938567,0.894227,340.651720,674.188033
1.180000,0.939079,0.892667,338.997826,674.006292
1.190000,0.939650,0.891044,337.250398,673.860885
1.200000,0.940282,0.889358,335.410673,673.750070
1.210000,0.940972,0.887609,333.480055,673.672056
1.220000,0.941722,0.885798,331.460097,673.624980
1.230000,0.942530,0.883925,329.352480,673.606890
1.240000,0.943396,0.881992,327.159011,673.615741
1.250000,0.944319,0.879998,324.881612,673.649392
1.260000,0.945299,0.877944,322.522323,673.705607
1.270000,0.946335,0.875831,320.083298,673.782061
1.280000,0.947425,0.873661,317.566811,673.876345
1.290000,0.948570,0.871433,314.975253,673.985981
1.300000,0.949767,0.869150,312.311141,674.108424
1.310000,0.951016,0.866811,309.577117,674.241082
1.320000,0.952316,0.864419,306.775951,674.381325
1.330000,0.953664,0.861974,303.910543,674.526498
1.340000,0.955059,0.859479,300.983920,674.673935
1.350000,0.956500,0.856933,297.999239,674.820971
1.360000,0.957985,0.854340,294.959785,674.964965
1.370000,0.959511,0.851701,291.868978,675.103309
1.380000,0.961079,0.849017,288.730360,675.233447
1.390000,0.962684,0.846291,285.547597,675.352886
1.400000,0.964325,0.843524,282.324449,675.459200
1.410000,0.966000,0.840719,279.064767,675.550049
1.420000,0.967707,0.837878,275.772500,675.623201
1.430000,0.969443,0.835004,272.451696,675.676543
1.440000,0.971205,0.832098,269.106500,675.708095
1.450000,0.972992,0.829165,265.741146,675.716026
1.460000,0.974800,0.826205,262.359957,675.698669
1.470000,0.976628,0.823223,258.967334,675.654522
1.480000,0.978471,0.820222,255.567837,675.581992
1.490000,0.980328,0.817203,252.166088,675.479596
1.500000,0.982196,0.814171,248.766574,675.346641
1.510000,0.984072,0.811129,245.373884,675.182638
1.520000,0.985953,0.808080,241.992781,674.987172
1.530000,0.987837,0.805029,238.628342,674.759922
1.540000,0.989720,0.801979,235.285643,674.500728
1.550000,0.991600,0.798934,231.969402,674.209816
1.560000,0.993475,0.795897,228.684151,673.887718
1.570000,0.995342,0.792873,225.434610,673.535174
1.580000,0.997197,0.789866,222.225452,673.153123
1.590000,0.999040,0.786879,219.061087,672.742700
1.600000,1.000867,0.783916,215.945752,672.305203
1.610000,1.002676,0.780981,212.883567,671.842241
1.620000,1.004465,0.778079,209.878609,671.355546
1.630000,1.006232,0.775212,206.934783,670.847003
1.640000,1.007974,0.772386,204.055765,670.318674
1.650000,1.009689,0.769604,201.244904,669.772769
1.660000,1.011375,0.766868,198.504645,669.211306
1.670000,1.013030,0.764183,195.837074,668.636456
1.680000,1.014652,0.761553,193.245174,668.051089
1.690000,1.016240,0.758981,190.731944,667.458292
1.700000,1.017792,0.756470,188.299818,666.860605
1.710000,1.019307,0.754025,185.951057,666.260986
1.720000,1.020783,0.751647,183.687799,665.662555
1.730000,1.022221,0.749342,181.511962,665.068385
1.740000,1.023618,0.747111,179.425103,664.481280
1.750000,1.024973,0.744957,177.428028,663.904141
1.760000,1.026287,0.742882,175.521238,663.340144
1.770000,1.027558,0.740891,173.705338,662.792525
1.780000,1.028787,0.738984,171.980879,662.264486
1.790000,1.029972,0.737165,170.348174,661.759123
1.800000,1.031114,0.735435,168.807273,661.279412
1.810000,1.032213,0.733797,167.358010,660.828226
1.820000,1.033269,0.732252,165.999802,660.408212
1.830000,1.034280,0.730802,164.731925,660.021958
1.840000,1.035249,0.729449,163.553849,659.672135
1.850000,1.036173,0.728194,162.464390,659.360964
1.860000,1.037055,0.727037,161.462150,659.090540
1.870000,1.037893,0.725981,160.546512,658.863291
1.880000,1.038689,0.725027,159.717039,658.681590
1.890000,1.039443,0.724174,158.972878,658.547435
1.900000,1.040155,0.723425,158.313059,658.462596
1.910000,1.040827,0.722779,157.736571,658.428675
1.920000,1.041458,0.722238,157.242380,658.447102
1.930000,1.042050,0.721800,156.829454,658.519132
1.940000,1.042602,0.721467,156.496781,658.645846
1.950000,1.043115,0.721239,156.243380,658.828143
1.960000,1.043590,0.721115,156.068318,659.066744
1.970000,1.044027,0.721095,155.970725,659.362183
1.980000,1.044427,0.721179,155.949795,659.714811
1.990000,1.044789,0.721366,156.004807,660.124788
2.000000,1.045115,0.721657,156.135120,660.592084
2.010000,1.045405,0.722049,156.340189,661.116479
2.020000,1.045658,0.722544,156.619560,661.697555
2.030000,1.045876,0.723138,156.972876,662.334701
2.040000,1.046058,0.723833,157.399876,663.027109
2.050000,1.046204,0.724626,157.900395,663.773771
2.060000,1.046315,0.725517,158.474358,664.573486
2.070000,1.046390,0.726504,159.121775,665.424850
2.080000,1.046430,0.727585,159.842735,666.326264
2.090000,1.046434,0.728760,160.637398,667.275933
2.100000,1.046402,0.730026,161.505987,668.271867
