k,Cluster,Frequency,Damping,Size
1,1,0.5430797610810182,-0.12668400558933188,143
2,1,1.0574425207798803,-0.7610836643622292,46
2,2,0.5429015817830799,-0.12590312417136376,97
3,1,0.5620510374536493,-1.2410458079616349,2
3,2,1.0574425207798803,-0.7610836643622292,45
3,3,0.5429015817830799,-0.12590312417136376,96
4,1,0.5620510374536493,-1.2410458079616349,2
4,2,1.0400458682051277,-0.7987130397856492,25
4,3,0.5429015817830799,-0.12590312417136376,96
4,4,1.06833659589098,-0.7205808487866145,20
5,1,0.5620510374536493,-1.2410458079616349,1
5,2,1.0400458682051277,-0.7987130397856492,25
5,3,0.3086929279825288,-0.8367329250765495,1
5,4,0.5429015817830799,-0.12590312417136376,96
5,5,1.06833659589098,-0.7205808487866145,20
6,1,0.5620510374536493,-1.2410458079616349,1
6,2,1.0400458682051277,-0.7987130397856492,25
6,3,0.3086929279825288,-0.8367329250765495,1
6,4,0.5429015817830799,-0.12590312417136376,96
6,5,1.06833659589098,-0.7205808487866145,17
6,6,1.0601087639462432,-0.5657278166052118,3
7,1,0.5620510374536493,-1.2410458079616349,1
7,2,1.0434640406238005,-0.8381662359710086,9
7,3,0.3086929279825288,-0.8367329250765495,1
7,4,1.0523872659453073,-0.7755657342490936,17
7,5,0.5429015817830799,-0.12590312417136376,96
7,6,1.06833659589098,-0.7205808487866145,16
7,7,1.0601087639462432,-0.5657278166052118,3
8,1,0.5620510374536493,-1.2410458079616349,1
8,2,1.0438526370236076,-0.7766959034997137,13
8,3,0.3086929279825288,-0.8367329250765495,1
8,4,0.5429015817830799,-0.12590312417136376,96
8,5,1.06833659589098,-0.7205808487866145,16
8,6,1.02471610535131,-0.8480213439786539,6
8,7,1.0601087639462432,-0.5657278166052118,3
8,8,1.0941187482324386,-0.8172944035258629,7
9,1,0.5620510374536493,-1.2410458079616349,1
9,2,1.0438526370236076,-0.7766959034997137,13
9,3,0.3086929279825288,-0.8367329250765495,1
9,4,0.5429015817830799,-0.12590312417136376,96
9,5,1.0855486449544476,-0.2592247801729124,1
9,6,1.06833659589098,-0.7205808487866145,16
9,7,1.02471610535131,-0.8480213439786539,6
9,8,1.0601087639462432,-0.5657278166052118,2
9,9,1.0941187482324386,-0.8172944035258629,7
10,1,0.5620510374536493,-1.2410458079616349,1
10,2,1.0438526370236076,-0.7766959034997137,13
10,3,0.3086929279825288,-0.8367329250765495,1
10,4,1.0164976084778763,-1.0680233568942183,2
10,5,0.5429015817830799,-0.12590312417136376,96
10,6,1.0855486449544476,-0.2592247801729124,1
10,7,1.06833659589098,-0.7205808487866145,16
10,8,1.02471610535131,-0.8480213439786539,5
10,9,1.0601087639462432,-0.5657278166052118,2
10,10,1.0941187482324386,-0.8172944035258629,6
