"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
0.000000,1.029756,0.781235,184.999959,699.999940
0.010000,1.036261,0.741633,168.706790,670.782835
0.020000,1.036344,0.741279,169.055125,670.411478
0.030000,1.036361,0.740936,169.375979,670.012332
0.040000,1.036330,0.740603,169.679781,669.593482
0.050000,1.036262,0.740279,169.974778,669.160473
0.060000,1.036168,0.739963,170.267493,668.717143
0.070000,1.036053,0.739655,170.563086,668.266217
0.080000,1.035921,0.739355,170.865647,667.809702
0.090000,1.035776,0.739063,171.178425,667.349171
0.100000,1.035620,0.738780,171.504008,666.885941
0.110000,1.028654,0.779226,188.973959,696.207624
0.120000,1.028372,0.779359,188.993214,696.125468
0.130000,1.028147,0.779500,189.068737,696.075728
0.140000,1.027961,0.779648,189.187372,696.050884
0.150000,1.027801,0.779808,189.338871,696.046241
0.160000,1.027659,0.779979,189.515254,696.058999
0.170000,1.027528,0.780164,189.710302,696.087591
0.180000,1.027405,0.780362,189.919155,696.131260
0.190000,1.027286,0.780576,190.137998,696.189754
0.200000,1.027168,0.780806,190.363837,696.263082
0.210000,1.027052,0.781052,190.594301,696.351372
0.220000,1.026937,0.781315,190.827499,696.454777
0.230000,1.026821,0.781594,191.061906,696.573411
0.240000,1.026705,0.781889,191.296279,696.707314
0.250000,1.026589,0.782200,191.529592,696.856425
0.260000,1.026472,0.782527,191.760978,697.020571
0.270000,1.026356,0.782868,191.989697,697.199465
0.280000,1.026240,0.783223,192.215105,697.392703
0.290000,1.026125,0.783591,192.436627,697.599771
0.300000,1.026010,0.783971,192.653742,697.820049
0.310000,1.025897,0.784361,192.865971,698.052818
0.320000,1.025785,0.784762,193.072865,698.297268
0.330000,1.025676,0.785170,193.274000,698.552508
0.340000,1.025568,0.785586,193.468968,698.817567
0.350000,1.025463,0.786007,193.657375,699.091411
0.360000,1.025360,0.786432,193.838839,699.372950
0.370000,1.025261,0.786859,194.012983,699.661043
0.380000,1.025165,0.787288,194.179443,699.954507
0.390000,1.025072,0.787716,194.337859,700.252123
0.400000,1.024983,0.788141,194.487878,700.552647
0.410000,1.024898,0.788563,194.629154,700.854814
0.420000,1.024818,0.788980,194.761348,701.157346
0.430000,1.024742,0.789389,194.884129,701.458959
0.440000,1.024670,0.789789,194.997175,701.758373
0.450000,1.024604,0.790180,195.100170,702.054311
0.460000,1.024542,0.790558,195.192812,702.345514
0.470000,1.024486,0.790924,195.274808,702.630739
0.480000,1.024435,0.791274,195.345876,702.908770
0.490000,1.024390,0.791608,195.405749,703.178423
0.500000,1.024350,0.791925,195.454173,703.438547
0.510000,1.024316,0.792223,195.490909,703.688035
0.520000,1.024288,0.792500,195.515736,703.925824
0.530000,1.024267,0.792756,195.528449,704.150902
0.540000,1.024251,0.792989,195.528859,704.362310
0.550000,1.024241,0.793199,195.516800,704.559148
0.560000,1.024237,0.793384,195.492125,704.740576
0.570000,1.024240,0.793544,195.454707,704.905819
0.580000,1.024249,0.793677,195.404440,705.054170
0.590000,1.024265,0.793784,195.341245,705.184991
0.600000,1.024287,0.793863,195.265061,705.297714
0.610000,1.024315,0.793914,195.175853,705.391848
0.620000,1.024349,0.793936,195.073613,705.466973
0.630000,1.024390,0.793929,194.958354,705.522748
0.640000,1.024437,0.793893,194.830117,705.558908
0.650000,1.024491,0.793828,194.688966,705.575266
0.660000,1.024550,0.793734,194.534995,705.571711
0.670000,1.024616,0.793611,194.368319,705.548210
0.680000,1.024687,0.793458,194.189082,705.504807
0.690000,1.024765,0.793277,193.997454,705.441623
0.700000,1.024848,0.793067,193.793629,705.358854
0.710000,1.024937,0.792830,193.577828,705.256768
0.720000,1.025032,0.792565,193.350298,705.135708
0.730000,1.025132,0.792273,193.111307,704.996084
0.740000,1.025238,0.791955,192.861152,704.838378
0.750000,1.025348,0.791612,192.600152,704.663134
0.760000,1.025464,0.791244,192.328647,704.470963
0.770000,1.025584,0.790853,192.047002,704.262533
0.780000,1.025709,0.790440,191.755604,704.038571
0.790000,1.025838,0.790005,191.454859,703.799859
0.800000,1.025972,0.789550,191.145193,703.547229
0.810000,1.026110,0.789076,190.827052,703.281559
0.820000,1.026251,0.788585,190.500900,703.003773
0.830000,1.026396,0.788077,190.167216,702.714832
0.840000,1.026545,0.787554,189.826498,702.415735
0.850000,1.026697,0.787018,189.479254,702.107511
0.860000,1.026852,0.786469,189.126010,701.791217
0.870000,1.027009,0.785910,188.767303,701.467933
0.880000,1.027169,0.785341,188.403679,701.138758
0.890000,1.027332,0.784765,188.035696,700.804804
0.900000,1.027496,0.784183,187.663920,700.467195
0.910000,1.027662,0.783596,187.288925,700.127058
0.920000,1.027830,0.783006,186.911291,699.785520
0.930000,1.027999,0.782414,186.531603,699.443707
0.940000,1.028170,0.781822,186.150446,699.102738
0.950000,1.028341,0.781232,185.768410,698.763721
0.960000,1.028513,0.780644,185.386087,698.427747
0.970000,1.028686,0.780061,185.004066,698.095887
0.980000,1.028859,0.779484,184.622934,697.769187
0.990000,1.029032,0.778913,184.243276,697.448664
1.000000,1.029204,0.778352,183.865669,697.135305
1.010000,1.029377,0.777800,183.490685,696.830060
1.020000,1.029548,0.777259,183.118890,696.533843
1.030000,1.029719,0.776730,182.750841,696.247522
1.040000,1.029889,0.776215,182.387087,695.971923
1.050000,1.030057,0.775714,182.028165,695.707820
1.060000,1.030225,0.775229,181.674601,695.455942
1.070000,1.030390,0.774760,181.326908,695.216966
1.080000,1.030554,0.774309,180.985586,694.991517
1.090000,1.030716,0.773876,180.651120,694.780167
1.100000,1.030875,0.773463,180.323982,694.583428
1.110000,1.031033,0.773069,180.004627,694.401754
1.120000,1.031187,0.772695,179.693494,694.235538
