Gen,Signal,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
g1,Active Power,Inter-area,0.54,-0.127,6,0.03483585604471821,0.03740171401354672,0.07899491288046001
g1,Active Power,Intra-area 2,1.119,-0.631,5,0.14884608062013122,0.16451797443163826,0.1954161132046641
g1,Current,Inter-area,0.54,-0.127,6,0.03584517053147275,0.034066170203559065,0.05481084978356107
g1,Current,Intra-area 2,1.119,-0.631,5,0.15118513569515218,0.15529710768151989,0.16809575826206907
g1,Reactive Power,Inter-area,0.54,-0.127,6,0.0178551015274325,0.01775006437109683,0.0286550287126947
g1,Reactive Power,Intra-area 2,1.119,-0.631,2,0.17488901768264495,0.17488901768264495,0.1876868768172014
g1,Voltage,Inter-area,0.54,-0.127,6,0.027350062412650818,0.0256197293221075,0.04639229496581195
g1,Voltage,Intra-area 1,1.083,-0.603,1,0.8219974236105261,0.8219974236105261,0.8219974236105261
g2,Active Power,Inter-area,0.54,-0.127,6,0.03855809263119242,0.04022483355661434,0.06861426556045987
g2,Active Power,Intra-area 1,1.083,-0.603,1,0.2512557304730406,0.2512557304730406,0.2512557304730406
g2,Active Power,Intra-area 2,1.119,-0.631,5,0.10934264203479548,0.11503990153415906,0.1443844540312489
g2,Current,Inter-area,0.54,-0.127,7,0.06994416647042001,0.14444813390747546,0.7484802292819005
g2,Current,Intra-area 2,1.119,-0.631,2,0.16530500796532077,0.16530500796532077,0.1682716929295918
g2,Reactive Power,Inter-area,0.54,-0.127,6,0.037045748294375666,0.033140589308997895,0.04132024518224351
g2,Reactive Power,Intra-area 1,1.083,-0.603,1,0.04046654069291903,0.04046654069291903,0.04046654069291903
g2,Voltage,Inter-area,0.54,-0.127,6,0.02024448645222051,0.02149491612012352,0.028852564834806763
g3,Active Power,Inter-area,0.54,-0.127,6,0.027007578715279514,0.02655723646683494,0.037363890451293125
g3,Active Power,Intra-area 1,1.083,-0.603,1,0.09498073105896498,0.09498073105896498,0.09498073105896498
g3,Active Power,Intra-area 2,1.119,-0.631,2,0.09978922067530979,0.09978922067530979,0.12548848327612722
g3,Current,Inter-area,0.54,-0.127,6,0.03202579257801472,0.024133895276995304,0.03738374324482498
g3,Current,Intra-area 2,1.119,-0.631,3,0.09773708362288533,0.09773708362288532,0.09773708362288533
g3,Reactive Power,Inter-area,0.54,-0.127,6,0.010749009594265654,0.016675622803953783,0.03898804091844907
g3,Reactive Power,Intra-area 2,1.119,-0.631,5,0.22477735306554994,0.1796924069540749,0.22477735306554994
g3,Voltage,Inter-area,0.54,-0.127,6,0.024353776524506248,0.02335959351802334,0.026775680484845455
g3,Voltage,Intra-area 1,1.083,-0.603,1,0.3515265913013897,0.3515265913013897,0.3515265913013897
g3,Voltage,Intra-area 2,1.119,-0.631,3,0.4441319935183467,0.33281468776030115,0.4441319935183467
g4,Active Power,Inter-area,0.54,-0.127,6,0.018989041394556313,0.01987330899684726,0.029236639193955666
g4,Active Power,Intra-area 2,1.119,-0.631,3,0.21880802213467881,0.19650391608988058,0.22704800428019464
g4,Current,Inter-area,0.54,-0.127,6,0.010104354449722805,0.014215148828358523,0.030573212212126576
g4,Current,Intra-area 1,1.083,-0.603,1,0.2848273702284926,0.2848273702284926,0.2848273702284926
g4,Current,Intra-area 2,1.119,-0.631,2,0.13228927794962175,0.13228927794962175,0.15321933716846634
g4,Reactive Power,Inter-area,0.54,-0.127,6,0.016014226570926736,0.01895954027686877,0.04334145196106639
g4,Reactive Power,Intra-area 1,1.083,-0.603,2,0.3647733649870596,0.3647733649870596,0.3647733649870596
g4,Reactive Power,Intra-area 2,1.119,-0.631,3,0.12614907954057397,0.20287435966236064,0.356324919905934
g4,Voltage,Inter-area,0.54,-0.127,6,0.03227329629049643,0.04211845516327006,0.06481382019765669
g4,Voltage,Intra-area 1,1.083,-0.603,2,0.04706744232563207,0.04706744232563207,0.04706744232563207
g4,Voltage,Intra-area 2,1.119,-0.631,1,0.19197310152422659,0.19197310152422659,0.19197310152422659
