Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Inter-area,0.54,-0.127,16,0.0035738409055790215,0.005750810846969674,0.01818682047913955
Order 4,Inter-area,0.54,-0.127,17,0.0068886164598897705,0.05197087950436841,0.746474236998951
Order 4,Intra-area 2,1.119,-0.631,4,0.2029378854880099,0.18891280737458518,0.2366172363385543
Order 6,Inter-area,0.54,-0.127,16,0.0034540630994453233,0.003682434877688352,0.005403820518547325
Order 6,Intra-area 1,1.083,-0.603,1,0.8237052110041967,0.8237052110041967,0.8237052110041967
Order 6,Intra-area 2,1.119,-0.631,14,0.1582284828542837,0.181962533779934,0.4488832306175489
Tau 0.01,Inter-area,0.54,-0.127,16,0.0031513018475846878,0.0035247729115302226,0.006594991152315774
Tau 0.01,Intra-area 1,1.083,-0.603,2,0.1937625435756377,0.1937625435756377,0.3437846671362382
Tau 0.01,Intra-area 2,1.119,-0.631,11,0.15334433924049182,0.13363432471598904,0.18407014007644198
Tau 0.1,Inter-area,0.54,-0.127,16,0.0031345706969380773,0.0038524689942999266,0.0068886164598897705
Tau 0.1,Intra-area 1,1.083,-0.603,2,0.07442712126385917,0.07442712126385917,0.1051138225126811
Tau 0.1,Intra-area 2,1.119,-0.631,8,0.1536600951084257,0.1623537746922461,0.2366172363385543
Tau 1,Inter-area,0.54,-0.127,16,0.0035738409055790215,0.003915523112730852,0.0068886164598897705
Tau 1,Intra-area 2,1.119,-0.631,4,0.2029378854880099,0.18891280737458518,0.2366172363385543
