Gen,Signal,Method,R2,RMSE,Poles
Generator 1,Voltage,Order 2,0.9940512494652803,8.352917213348525e-05,1
Generator 1,Voltage,Order 4,0.9973356680906199,5.590098517025565e-05,2
Generator 1,Voltage,Order 6,0.9953314129664956,7.39976671554166e-05,2
Generator 1,Voltage,Tau 1,0.9940512494652803,8.352917213348525e-05,1
Generator 1,Voltage,Tau 0.1,0.9940324814768094,8.366083339536564e-05,1
Generator 1,Voltage,Tau 0.01,0.9936009117860776,8.663319817517765e-05,1
Generator 1,Current,Order 2,0.9394601015200997,0.0005641245942651484,1
Generator 1,Current,Order 4,0.9983849502162628,9.213977491060685e-05,2
Generator 1,Current,Order 6,0.998383706698424,9.217523988775245e-05,2
Generator 1,Current,Tau 1,0.9983849502162628,9.213977491060685e-05,2
Generator 1,Current,Tau 0.1,0.9983799139862417,9.22833233990084e-05,2
Generator 1,Current,Tau 0.01,0.9997660082884168,3.507150695544152e-05,3
Generator 1,Active Power,Order 2,0.7176717129382113,0.5223610009288442,1
Generator 1,Active Power,Order 4,0.9962594616765743,0.060125763340554576,2
Generator 1,Active Power,Order 6,0.9902103832440083,0.0972694351644535,2
Generator 1,Active Power,Tau 1,0.9962594616765743,0.060125763340554576,2
Generator 1,Active Power,Tau 0.1,0.990288279193914,0.09688167597858077,2
Generator 1,Active Power,Tau 0.01,0.990288279193914,0.09688167597858077,2
Generator 1,Reactive Power,Order 2,0.9953461193691565,0.15133227129520144,1
Generator 1,Reactive Power,Order 4,0.9980507739869787,0.09793885665308409,2
Generator 1,Reactive Power,Order 6,0.9999607874125316,0.013891101373068615,3
Generator 1,Reactive Power,Tau 1,0.9953461193691565,0.15133227129520144,1
Generator 1,Reactive Power,Tau 0.1,0.9980507739869787,0.09793885665308409,2
Generator 1,Reactive Power,Tau 0.01,0.9999607874125316,0.013891101373068615,3
Generator 2,Voltage,Order 2,0.9948519089787712,0.00010013388696252247,1
Generator 2,Voltage,Order 4,0.9981538597276304,5.996396119961742e-05,2
Generator 2,Voltage,Order 6,0.9944029757872962,0.0001044086689425404,1
Generator 2,Voltage,Tau 1,0.9948519089787712,0.00010013388696252247,1
Generator 2,Voltage,Tau 0.1,0.9943362314512393,0.00010502935903038916,1
Generator 2,Voltage,Tau 0.01,0.9943362314512393,0.00010502935903038916,1
Generator 2,Current,Order 2,0.9476918920756017,0.0005913875662843665,1
Generator 2,Current,Order 4,0.9507923747784807,0.0005735930585606124,2
Generator 2,Current,Order 6,0.9999452515176745,1.9132588292238514e-05,3
Generator 2,Current,Tau 1,0.9476918920756017,0.0005913875662843665,1
Generator 2,Current,Tau 0.1,0.9476918920756017,0.0005913875662843665,1
Generator 2,Current,Tau 0.01,0.9999452515176745,1.9132588292238514e-05,3
Generator 2,Active Power,Order 2,0.5978262968662749,0.5277795559629497,1
Generator 2,Active Power,Order 4,0.9950373266319862,0.05862779684884898,2
Generator 2,Active Power,Order 6,0.9911749817436508,0.07818141647478068,2
Generator 2,Active Power,Tau 1,0.9950373266319862,0.05862779684884898,2
Generator 2,Active Power,Tau 0.1,0.99242648903536,0.07242597620711401,2
Generator 2,Active Power,Tau 0.01,0.9911749817436508,0.07818141647478068,2
Generator 2,Reactive Power,Order 2,0.9970785374953172,0.14449566225783997,1
Generator 2,Reactive Power,Order 4,0.9994994656936301,0.05980969338768777,2
Generator 2,Reactive Power,Order 6,0.9999702213911372,0.01458837283808124,3
Generator 2,Reactive Power,Tau 1,0.9970785374953172,0.14449566225783997,1
Generator 2,Reactive Power,Tau 0.1,0.9970669486029434,0.14478197216432304,1
Generator 2,Reactive Power,Tau 0.01,0.9994994656936301,0.05980969338768777,2
Generator 3,Voltage,Order 2,0.979762773006461,4.275330952607255e-05,1
Generator 3,Voltage,Order 4,0.9763919445700205,4.6176854448696516e-05,1
Generator 3,Voltage,Order 6,0.9985705874124641,1.1362477562164509e-05,3
Generator 3,Voltage,Tau 1,0.979762773006461,4.275330952607255e-05,1
Generator 3,Voltage,Tau 0.1,0.9906291548985903,2.9092672432525933e-05,2
Generator 3,Voltage,Tau 0.01,0.9914672135074384,2.7761292177578343e-05,3
Generator 3,Current,Order 2,0.9853711390446152,0.0005376505037773672,1
Generator 3,Current,Order 4,0.9836926790082944,0.0005676571481200212,1
Generator 3,Current,Order 6,0.9999713425901646,2.379651001952013e-05,3
Generator 3,Current,Tau 1,0.9853711390446152,0.0005376505037773672,1
Generator 3,Current,Tau 0.1,0.997393191459517,0.000226960023960793,2
Generator 3,Current,Tau 0.01,0.9999713425901646,2.379651001952013e-05,3
Generator 3,Active Power,Order 2,0.9882315674401582,0.47196499213537607,1
Generator 3,Active Power,Order 4,0.9869920200024187,0.49619845184099437,1
Generator 3,Active Power,Order 6,0.9999398493722237,0.03374197947145276,3
Generator 3,Active Power,Tau 1,0.9882315674401582,0.47196499213537607,1
Generator 3,Active Power,Tau 0.1,0.9966050795559265,0.25349259394766377,2
Generator 3,Active Power,Tau 0.01,0.9999398493722237,0.03374197947145276,3
