Gen,Signal,Method,R2,RMSE,Poles
Generator 1,Voltage,Order 2,0.9940543911729205,8.350711213161191e-05,1
Generator 1,Voltage,Order 4,0.9973356751691016,5.59009109125468e-05,2
Generator 1,Voltage,Order 6,0.9953349229439167,7.3969845142508e-05,2
Generator 1,Voltage,Tau 1,0.9940543911729205,8.350711213161191e-05,1
Generator 1,Voltage,Tau 0.1,0.9940356521591044,8.363860496268241e-05,1
Generator 1,Voltage,Tau 0.01,0.9936039555724255,8.661259177770823e-05,1
Generator 1,Current,Order 2,0.9394630440605555,0.0005641108844667064,1
Generator 1,Current,Order 4,0.9983876528476031,9.206264908116006e-05,2
Generator 1,Current,Order 6,0.9983860342651055,9.210884682902233e-05,2
Generator 1,Current,Tau 1,0.9983876528476031,9.206264908116006e-05,2
Generator 1,Current,Tau 0.1,0.9983822543234145,9.221664417812767e-05,2
Generator 1,Current,Tau 0.01,0.9997660459250627,3.5068686285078595e-05,3
Generator 1,Active Power,Order 2,0.7176736154194678,0.5223592409498886,1
Generator 1,Active Power,Order 4,0.9962598702337233,0.0601224796579492,2
Generator 1,Active Power,Order 6,0.9902111990262537,0.09726538228202877,2
Generator 1,Active Power,Tau 1,0.9962598702337233,0.0601224796579492,2
Generator 1,Active Power,Tau 0.1,0.9902897802231336,0.09687418874491308,2
Generator 1,Active Power,Tau 0.01,0.9902897802231336,0.09687418874491308,2
Generator 1,Reactive Power,Order 2,0.9953488337492697,0.1512881325157886,1
Generator 1,Reactive Power,Order 4,0.9980507748199952,0.09793883572562627,2
Generator 1,Reactive Power,Order 6,0.9999607543606318,0.013896954475506127,3
Generator 1,Reactive Power,Tau 1,0.9953488337492697,0.1512881325157886,1
Generator 1,Reactive Power,Tau 0.1,0.9980507748199952,0.09793883572562627,2
Generator 1,Reactive Power,Tau 0.01,0.9999607543606318,0.013896954475506127,3
Generator 2,Voltage,Order 2,0.9948545040184238,0.00010010864613434248,1
Generator 2,Voltage,Order 4,0.9981538236324163,5.996454739598183e-05,2
Generator 2,Voltage,Order 6,0.994405538081022,0.00010438476728585528,1
Generator 2,Voltage,Tau 1,0.9948545040184238,0.00010010864613434248,1
Generator 2,Voltage,Tau 0.1,0.9943387830695221,0.00010500569766241391,1
Generator 2,Voltage,Tau 0.01,0.9943387830695221,0.00010500569766241391,1
Generator 2,Current,Order 2,0.9476945437319487,0.0005913725764813505,1
Generator 2,Current,Order 4,0.9507950833788976,0.0005735772718225722,2
Generator 2,Current,Order 6,0.9999452515884353,1.913257592809883e-05,3
Generator 2,Current,Tau 1,0.9476945437319487,0.0005913725764813505,1
Generator 2,Current,Tau 0.1,0.9476945437319487,0.0005913725764813505,1
Generator 2,Current,Tau 0.01,0.9999452515884353,1.913257592809883e-05,3
Generator 2,Active Power,Order 2,0.597826429639917,0.5277794688423608,1
Generator 2,Active Power,Order 4,0.9950381701874819,0.058622813859000054,2
Generator 2,Active Power,Order 6,0.9911747698729869,0.07818235495721279,2
Generator 2,Active Power,Tau 1,0.9950381701874819,0.058622813859000054,2
