Gen,Signal,Method,R2,RMSE,Poles
Generator 1,Voltage,Order 2,0.9940543911729411,8.350711213146671e-05,1
Generator 1,Voltage,Order 4,0.9973356751691015,5.590091091254807e-05,2
Generator 1,Voltage,Order 6,0.9953349229439414,7.396984514231168e-05,2
Generator 1,Voltage,Tau 1,0.9940543911729411,8.350711213146671e-05,1
Generator 1,Voltage,Tau 0.1,0.994035652159123,8.363860496255149e-05,1
Generator 1,Voltage,Tau 0.01,0.9936039555724483,8.661259177755455e-05,1
Generator 1,Current,Order 2,0.9394630440605518,0.0005641108844667232,1
Generator 1,Current,Order 4,0.9983876528476007,9.206264908122766e-05,2
Generator 1,Current,Order 6,0.9983860342651026,9.210884682910445e-05,2
Generator 1,Current,Tau 1,0.9983876528476007,9.206264908122766e-05,2
Generator 1,Current,Tau 0.1,0.9983822543234138,9.221664417814966e-05,2
Generator 1,Current,Tau 0.01,0.9997660459250634,3.5068686285029704e-05,3
Generator 1,Active Power,Order 2,0.717673615419474,0.5223592409498823,1
Generator 1,Active Power,Order 4,0.9962598702337216,0.06012247965796206,2
Generator 1,Active Power,Order 6,0.990211199026196,0.09726538228231486,2
Generator 1,Active Power,Tau 1,0.9962598702337216,0.06012247965796206,2
Generator 1,Active Power,Tau 0.1,0.990289780223125,0.09687418874495626,2
Generator 1,Active Power,Tau 0.01,0.990289780223125,0.09687418874495626,2
Generator 1,Reactive Power,Order 2,0.9953488337492674,0.1512881325158267,1
Generator 1,Reactive Power,Order 4,0.9980507748199955,0.09793883572561973,2
Generator 1,Reactive Power,Order 6,0.9999607543606319,0.01389695447549446,3
Generator 1,Reactive Power,Tau 1,0.9953488337492674,0.1512881325158267,1
Generator 1,Reactive Power,Tau 0.1,0.9980507748199955,0.09793883572561973,2
Generator 1,Reactive Power,Tau 0.01,0.9999607543606319,0.01389695447549446,3
Generator 2,Voltage,Order 2,0.9948545040184337,0.00010010864613424645,1
Generator 2,Voltage,Order 4,0.9981538236324174,5.99645473959638e-05,2
Generator 2,Voltage,Order 6,0.9944055380810503,0.0001043847672855915,1
Generator 2,Voltage,Tau 1,0.9948545040184337,0.00010010864613424645,1
Generator 2,Voltage,Tau 0.1,0.9943387830695541,0.00010500569766211657,1
Generator 2,Voltage,Tau 0.01,0.9943387830695541,0.00010500569766211657,1
Generator 2,Current,Order 2,0.9476945437319451,0.0005913725764813712,1
Generator 2,Current,Order 4,0.9507950833788892,0.0005735772718226217,2
Generator 2,Current,Order 6,0.9999452515884353,1.9132575928096926e-05,3
Generator 2,Current,Tau 1,0.9476945437319451,0.0005913725764813712,1
Generator 2,Current,Tau 0.1,0.9476945437319451,0.0005913725764813712,1
Generator 2,Current,Tau 0.01,0.9999452515884353,1.9132575928096926e-05,3
Generator 2,Active Power,Order 2,0.5978264296399194,0.5277794688423594,1
Generator 2,Active Power,Order 4,0.995038170187482,0.05862281385899931,2
Generator 2,Active Power,Order 6,0.9911747698729706,0.07818235495728484,2
Generator 2,Active Power,Tau 1,0.995038170187482,0.05862281385899931,2
Generator 2,Active Power,Tau 0.1,0.9924094364638462,0.07250746778444796,2
Generator 2,Active Power,Tau 0.01,0.9911747698729706,0.07818235495728484,2
Generator 2,Reactive Power,Order 2,0.997082348747264,0.14440137915474166,1
Generator 2,Reactive Power,Order 4,0.9994994467732147,0.05981082379327783,2
Generator 2,Reactive Power,Order 6,0.9999702135624908,0.014590290316975098,3
Generator 2,Reactive Power,Tau 1,0.997082348747264,0.14440137915474166,1
