Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
g1,Voltage,Order 2,0.542376504197133,-0.13026382967189834,0.002719429336374161,1.9041370091637022
g1,Voltage,Order 4,0.542443366346295,-0.13087496723304307,0.002731245786232125,1.901722144823768
g1,Voltage,Order 4,0.012803978184304883,-0.015479126008551483,5.5578272886501985e-05,-0.8346415316615089
g1,Voltage,Order 6,0.5434845717536787,-0.12512633544800267,0.002595976588216166,1.847606348778145
g1,Voltage,Order 6,0.5620510374536345,-1.2410458079615707,0.0005246713283502208,2.5371528461784614
g1,Voltage,Tau 1,0.542376504197133,-0.13026382967189834,0.002719429336374161,1.9041370091637022
g1,Voltage,Tau 0.1,0.5424531875390403,-0.13121016726375337,0.002738250753998842,1.9011193355267457
g1,Voltage,Tau 0.01,0.5426860764328311,-0.12701739154382014,0.002647221693609371,1.8908820536236521
g1,Current,Order 2,0.5450515424906606,-0.1243728485548878,0.005441177499149997,-1.000148346741282
g1,Current,Order 4,1.0400458682051064,-0.798713039785714,0.0034622699194031144,2.857326614237957
g1,Current,Order 4,0.5428474445599223,-0.1246199929530786,0.005430464772377125,-0.8985145572771218
g1,Current,Order 6,1.0438526370236076,-0.7766959034997138,0.003385115319675418,2.8530393387716506
g1,Current,Order 6,0.5430012307024772,-0.12504294793749007,0.005450892949526247,-0.9054212958733681
g1,Current,Tau 1,1.0400458682051064,-0.798713039785714,0.0034622699194031144,2.857326614237957
g1,Current,Tau 1,0.5428474445599223,-0.1246199929530786,0.005430464772377125,-0.8985145572771218
g1,Current,Tau 0.1,1.0434906174293288,-0.7759140909126032,0.003383195718277715,2.854944855721927
g1,Current,Tau 0.1,0.5430057567960845,-0.1250453489804233,0.005450655135815729,-0.9056068119414823
g1,Current,Tau 0.01,1.042199921726883,-0.7637261630363288,0.0033311884475628437,2.8711307120388265
g1,Current,Tau 0.01,0.5430691604659775,-0.1253952241264014,0.005466835950526716,-0.9091207981119128
g1,Current,Tau 0.01,0.006158220144853072,0.0018960493557460556,6.837724512628056e-05,-2.867274164339073
