"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
0.000000,1.029756,0.781235,184.999959,699.999940
0.010000,1.036261,0.741633,168.706790,670.782835
0.020000,1.036344,0.741279,169.055125,670.411478
0.030000,1.036361,0.740936,169.375979,670.012332
0.040000,1.036330,0.740603,169.679781,669.593482
0.050000,1.036262,0.740279,169.974778,669.160473
0.060000,1.036168,0.739963,170.267493,668.717143
0.070000,1.036053,0.739655,170.563086,668.266217
0.080000,1.035921,0.739355,170.865647,667.809702
0.090000,1.035776,0.739063,171.178425,667.349171
0.100000,1.035620,0.738780,171.504008,666.885941
0.110000,1.035452,0.738508,171.844463,666.421195
0.120000,1.035276,0.738246,172.201454,665.956056
0.130000,1.035089,0.737997,172.576319,665.491632
0.140000,1.034894,0.737762,172.970148,665.029038
0.150000,1.034689,0.737543,173.383823,664.569407
0.160000,1.034475,0.737340,173.818068,664.113888
0.170000,1.034252,0.737155,174.273473,663.663642
0.180000,1.034018,0.736991,174.750511,663.219827
0.190000,1.033775,0.736848,175.249561,662.783595
0.200000,1.033522,0.736728,175.770923,662.356074
0.210000,1.033258,0.736632,176.314824,661.938362
0.220000,1.032983,0.736562,176.881432,661.531514
0.230000,1.032698,0.736520,177.470859,661.136534
0.240000,1.032401,0.736505,178.083170,660.754365
0.250000,1.032094,0.736520,178.718383,660.385878
0.260000,1.031775,0.736565,179.376477,660.031871
0.270000,1.031445,0.736641,180.057393,659.693060
0.280000,1.031103,0.736750,180.761039,659.370070
0.290000,1.030750,0.736891,181.487289,659.063439
0.300000,1.030386,0.737065,182.235973,658.773599
0.310000,1.030010,0.737272,183.006856,658.500867
0.320000,1.029623,0.737513,183.799650,658.245448
0.330000,1.029225,0.737788,184.614021,658.007443
0.340000,1.028816,0.738097,185.449589,657.786840
0.350000,1.028395,0.738439,186.305932,657.583523
0.360000,1.027964,0.738814,187.182594,657.397268
0.370000,1.027522,0.739222,188.079081,657.227745
0.380000,1.027069,0.739661,188.994872,657.074521
0.390000,1.026606,0.740132,189.929414,656.937059
0.400000,1.026133,0.740633,190.882109,656.814718
0.410000,1.025650,0.741164,191.852312,656.706753
0.420000,1.025157,0.741723,192.839336,656.612330
0.430000,1.024655,0.742308,193.842450,656.530531
0.440000,1.024144,0.742920,194.860884,656.460356
0.450000,1.023624,0.743555,195.893821,656.400740
0.460000,1.023095,0.744212,196.940403,656.350552
0.470000,1.022559,0.744891,197.999743,656.308602
0.480000,1.022014,0.745589,199.070953,656.273620
0.490000,1.021462,0.746303,200.153136,656.244267
0.500000,1.020904,0.747034,201.245363,656.219146
0.510000,1.020338,0.747777,202.346671,656.196826
0.520000,1.019766,0.748532,203.456053,656.175851
0.530000,1.019187,0.749296,204.572446,656.154770
0.540000,1.018604,0.750067,205.694731,656.132164
0.550000,1.018015,0.750843,206.821761,656.106632
0.560000,1.017421,0.751623,207.952399,656.076770
0.570000,1.016823,0.752403,209.085520,656.041178
0.580000,1.016221,0.753181,210.219994,655.998475
0.590000,1.015616,0.753957,211.354693,655.947303
0.600000,1.015008,0.754727,212.488491,655.886338
0.610000,1.014397,0.755489,213.620269,655.814295
0.620000,1.013784,0.756242,214.748914,655.729932
0.630000,1.013170,0.756983,215.873318,655.632061
0.640000,1.012554,0.757711,216.992378,655.519541
0.650000,1.011938,0.758423,218.104991,655.391294
0.660000,1.011322,0.759119,219.210053,655.246298
0.670000,1.010706,0.759795,220.306463,655.083595
0.680000,1.010091,0.760451,221.393137,654.902293
0.690000,1.009476,0.761084,222.469008,654.701595
0.700000,1.008864,0.761694,223.533043,654.480795
0.710000,1.008254,0.762279,224.584248,654.239270
0.720000,1.007646,0.762837,225.621671,653.976481
0.730000,1.007041,0.763367,226.644398,653.691968
0.740000,1.006439,0.763869,227.651536,653.385349
0.750000,1.005842,0.764340,228.642171,653.056319
0.760000,1.005248,0.764781,229.615397,652.704670
0.770000,1.004659,0.765190,230.570344,652.330278
0.780000,1.004075,0.765567,231.506187,651.933133
0.790000,1.003497,0.765910,232.422165,651.513351
0.800000,1.002924,0.766221,233.317584,651.071140
0.810000,1.002357,0.766497,234.191820,650.606812
0.820000,1.001796,0.766740,235.044311,650.120778
0.830000,1.001243,0.766948,235.874541,649.613539
0.840000,1.000696,0.767123,236.681999,649.085664
0.850000,1.000158,0.767263,237.466199,648.537799
0.860000,0.999627,0.767370,238.226691,647.970674
0.870000,0.999104,0.767443,238.963058,647.385098
0.880000,0.998590,0.767484,239.674921,646.781957
0.890000,0.998085,0.767492,240.361934,646.162210
0.900000,0.997589,0.767468,241.023790,645.526886
0.910000,0.997102,0.767412,241.660216,644.877082
0.920000,0.996626,0.767327,242.270976,644.213956
0.930000,0.996159,0.767212,242.855868,643.538726
0.940000,0.995702,0.767068,243.414726,642.852664
0.950000,0.995255,0.766897,243.947417,642.157091
0.960000,0.994820,0.766699,244.453842,641.453373
0.970000,0.994395,0.766476,244.933934,640.742917
0.980000,0.993981,0.766230,245.387658,640.027166
0.990000,0.993578,0.765960,245.815008,639.307594
1.000000,0.993187,0.765669,246.216009,638.585698
1.010000,0.978565,0.823964,283.224775,668.119329
1.020000,0.977692,0.823756,282.781228,667.405699
1.030000,0.976989,0.823574,282.363190,666.842601
1.040000,0.976420,0.823415,281.948840,666.407906
1.050000,0.975959,0.823276,281.521183,666.085895
1.060000,0.975587,0.823157,281.067022,665.865346
1.070000,0.975292,0.823056,280.576138,665.738152
1.080000,0.975063,0.822970,280.040647,665.698341
1.090000,0.974894,0.822899,279.454495,665.741366
1.100000,0.974780,0.822841,278.813056,665.863606
1.110000,0.974719,0.822794,278.112823,666.062012
1.120000,0.974707,0.822756,277.351170,666.333851
