Gen,Signal,Method,Poles_Count
g1,Active Power,Order 2,1
g1,Active Power,Order 4,3
g1,Active Power,Order 6,3
g1,Active Power,Tau 0.01,6
g1,Active Power,Tau 0.1,3
g1,Active Power,Tau 1,3
g1,Current,Order 2,1
g1,Current,Order 4,2
g1,Current,Order 6,3
g1,Current,Tau 0.01,6
g1,Current,Tau 0.1,4
g1,Current,Tau 1,2
g1,Reactive Power,Order 2,1
g1,Reactive Power,Order 4,2
g1,Reactive Power,Order 6,3
g1,Reactive Power,Tau 0.01,3
g1,Reactive Power,Tau 0.1,3
g1,Reactive Power,Tau 1,1
g1,Voltage,Order 2,1
g1,Voltage,Order 4,2
g1,Voltage,Order 6,3
g1,Voltage,Tau 0.01,4
g1,Voltage,Tau 0.1,1
g1,Voltage,Tau 1,1
g2,Active Power,Order 2,1
g2,Active Power,Order 4,2
g2,Active Power,Order 6,3
g2,Active Power,Tau 0.01,2
g2,Active Power,Tau 0.1,2
g2,Active Power,Tau 1,1
g2,Current,Order 2,1
g2,Current,Order 4,3
g2,Current,Order 6,3
g2,Current,Tau 0.01,4
g2,Current,Tau 0.1,4
g2,Current,Tau 1,1
g2,Reactive Power,Order 2,1
g2,Reactive Power,Order 4,2
g2,Reactive Power,Order 6,3
g2,Reactive Power,Tau 0.01,4
g2,Reactive Power,Tau 0.1,2
g2,Reactive Power,Tau 1,1
g2,Voltage,Order 2,1
g2,Voltage,Order 4,2
g2,Voltage,Order 6,3
g2,Voltage,Tau 0.01,1
g2,Voltage,Tau 0.1,1
g2,Voltage,Tau 1,1
g3,Active Power,Order 2,1
g3,Active Power,Order 4,2
g3,Active Power,Order 6,3
g3,Active Power,Tau 0.01,2
g3,Active Power,Tau 0.1,2
g3,Active Power,Tau 1,1
g3,Current,Order 2,1
g3,Current,Order 4,2
g3,Current,Order 6,3
g3,Current,Tau 0.01,4
g3,Current,Tau 0.1,2
g3,Current,Tau 1,1
g3,Reactive Power,Order 2,1
g3,Reactive Power,Order 4,2
g3,Reactive Power,Order 6,3
g3,Reactive Power,Tau 0.01,7
g3,Reactive Power,Tau 0.1,4
g3,Reactive Power,Tau 1,4
g3,Voltage,Order 2,1
g3,Voltage,Order 4,2
g3,Voltage,Order 6,3
g3,Voltage,Tau 0.01,5
g3,Voltage,Tau 0.1,1
g3,Voltage,Tau 1,1
g4,Active Power,Order 2,1
g4,Active Power,Order 4,2
g4,Active Power,Order 6,3
g4,Active Power,Tau 0.01,5
g4,Active Power,Tau 0.1,2
g4,Active Power,Tau 1,2
g4,Current,Order 2,1
g4,Current,Order 4,2
g4,Current,Order 6,3
g4,Current,Tau 0.01,3
g4,Current,Tau 0.1,1
g4,Current,Tau 1,1
g4,Reactive Power,Order 2,1
g4,Reactive Power,Order 4,2
g4,Reactive Power,Order 6,3
g4,Reactive Power,Tau 0.01,6
g4,Reactive Power,Tau 0.1,1
g4,Reactive Power,Tau 1,1
g4,Voltage,Order 2,1
g4,Voltage,Order 4,2
g4,Voltage,Order 6,3
g4,Voltage,Tau 0.01,6
g4,Voltage,Tau 0.1,4
g4,Voltage,Tau 1,1
